1sg|n|The three-toed sloth (Bradypus tridactylus) of South America. See Sloth.	v:17l2,14	n:1sg,128;16dd,124;1adp,122;x8k,122;16de,115;1gwj,115;15u3,79;sn0,71;mr3,54;nyt,54	N:668,149;1sg,128;lit,119;146f,111;179b,97;1gox,95;mr3,80
1sg|v|The three-toed sloth (Bradypus tridactylus) of South America. See Sloth.	o:668,149;lit,119;179b,97;1d9n,54	s:1adp,122;x8k,122;1ch,107	d:1ch,107
1si|n|To support, either by furnishing strength or means in cooperation to effect a...	a:22d2,79;ntc,68;1yxe,58;27qe,49;n3o,47;26m4,46;ayi,44;21y3,44;1m0d,44;9dk,42	v:1luv,70;ek5,66;1vz0,64;132r,61;19qv,59;1i9,56;15qt,53;1057,53;1pgb,48;1pgf,48	V:uun,20	n:ntc,68;1yxe,58;15qt,53;27qe,49;21y3,44;15rm,41;1grj,31;1xja,27;rwe,16;227r,16	N:1057,53;zxx,43;14id,34;f90,24;e33,22;1kig,18;227r,0
1si|v|To support, either by furnishing strength or means in cooperation to effect a...	o:59g,91;1vth,67;k2a,65;1vtz,44;1vu0,43;hqf,30;524,27;1kig,18;227r,0	s:1yhg,83;n4u,62;n3t,57;14x9,47;vi3,20;uup,9;1tt1,6;va0,0	d:18cz,48;11u8,38;1blc,34;14fx,28;vrj,22;7c0,9	D:18cz,38
1sl|v|of Aid	o:m09,40;14gc,5;1uy6,3	s:zok,44;1dg3,42;5l0,34;9dl,33;t0x,29;ii9,23;22mq,21;1bya,21;qqk,16;vi3,13	d:18cz,83;vrj,60;rav,54;1594,53;1t3o,46;f0k,39;14fx,38;21u1,34;m09,34;c73,33	D:18cz,66;1594,33;1hmg,28;vrj,26;2cj,10
1sm|n|One who, or that which, aids.	n:14x9,95
1so|v|of Aid	s:22cu,9	d:18cz,79;1t3o,63;21u1,56;x5,44;kch,44;vrj,40;227a,37;1d28,9
1sv|n|The small white European heron. See Egret.	n:jsz,113
1sz|n|Indisposition or morbid affection.	v:lyy,71	n:lzc,71
1sz|v|To affect with pain or uneasiness, either physical or mental; to trouble; to be...	s:lzc,71
1t4|v|of Ail	o:c7i,55;28t2,52;1uze,48;1b1g,41;1w9l,38;8ea,34;c7y,31;1xja,30;2931,28;1hgk,20	d:f3l,54;2fi,36;1dsp,35;1xx3,28;22p7,7
1t4|a|of Ail	j:c7y,31;1xja,30;1hgk,20;17s5,12	e:22p7,7
1t5|n|Indisposition; morbid affection of the body; -- not applied ordinarily to acute...	a:ck6,98;8e3,86;c7r,78;zoi,78;1imv,67;1az2,63;1bpr,59;1vcj,57;1gnj,45;e3m,44	v:23ob,85	n:23ob,85
1t7|n|To point or direct a missile weapon, or a weapon which propels as missile,...	a:24nc,69;1vxm,65;jy1,64;1xm3,60;1lk9,58;24ib,57;iez,57;4xw,53;c6z,53;hw3,52	v:20li,44;1a51,34;20le,26;15ix,18;20lf,5	V:1esm,13;1s7f,3	n:1yxe,69;c6z,53;21y3,22;25ks,22;lzc,13;2810,10;290l,7	N:ruy,10
