2of|n|	N:257i,77,6~257i,77,6
2pk|n|A person attached to a particular pursuit, study, or science as to music or painting; esp. one who cultivates any study or art, from taste or attachment, without pursuing it professionally.	a:1bzd,16,5;1fc2,8,3~1bzd,16,5;1fc2,8,3	V:1cdg,41,1~1cdg,41,1	n:83a,23,4~83a,23,4	N:1cdf,86,19;1cdg,79,14;1tc7,77,7;1yny,74,10;1vkz,55,8;1vl1,44,5;1cd7,25,3~1cdf,86,19;1cdg,79,14;1yny,74,10;1vkz,55,8;1tc7,77,7;1vl1,44,5;1cd7,25,3
2pk|v|A person attached to a particular pursuit, study, or science as to music or painting; esp. one who cultivates any study or art, from taste or attachment, without pursuing it professionally.	o:1cdg,41,1~1cdg,41,1
2pk|a|A person attached to a particular pursuit, study, or science as to music or painting; esp. one who cultivates any study or art, from taste or attachment, without pursuing it professionally.	j:1ynz,71,10;1cdg,71,8;1tc7,59,2;1vl1,21,1~1ynz,71,10;1cdg,71,8;1tc7,59,2;1vl1,21,1
2pn|n|	a:1fc2,27,4;1bzd,24,3~1fc2,27,4;1bzd,24,3	n:1bzd,8,1;1fc2,7,1~1bzd,8,1;1fc2,7,1
2pn|v|	D:1igk,29,2~1igk,29,2
2py|n|To bewilder; to stupefy; to bring into a maze. ; To confound, as by fear, wonder, extreme surprise; to overwhelm with wonder; to astound; to astonish greatly. ; To be astounded. ; Bewilderment, arising from fear, surprise, or wonder; amazement.	n:11rm,97,18~11rm,97,18	N:u86,67,13;4bp,30,2~u86,67,13;4bp,30,2
2py|v|To bewilder; to stupefy; to bring into a maze. ; To confound, as by fear, wonder, extreme surprise; to overwhelm with wonder; to astound; to astonish greatly. ; To be astounded. ; Bewilderment, arising from fear, surprise, or wonder; amazement.	s:11rm,85,8~11rm,85,8
2py|a|To bewilder; to stupefy; to bring into a maze. ; To confound, as by fear, wonder, extreme surprise; to overwhelm with wonder; to astound; to astonish greatly. ; To be astounded. ; Bewilderment, arising from fear, surprise, or wonder; amazement.	j:u86,30,1~u86,30,1
2pz|v|of Amaze	d:gfm,67,3;2oc,42,10;24i6,22,5;1igk,18,2~2oc,42,10;24i6,22,5;gfm,67,3;1igk,18,2
