5dg|n|	a:1dh9,42,12~1dh9,42,12	V:6l1,49,8~6l1,49,8	N:5w0,82,2;cjf,74,3;1n1n,67,1;sji,51,12;8i6,35,3~sji,51,12;cjf,74,3;8i6,35,3;5w0,82,2;1n1n,67,1
5dg|v|	o:1n1n,67,1~1n1n,67,1
5dg|a|	j:5w0,92,4;4ir,45,2~5w0,92,4;4ir,45,2
5dt|a|Alt. of Atmospherical	j:1moa,87,10;1u2v,67,5~1moa,87,10;1u2v,67,5
5e0|a|Alt. of Atomical	j:1o3n,109,4;1o3b,63,1;scq,40,3~1o3n,109,4;scq,40,3;1o3b,63,1
5fi|v|To bind, fasten, tie, or connect; to make fast or join; as, to attach one thing to another by a string, by glue, or the like. ; To connect; to place so as to belong; to assign by authority; to appoint; as, an officer is attached to a certain regiment, company, or ship. ; To win the heart of; to connect by ties of love or self-interest; to attract; to fasten or bind by moral influence; -- with to; as, attached to a friend; attaching others to us by wealth or flattery. ; To connect, in a figurative sense; to ascribe or attribute; to affix; -- with to; as, to attach great importance to a particular circumstance. ; To take, seize, or lay hold of. ; To take by legal authority: (a) To arrest by writ, and bring before a court, as to answer for a debt, or a contempt; -- applied to a taking of the person by a civil process; being now rarely used for the arrest of a criminal. (b) To seize or take (goods or real estate) by virtue of a writ or precept to hold the same to satisfy a judgment which may be rendered in the suit. See Attachment, 4. ; To adhere; to be attached. ; To come into legal operation in connection with anything; to vest; as, dower will attach.	d:23hz,4,3~23hz,4,3
5fl|v|of Attach	o:1jpa,46,5;1k0p,38,2;1jqt,32,1;1k0m,25,2;10gu,19,2~1jpa,46,5;1k0p,38,2;10gu,19,2;1k0m,25,2;1jqt,32,1	s:1c2m,46,3;1cvk,31,7;rlj,29,6;25xr,26,3;1hsu,2,3;1mx8,2,5~1cvk,31,7;rlj,29,6;1mx8,2,5;1hsu,2,3;25xr,26,3;1c2m,46,3	d:sjf,68,4;1zkw,17,8;2eq,1,7~1zkw,17,8;2eq,1,7;sjf,68,4
5fl|a|of Attach	j:1jpa,53,8;1uc4,44,1;1k0m,41,6;10gu,19,2;sdd,11,1~1jpa,53,8;1k0m,41,6;10gu,19,2;sdd,11,1;1uc4,44,1
5fm|n|	a:rak,29,1~rak,29,1	n:rak,52,5~rak,52,5
5fn|v|of Attach	s:1ucb,63,3~1ucb,63,3
