5tb|n|Alt. of Axe	a:x50,39;7ey,19	V:rbz,27;1u0i,8	n:nyt,75;uyf,71;sn0,70;1jsx,59;1y2z,43;wo1,17;17s5,1	N:wox,75;rf0,71;1o17,58;29k7,30
5tb|v|To ask; to inquire or inquire of.	o:29k7,30	s:hjx,47;7ey,19;17s5,1	d:7ey,19;1cdu,7
5tb|a|To ask; to inquire or inquire of.	j:wox,75;qx8,35
5td|n|A tool or instrument of steel, or of iron with a steel edge or blade, for...	a:mk1,82;1k9x,73;hqg,64;7wr,62;884,60;99t,47;1u2r,45;x50,40;19k7,37;vbi,35	v:uyf,59;v0j,58;28ne,55	V:28st,81;28na,61;1jwa,59;1vlk,57;s2v,53;uye,52;n0y,51;204w,47;j9a,45;1o17,41	n:hb8,116;mk1,82;hqg,64;884,60;1op7,59;uyf,59;1ycr,57;s8m,57;28ne,55;zc7,45	N:1vlk,57;wox,49;204w,47;jzb,45;1o17,41;1jfz,29;qx8,28;177r,26;bvw,22;x0g,16
5td|a|A tool or instrument of steel, or of iron with a steel edge or blade, for...	j:wox,49;x0g,16
5te|n|See Ax, Axman.	a:7md,68;vdr,41
5tf|n|of Axis	a:1e96,106;17kp,53;148x,46;1lm5,42;ynt,42;1u2r,37;x50,36;1tvz,27;rl5,19;1vhw,12	v:xrl,109;axs,32	V:ggx,82;1o17,51;hdm,25;17di,6;28fg,6	n:14m1,84;s8m,76;fm7,65;1y2z,59;zc7,57;136a,56;6ku,46;24ia,22;251z,3	N:14m1,86
5tg|a|Of or pertaining to an axis; of the nature of, or resembling, an axis; around...	j:1r2k,156;1jar,110;1695,67
5tp|a|Of or pertaining to the axilla or armpit; as, axillary gland, artery, nerve.	j:295p,113;wj2,78
5ts|n|A self-evident and necessary truth, or a proposition whose truth is so evident...	a:rwe,14;1era,9
5tt|a|Alt. of Axiomatical	j:2441,99;243x,69	e:2aq,49
5tw|n|The spotted deer (Cervus axis or Axis maculata) of India, where it is called...	a:16ry,114;1e96,112;1jx2,103;124l,102;p3p,102;274e,95;23cm,92;yfd,91;295f,87;17ge,82	v:1ru6,18	V:adm,1	n:i6a,129;23cm,92;16r8,48;ykj,37	N:hgl,93;1gca,70;mr3,41
5tw|a|The spotted deer (Cervus axis or Axis maculata) of India, where it is called...	j:1huq,79;274e,79;1gca,70
5tx|n|The pin or spindle on which a wheel revolves, or which revolves with a wheel.	a:gg1,147;1obl,93;294h,68;9b9,63;tgm,61;t15,32;5y1,17;vrg,5	v:mbh,79;9b9,63;15ix,60	n:gfz,110;xx1,90;28if,73;9b9,63;136a,47;vrg,5	N:vr9,117;8uq,80;w35,68;23gg,49;24ia,10
5u2|n|An Axminster carpet, an imitation Turkey carpet, noted for its thick and soft...	N:awu,113;1qsm,70
