8o2|n|	v:2d0r,77,3~2d0r,77,3	V:2d0p,65,2~2d0p,65,2	n:hz0,85,5;432,65,1~hz0,85,5;432,65,1	N:29y5,90,30;432,81,3~29y5,90,30;432,81,3
8o2|a|	j:29y5,50,2~29y5,50,2
8o3|n|	a:8o3,132,67~8o3,132,67	v:8o3,87,3;7s7,42,3~8o3,87,3;7s7,42,3	V:8o3,106,11~8o3,106,11	n:8o3,152,277~8o3,152,277	N:8o3,152,277~8o3,152,277
8o3|v|	o:8o3,87,3~8o3,87,3	s:8o3,106,11~8o3,106,11
8o3|a|	j:8o3,132,67;1t04,17,9~8o3,132,67;1t04,17,9
8o9|n|That which is destitute of light or whiteness; the darkest color, or rather a destitution of all color; as, a cloth has a good black. ; A black pigment or dye. ; A negro; a person whose skin is of a black color, or shaded with black; esp. a member or descendant of certain African races. ; A black garment or dress; as, she wears black ; Mourning garments of a black color; funereal drapery. ; The part of a thing which is distinguished from the rest by being black. ; A stain; a spot; a smooch.	a:79h,72,1;2hhb,29,1;1eiw,1,2~1eiw,1,2;2hhb,29,1;79h,72,1	v:2hhb,29,1;1bj4,9,9~1bj4,9,9;2hhb,29,1	V:1acr,47,6;2gql,22,1;1h70,21,2~1acr,47,6;1h70,21,2;2gql,22,1	n:79h,106,10;1j0g,61,7;1n3c,26,2~79h,106,10;1j0g,61,7;1n3c,26,2	N:26pr,72,1;y7i,63,1;1nx1,63,1;zvq,55,5;20dt,55,1;w04,53,4;lkr,46,2;1u8j,41,1;939,41,4;9ne,40,17;118l,35,3;25xe,32,2;118k,32,3;2gql,32,2;1oae,32,10~1yxc,23,23;9ne,40,17;1oae,32,10;zvq,55,5;w04,53,4;939,41,4;118l,35,3;118k,32,3;6i0,1,3;1acr,31,2;95j,11,2;25xe,32,2;2gql,32,2;lkr,46,2;1n3c,26,2
8o9|v|That which is destitute of light or whiteness; the darkest color, or rather a destitution of all color; as, a cloth has a good black. ; A black pigment or dye. ; A negro; a person whose skin is of a black color, or shaded with black; esp. a member or descendant of certain African races. ; A black garment or dress; as, she wears black ; Mourning garments of a black color; funereal drapery. ; The part of a thing which is distinguished from the rest by being black. ; A stain; a spot; a smooch.	o:zvq,32,1;1acr,21,1;118l,19,1~118l,19,1;zvq,32,1;1acr,21,1
8o9|a|Destitute of light, or incapable of reflecting it; of the color of soot or coal; of the darkest or a very dark color, the opposite of white; characterized by such a color; as, black cloth; black hair or eyes. ; In a less literal sense: Enveloped or shrouded in darkness; very dark or gloomy; as, a black night; the heavens black with clouds. ; Fig.: Dismal, gloomy, or forbidding, like darkness; destitute of moral light or goodness; atrociously wicked; cruel; mournful; calamitous; horrible. ; Expressing menace, or discontent; threatening; sullen; foreboding; as, to regard one with black looks. ; To make black; to blacken; to soil; to sully. ; To make black and shining, as boots or a stove, by applying blacking and then polishing with a brush.	j:1auk,113,3;20dt,98,21;1nx1,78,3;y7i,78,3;24ow,78,5;1nx7,76,3;9ne,76,198;153p,75,9;118l,75,46;118k,74,56;1oa4,74,45;26pr,72,1;6zw,69,11;1u8j,67,6;9nj,65,22~1yxc,62,332;9ne,76,198;1c35,62,76;118k,74,56;6i0,41,48;118l,75,46;1oa4,74,45;1a7d,24,35;1oae,46,27;u7p,34,25;1mfp,1,23;28jo,23,23;9nj,65,22;20dt,98,21;6u8,43,19	e:1133,69,15;29xc,30,10;fix,30,29;qur,8,3;wbb,7,3;1fc7,3,3~fix,30,29;1133,69,15;29xc,30,10;qur,8,3;1fc7,3,3;wbb,7,3
8of|n|The fruit of several species of bramble (Rubus); also, the plant itself. Rubus fruticosus is the blackberry of England; R. villosus and R. Canadensis are the high blackberry and low blackberry of the United States. There are also other kinds.	a:1iii,52,7~1iii,52,7	V:1qy9,116,1~1qy9,116,1	N:1ojr,152,5;1qy9,147,9;11rw,86,3;1je1,61,6~1qy9,147,9;1je1,61,6;1ojr,152,5;11rw,86,3
8of|v|The fruit of several species of bramble (Rubus); also, the plant itself. Rubus fruticosus is the blackberry of England; R. villosus and R. Canadensis are the high blackberry and low blackberry of the United States. There are also other kinds.	o:26d7,19,1~26d7,19,1
8of|a|The fruit of several species of bramble (Rubus); also, the plant itself. Rubus fruticosus is the blackberry of England; R. villosus and R. Canadensis are the high blackberry and low blackberry of the United States. There are also other kinds.	j:1qy9,126,2;26d7,35,3~26d7,35,3;1qy9,126,2
8oh|n|A broad board painted black, or any black surface on which writing, drawing, or the working of mathematical problems can be done with chalk or crayons. It is much used in schools.	a:1ipe,16,2~1ipe,16,2	v:2dwy,11,1;2dwh,9,10;2dx6,8,6;2dwj,3,3~2dwh,9,10;2dx6,8,6;2dwj,3,3;2dwy,11,1	V:e8h,43,1;19at,27,10~19at,27,10;e8h,43,1	n:2esi,32,7;2784,15,5;19yi,11,16~19yi,11,16;2esi,32,7;2784,15,5	N:1adp,82,4;27w6,52,5;eyd,50,3;28fa,49,5;4rk,45,3;e8h,43,1;27g6,41,3;27g0,24,5;11p7,23,3;19cp,16,1~27g0,24,5;27w6,52,5;28fa,49,5;1adp,82,4;11p7,23,3;eyd,50,3;4rk,45,3;27g6,41,3;e8h,43,1;19cp,16,1
8oh|v|A broad board painted black, or any black surface on which writing, drawing, or the working of mathematical problems can be done with chalk or crayons. It is much used in schools.	o:27g6,35,2~27g6,35,2
8oh|a|A broad board painted black, or any black surface on which writing, drawing, or the working of mathematical problems can be done with chalk or crayons. It is much used in schools.	j:1adp,72,2;27g6,51,6;eyd,34,1;19cp,26,2;27g0,24,5~27g6,51,6;27g0,24,5;1adp,72,2;19cp,26,2;eyd,34,1
8oi|n|	v:2dwh,39,9~2dwh,39,9
8p8|v|To put in a black list as deserving of suspicion, censure, or punishment; esp. to put in a list of persons stigmatized as insolvent or untrustworthy, -- as tradesmen and employers do for mutual protection; as, to blacklist a workman who has been discharged. See Black list, under Black, a.	o:1el8,50,6~1el8,50,6	s:b5u,60,4~b5u,60,4	d:17nk,3,3~17nk,3,3
8p9|v|	d:yaw,26,2~yaw,26,2
8pd|n|A certain rate of money, corn, cattle, or other thing, anciently paid, in the north of England and south of Scotland, to certain men who were allied to robbers, or moss troopers, to be by them protected from pillage. ; Payment of money exacted by means of intimidation; also, extortion of money from a person by threats of public accusation, exposure, or censure. ; Black rent, or rent paid in corn, flesh, or the lowest coin, a opposed to "white rent", which paid in silver.	a:pzt,92,4~pzt,92,4
8pl|n|The name of a kind of in used in copperplate printing, prepared from the charred husks of the grape, and residue of the wine press. ; Soot flying in the air. ; Black garments, etc. See Black, n., 4.	n:1yxc,61,4~1yxc,61,4
8pl|v|The name of a kind of in used in copperplate printing, prepared from the charred husks of the grape, and residue of the wine press. ; Soot flying in the air. ; Black garments, etc. See Black, n., 4.	s:1yxc,61,4~1yxc,61,4
8q0|n|Properly, the leaf, or flat part of the leaf, of any plant, especially of gramineous plants. The term is sometimes applied to the spire of grasses. ; The cutting part of an instrument; as, the blade of a knife or a sword. ; The broad part of an oar; also, one of the projecting arms of a screw propeller. ; The scapula or shoulder blade. ; The principal rafters of a roof. ; The four large shell plates on the sides, and the five large ones of the middle, of the carapace of the sea turtle, which yield the best tortoise shell. ; A sharp-witted, dashing, wild, or reckless, fellow; -- a word of somewhat indefinite meaning.	a:2bgm,127,3;20bj,85,3~20bj,85,3;2bgm,127,3	n:2hws,129,40;1tr8,128,21;1yw4,114,3;tep,62,3~2hws,129,40;1tr8,128,21;tep,62,3;1yw4,114,3	N:1xdd,116,3;12rz,64,1~1xdd,116,3;12rz,64,1
8q0|v|To furnish with a blade. ; To put forth or have a blade.	o:12rz,90,6;2gkf,25,1~12rz,90,6;2gkf,25,1	s:2hws,128,35;1yw4,98,1;1tr8,94,2;tep,46,1~2hws,128,35;1tr8,94,2;tep,46,1;1yw4,98,1
8q0|a|To furnish with a blade. ; To put forth or have a blade.	j:2gkf,35,2~2gkf,35,2
8q4|n|	n:tep,68,1~tep,68,1
8q4|v|	s:tep,78,2~tep,78,2
8qa|n|	a:2he5,122,11;8qa,116,122~8qa,116,122;2he5,122,11	v:8qa,75,7;1cad,58,1~8qa,75,7;1cad,58,1	V:8qa,72,6~8qa,72,6	n:8qa,135,459;2he5,107,4;fa3,25,6~8qa,135,459;fa3,25,6;2he5,107,4	N:8qa,135,459~8qa,135,459
8qa|v|	o:8qa,75,7~8qa,75,7	s:8qa,72,6~8qa,72,6
8qa|a|	j:8qa,116,122~8qa,116,122	e:8qa,47,1~8qa,47,1
8qe|n|To censure; to express disapprobation of; to find fault with; to reproach. ; To bring reproach upon; to blemish. ; An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure. ; That which is deserving of censure or disapprobation; culpability; fault; crime; sin. ; Hurt; injury.	a:5gb,54,3;5g3,24,1~5gb,54,3;5g3,24,1	v:5gb,64,6;20hl,62,3;5g3,44,4;27es,2,6~27es,2,6;5gb,64,6;5g3,44,4;20hl,62,3	V:19vh,59,6;y4i,19,3~19vh,59,6;y4i,19,3	n:5gb,38,1;io,31,2~io,31,2;5gb,38,1
8qe|v|To censure; to express disapprobation of; to find fault with; to reproach. ; To bring reproach upon; to blemish. ; An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure. ; That which is deserving of censure or disapprobation; culpability; fault; crime; sin. ; Hurt; injury.	o:42c,40,4;1jjs,30,18;42h,30,15;s56,14,4;22h2,14,11~1jjs,30,18;42h,30,15;22h2,14,11;s56,14,4;42c,40,4	s:xn5,65,8;1oap,19,6~xn5,65,8;1oap,19,6	d:zr2,55,7;1tu6,13,15;1guz,8,5;2oc,4,4~1tu6,13,15;zr2,55,7;1guz,8,5;2oc,4,4	D:10ln,3,6~10ln,3,6
8qf|v|of Blame	d:28oo,18,6~28oo,18,6
8ql|v|	d:28oo,33,3~28oo,33,3
8qn|n|of Blame	v:24pk,48,5~24pk,48,5	n:2eup,94,6;24pk,24,1;69i,19,1~2eup,94,6;24pk,24,1;69i,19,1
