8by|n|A piece of timber sawed thin, and of considerable length and breadth as compared with the thickness, -- used for building, etc. ; A table to put food upon. ; Hence: What is served on a table as food; stated meals; provision; entertainment; -- usually as furnished for pay; as, to work for one's board; the price of board. ; A table at which a council or court is held. Hence: A council, convened for business, or any authorized assembly or meeting, public or private; a number of persons appointed or elected to sit in council for the management or direction of some public or private business or trust; as, the Board of Admiralty; a board of trade; a board of directors, trustees, commissioners, etc. ; A square or oblong piece of thin wood or other material used for some special purpose, as, a molding board; a board or surface painted or arranged for a game; as, a chessboard; a backgammon board. ; Paper made thick and stiff like a board, for book covers, etc.; pasteboard; as, to bind a book in boards. ; The stage in a theater; as, to go upon the boards, to enter upon the theatrical profession. ; The border or side of anything. ; The side of a ship. ; The stretch which a ship makes in one tack. ; To go on board of, or enter, as a ship, whether in a hostile or a friendly way. ; To enter, as a railway car. ; To furnish with regular meals, or with meals and lodgings, for compensation; to supply with daily meals. ; To place at board, for compensation; as, to board one's horse at a livery stable.	a:1uoi,50,4;17jj,37,17;e70,35,2;fug,20,6;28qm,19,5;1uus,19,6;1dub,17,4;1gnj,17,3;vs8,16,1~17jj,37,17;1uus,19,6;fug,20,6;28qm,19,5;1uoi,50,4;1dub,17,4;1gnj,17,3;e70,35,2;vs8,16,1	V:6g5,23,8;1rdb,16,3;26ei,7,5;1c4c,5,2~6g5,23,8;26ei,7,5;1rdb,16,3;1c4c,5,2	n:mi9,75,4;2rl,69,4;1b1g,68,3;1dnh,55,2;yy,52,8;18om,51,7;fdq,47,31;kq1,42,5;16oy,42,4;14r2,41,4~fdq,47,31;fdl,33,18;yy,52,8;mbf,23,8;18om,51,7;hda,31,7;crv,41,7;7wi,9,6;kq1,42,5;32c,40,5	N:1plj,39,7;32c,27,2;jba,11,5~1plj,39,7;jba,11,5;32c,27,2
8cf|n|A small open vessel, or water craft, usually moved by cars or paddles, but often by a sail. ; Hence, any vessel; usually with some epithet descriptive of its use or mode of propulsion; as, pilot boat, packet boat, passage boat, advice boat, etc. The term is sometimes applied to steam vessels, even of the largest class; as, the Cunard boats. ; A vehicle, utensil, or dish, somewhat resembling a boat in shape; as, a stone boat; a gravy boat.	N:yo9,115,3~yo9,115,3
8ea|n|The material organized substance of an animal, whether living or dead, as distinguished from the spirit, or vital principle; the physical person. ; The trunk, or main part, of a person or animal, as distinguished from the limbs and head; the main, central, or principal part, as of a tree, army, country, etc. ; The real, as opposed to the symbolical; the substance, as opposed to the shadow. ; A person; a human being; -- frequently in composition; as, anybody, nobody. ; A number of individuals spoken of collectively, usually as united by some common tie, or as organized for some purpose; a collective whole or totality; a corporation; as, a legislative body; a clerical body. ; A number of things or particulars embodied in a system; a general collection; as, a great body of facts; a body of laws or of divinity. ; Any mass or portion of matter; any substance distinct from others; as, a metallic body; a moving body; an aeriform body. ; Amount; quantity; extent. ; That part of a garment covering the body, as distinguished from the parts covering the limbs. ; The bed or box of a vehicle, on or in which the load is placed; as, a wagon body; a cart body. ; The shank of a type, or the depth of the shank (by which the size is indicated); as, a nonpareil face on an agate body. ; A figure that has length, breadth, and thickness; any solid figure. ; Consistency; thickness; substance; strength; as, this color has body; wine of a good body.	a:yok,80,4;1qng,58,2;17jj,51,5;1vz5,45,4~17jj,51,5;1vz5,45,4;yok,80,4;1qng,58,2	v:fjw,45,7~fjw,45,7	n:ap0,78,4;d8r,70,3;1qng,48,1~ap0,78,4;d8r,70,3;1qng,48,1
8fc|n|of Boil ; The act of ebullition or of tumultuous agitation. ; Exposure to the action of a hot liquid.	N:285t,68,4;1jvx,59,6~1jvx,59,6;285t,68,4
8i4|n|That which binds, ties, fastens, or confines, or by which anything is fastened or bound, as a cord, chain, etc.; a band; a ligament; a shackle or a manacle. ; The state of being bound; imprisonment; captivity, restraint. ; A binding force or influence; a cause of union; a uniting tie; as, the bonds of fellowship. ; Moral or political duty or obligation. ; A writing under seal, by which a person binds himself, his heirs, executors, and administrators, to pay a certain sum on or before a future day appointed. This is a single bond. But usually a condition is added, that, if the obligor shall do a certain act, appear at a certain place, conform to certain rules, faithfully perform certain duties, or pay a certain sum of money, on or before a time specified, the obligation shall be void; otherwise it shall remain in full force. If the condition is not performed, the bond becomes forfeited, and the obligor and his heirs are liable to the payment of the whole sum. ; An instrument (of the nature of the ordinary legal bond) made by a government or a corporation for purpose of borrowing money; as, a government, city, or railway bond. ; The state of goods placed in a bonded warehouse till the duties are paid; as, merchandise in bond. ; The union or tie of the several stones or bricks forming a wall. The bricks may be arranged for this purpose in several different ways, as in English or block bond (Fig. 1), where one course consists of bricks with their ends toward the face of the wall, called headers, and the next course of bricks with their lengths parallel to the face of the wall, called stretchers; Flemish bond (Fig.2), where each course consists of headers and stretchers alternately, so laid as always to break joints; Cross bond, which differs from the English by the change of the second stretcher line so that its joints come in the middle of the first, and the same position of stretchers comes back every fifth line; Combined cross and English bond, where the inner part of the wall is laid in the one method, the outer in the other. ; A unit of chemical attraction; as, oxygen has two bonds of affinity. It is often represented in graphic formulae by a short line or dash. See Diagram of Benzene nucleus, and Valence. ; A vassal or serf; a slave.	a:7ey,40,5;vdr,33,5~vdr,33,5;7ey,40,5	N:1yak,62,6~1yak,62,6
8i4|v|To place under the conditions of a bond; to mortgage; to secure the payment of the duties on (goods or merchandise) by giving a bond. ; To dispose in building, as the materials of a wall, so as to secure solidity.	D:28e3,43,6~28e3,43,6
8ib|n|of Bond	a:1kbf,64,7;c3f,55,2;60f,46,5;vdr,37,11~vdr,37,11;1kbf,64,7;60f,46,5;c3f,55,2	V:1lmr,9,1~1lmr,9,1	n:2874,86,3;c3f,73,7;15ht,36,18~15ht,36,18;c3f,73,7;2874,86,3	N:1mh,76,2;1yak,55,6;1zqp,26,3~1yak,55,6;1zqp,26,3;1mh,76,2
8ib|v|of Bond	o:1mh,66,1;1yak,29,1~1yak,29,1;1mh,66,1
8in|n|The hard, calcified tissue of the skeleton of vertebrate animals, consisting very largely of calcic carbonate, calcic phosphate, and gelatine; as, blood and bone. ; One of the pieces or parts of an animal skeleton; as, a rib or a thigh bone; a bone of the arm or leg; also, any fragment of bony substance. (pl.) The frame or skeleton of the body. ; Anything made of bone, as a bobbin for weaving bone lace. ; Two or four pieces of bone held between the fingers and struck together to make a kind of music. ; Dice. ; Whalebone; hence, a piece of whalebone or of steel for a corset. ; Fig.: The framework of anything.	a:1oab,74,3~1oab,74,3
8k5|n|A collection of sheets of paper, or similar material, blank, written, or printed, bound together; commonly, many folded and bound sheets containing continuous printing or writing. ; A composition, written or printed; a treatise. ; A part or subdivision of a treatise or literary work; as, the tenth book of "Paradise Lost." ; A volume or collection of sheets in which accounts are kept; a register of debts and credits, receipts and expenditures, etc. ; Six tricks taken by one side, in the game of whist; in certain other games, two or more corresponding cards, forming a set.	a:on3,79,3~on3,79,3
