bnu|n|A very small and close apartment, as in a prison or in a monastery or convent; the hut of a hermit. ; A small religious house attached to a monastery or convent. ; Any small cavity, or hollow place. ; The space between the ribs of a vaulted roof. ; Same as Cella. ; A jar of vessel, or a division of a compound vessel, for holding the exciting fluid of a battery. ; One of the minute elementary structures, of which the greater part of the various tissues and organs of animals and plants are composed.	n:17l0,73,8~17l0,73,8	N:1jr5,116,13;1jr3,100,25;hk7,65,2;7y1,59,1~1jr3,100,25;1jr5,116,13;hk7,65,2;7y1,59,1
bnu|v|To place or inclose in a cell.	o:1jr5,79,1;7y1,69,2;1jr3,53,1~7y1,69,2;1jr3,53,1;1jr5,79,1	s:22b3,58,3~22b3,58,3
bnu|a|A very small and close apartment, as in a prison or in a monastery or convent; the hut of a hermit. ; A small religious house attached to a monastery or convent. ; Any small cavity, or hollow place. ; The space between the ribs of a vaulted roof. ; Same as Cella. ; A jar of vessel, or a division of a compound vessel, for holding the exciting fluid of a battery. ; One of the minute elementary structures, of which the greater part of the various tissues and organs of animals and plants are composed.	j:7y1,59,1;hk7,55,1~hk7,55,1;7y1,59,1
bo7|n|	n:95a,101,5~95a,101,5
boh|n|The Celsius thermometer or scale, so called from Anders Celsius, a Swedish astronomer, who invented it. It is the same as the centigrade thermometer or scale.	n:iz4,63,11~iz4,63,11	N:22o1,71,4;iz4,49,4;sem,24,4~iz4,49,4;22o1,71,4;sem,24,4
boh|v|The Celsius thermometer or scale, so called from Anders Celsius, a Swedish astronomer, who invented it. It is the same as the centigrade thermometer or scale.	s:iz5,86,24~iz5,86,24
bpq|n|A hundred; as, ten per cent, the proportion of ten parts in a hundred. ; A United States coin, the hundredth part of a dollar, formerly made of copper, now of copper, tin, and zinc. ; An old game at cards, supposed to be like piquet; -- so called because 100 points won the game.	n:1isz,92,9~1isz,92,9	N:18as,65,3~18as,65,3
bq2|n|A point equally distant from the extremities of a line, figure, or body, or from all parts of the circumference of a circle; the middle point or place. ; The middle or central portion of anything. ; A principal or important point of concentration; the nucleus around which things are gathered or to which they tend; an object of attention, action, or force; as, a center of attaction. ; The earth. ; Those members of a legislative assembly (as in France) who support the existing government. They sit in the middle of the legislative chamber, opposite the presiding officer, between the conservatives or monarchists, who sit on the right of the speaker, and the radicals or advanced republicans who occupy the seats on his left, See Right, and Left. ; A temporary structure upon which the materials of a vault or arch are supported in position until the work becomes self-supporting. ; One of the two conical steel pins, in a lathe, etc., upon which the work is held, and about which it revolves. ; A conical recess, or indentation, in the end of a shaft or other work, to receive the point of a center, on which the work can turn, as in a lathe.	a:19pm,37,4;g8e,7,3;1dky,3,6~1dky,3,6;19pm,37,4;g8e,7,3	v:1ezb,3,4~1ezb,3,4	V:mu5,41,3;1two,37,11~1two,37,11;mu5,41,3	n:y4w,54,180;251g,49,6;1d3v,48,5;6wp,17,28;1rdb,11,14;2bhx,8,3;18cg,5,2~y4w,54,180;6wp,17,28;1rdb,11,14;251g,49,6;1d3v,48,5;2bhx,8,3;18cg,5,2	N:23j5,37,15;mu5,35,2;aex,34,8;4ui,32,10;12ww,29,2;1z0h,26,2;1l91,26,25;1l9d,22,6;1zcj,13,1;yze,6,1;1k5c,2,1~1l91,26,25;23j5,37,15;4ui,32,10;aex,34,8;1l9d,22,6;mu5,35,2;12ww,29,2;1z0h,26,2;1zcj,13,1;yze,6,1;1k5c,2,1
bq2|v|Alt. of Centre	o:1zcj,23,2~1zcj,23,2
bq2|a|Alt. of Centre	j:yze,26,4;1l91,14,11;1k5c,12,2~1l91,14,11;yze,26,4;1k5c,12,2
bq5|v|of Centre	d:1iwk,57,3~1iwk,57,3
bq8|n|	n:1rdb,44,4~1rdb,44,4
bqh|v|Consisting of a hundred degrees; graduated into a hundred divisions or equal parts. ; Of or pertaining to the centigrade thermometer; as, 10¡ centigrade (or 10¡ C.).	s:iz5,78,1~iz5,78,1
bqp|n|	a:1z0h,87,4;1vl3,68,5;s9n,62,7~s9n,62,7;1vl3,68,5;1z0h,87,4
br0|a|Relating to the center; situated in or near the center or middle; containing the center; of or pertaining to the parts near the center; equidistant or equally accessible from certain points.	j:eej,102,5;e8z,92,5;16o,77,5;171g,70,7;qcg,67,5;1785,62,8;17ng,51,2;1kka,47,8;10aj,43,3;1hwu,26,5;1l91,22,3~1kka,47,8;1785,62,8;171g,70,7;qcg,67,5;1hwu,26,5;eej,102,5;16o,77,5;e8z,92,5;10aj,43,3;1l91,22,3;17ng,51,2	e:1c22,5,3~1c22,5,3
br7|v|of Centralize	o:22au,84,4~22au,84,4
br7|a|of Centralize	j:22au,74,2~22au,74,2
bra|n|See Center.	n:1rdb,30,5~1rdb,30,5
bra|v|To be placed in a center; to be central. ; To be collected to a point; to be concentrated; to rest on, or gather about, as a center. ; To place or fix in the center or on a central point. ; To collect to a point; to concentrate. ; To form a recess or indentation for the reception of a center. ; See Center.	s:y4w,50,13~y4w,50,13
bs0|n|	a:s9n,50,6~s9n,50,6
