bqo|n|A series of links or rings, usually of metal, connected, or fitted into one another, used for various purposes, as of support, of restraint, of ornament, of the exertion and transmission of mechanical power, etc. ; That which confines, fetters, or secures, as a chain; a bond; as, the chains of habit. ; A series of things linked together; or a series of things connected and following each other in succession; as, a chain of mountains; a chain of events or ideas. ; An instrument which consists of links and is used in measuring land. ; Iron links bolted to the side of a vessel to bold the dead-eyes connected with the shrouds; also, the channels. ; The warp threads of a web.	a:9xj,51,1;wz,32,3;16r0,29,5;28qm,25,2~16r0,29,5;wz,32,3;28qm,25,2;9xj,51,1	n:5zk,75,1;m4o,74,2;1zmh,65,9;slp,63,5;9xj,61,2;22p9,52,5;e1h,40,6;cwu,28,2;28qm,25,2~1zmh,65,9;e1h,40,6;slp,63,5;22p9,52,5;9xj,61,2;28qm,25,2;m4o,74,2;cwu,28,2;5zk,75,1	N:1o99,65,4;1rbf,47,4;17sg,39,2;1t0n,38,4~1t0n,38,4;1o99,65,4;1rbf,47,4;17sg,39,2
bqu|n|A movable single seat with a back. ; An official seat, as of a chief magistrate or a judge, but esp. that of a professor; hence, the office itself. ; The presiding officer of an assembly; a chairman; as, to address the chair. ; A vehicle for one person; either a sedan borne upon poles, or two-wheeled carriage, drawn by one horse; a gig. ; An iron block used on railways to support the rails and secure them to the sleepers.	a:o8k,67,7;1lup,61,2;adq,40,3;izy,39,4;520,25,4;10z9,16,5;51h,8,3;ugg,2,6~o8k,67,7;ugg,2,6;10z9,16,5;520,25,4;izy,39,4;adq,40,3;51h,8,3;1lup,61,2	v:o8k,49,2;1bss,46,8~1bss,46,8;o8k,49,2	V:22lf,21,4;1s9c,15,6;12vj,15,1;4vo,13,6;22p8,7,2~4vo,13,6;1s9c,15,6;22lf,21,4;22p8,7,2;12vj,15,1	n:2797,57,3;1tu9,50,16;izx,38,64;lb4,33,8;e33,24,15;enw,16,11;1lwk,15,14;4fp,11,6;1t0n,8,4;51h,8,3~izx,38,64;1tu9,50,16;e33,24,15;1lwk,15,14;enw,16,11;lb4,33,8;vjo,0,7;4fp,11,6;253x,3,4;1t0n,8,4	N:avs,81,3;1lut,39,3;20f9,4,5~20f9,4,5;1lut,39,3;avs,81,3
bqv|v|of Chair	o:1luo,36,1~1luo,36,1
bqw|n|of Chair	N:1luo,50,2~1luo,50,2
bqx|n|The presiding officer of a committee, or of a public or private meeting, or of any organized body. ; One whose business it is to cary a chair or sedan.	v:izx,64,4~izx,64,4	n:enw,63,3~enw,63,3
brv|n|A soft, earthy substance, of a white, grayish, or yellowish white color, consisting of calcium carbonate, and having the same composition as common limestone. ; Finely prepared chalk, used as a drawing implement; also, by extension, a compound, as of clay and black lead, or the like, used in the same manner. See Crayon.	v:26eh,3,1~26eh,3,1	n:mnl,123,1;26eh,3,1~mnl,123,1;26eh,3,1	N:mnf,95,7;y5e,73,4;20md,40,4;8by,37,2~mnf,95,7;20md,40,4;y5e,73,4;8by,37,2
brx|v|of Chalk	D:265j,52,3~265j,52,3
bs2|n|An invitation to engage in a contest or controversy of any kind; a defiance; specifically, a summons to fight a duel; also, the letter or message conveying the summons. ; The act of a sentry in halting any one who appears at his post, and demanding the countersign. ; A claim or demand. ; The opening and crying of hounds at first finding the scent of their game. ; An exception to a juror or to a member of a court martial, coupled with a demand that he should be held incompetent to act; the claim of a party that a certain person or persons shall not sit in trial upon him or his cause. ; An exception to a person as not legally qualified to vote. The challenge must be made when the ballot is offered. ; To call to a contest of any kind; to call to answer; to defy. ; To call, invite, or summon to answer for an offense by personal combat. ; To claim as due; to demand as a right. ; To censure; to blame. ; To question or demand the countersign from (one who attempts to pass the lines); as, the sentinel challenged us, with "Who comes there?" ; To take exception to; question; as, to challenge the accuracy of a statement or of a quotation. ; To object to or take exception to, as to a juror, or member of a court. ; To object to the reception of the vote of, as on the ground that the person in not qualified as a voter.	a:7mr,61,7;zt6,51,4;7mq,48,5;22wm,43,2;129r,41,6;14cl,38,5;zf,32,3;1unl,31,6;vrg,27,7;17jj,27,6~vrg,27,7;7mr,61,7;17jj,27,6;129r,41,6;1unl,31,6;1cdz,9,6;7md,25,6;14cl,38,5;7mq,48,5;17kp,26,5	V:q8w,15,1;ha,4,1~ha,4,1;q8w,15,1	n:t6p,58,9;12g0,1,1~t6p,58,9;12g0,1,1
bs2|v|To assert a right; to claim a place.	d:1cdu,8,4~1cdu,8,4
bs4|v|of Challenge	d:1vtu,93,4;pk4,77,3~1vtu,93,4;pk4,77,3
bs6|n|of Challenge	N:1lpj,3,3;d1g,2,1~1lpj,3,3;d1g,2,1
bs6|v|of Challenge	o:20vb,37,3;1v07,4,2;1lqj,3,2;1e09,3,1;d1g,2,1~20vb,37,3;1v07,4,2;1lqj,3,2;1e09,3,1;d1g,2,1	s:7wi,9,3~7wi,9,3	d:129w,47,1;210s,24,1;p3e,20,1;1gns,15,2;qod,14,2;2cf,2,3;1lgp,1,2~2cf,2,3;qod,14,2;1gns,15,2;1lgp,1,2;129w,47,1;p3e,20,1;210s,24,1	D:ohj,3,4~ohj,3,4
bs6|a|of Challenge	j:20vb,42,4;d1g,25,5;1e09,23,4;1v07,10,3;18cp,9,3;1lx8,9,3;21y4,5,4;13tv,3,3;qdb,3,3;g8r,3,3~d1g,25,5;21y4,5,4;20vb,42,4;1e09,23,4;1lx8,9,3;g8r,3,3;qdb,3,3;13tv,3,3;1v07,10,3;18cp,9,3	e:129w,47,1;210s,34,2;1gns,25,4;qod,20,3;p3e,20,1;1b10,10,10;1awf,2,20;1dsp,2,3~1awf,2,20;1b10,10,10;1gns,25,4;qod,20,3;1dsp,2,3;210s,34,2;p3e,20,1;129w,47,1
bsg|n|A retired room, esp. an upper room used for sleeping; a bedroom; as, the house had four chambers. ; Apartments in a lodging house. ; A hall, as where a king gives audience, or a deliberative body or assembly meets; as, presence chamber; senate chamber. ; A legislative or judicial body; an assembly; a society or association; as, the Chamber of Deputies; the Chamber of Commerce. ; A compartment or cell; an inclosed space or cavity; as, the chamber of a canal lock; the chamber of a furnace; the chamber of the eye. ; A room or rooms where a lawyer transacts business; a room or rooms where a judge transacts such official business as may be done out of court. ; A chamber pot. ; That part of the bore of a piece of ordnance which holds the charge, esp. when of different diameter from the rest of the bore; -- formerly, in guns, made smaller than the bore, but now larger, esp. in breech-loading guns. ; A cavity in a mine, usually of a cubical form, to contain the powder. ; A short piece of ordnance or cannon, which stood on its breech, without any carriage, formerly used chiefly for rejoicings and theatrical cannonades.	a:26iq,91,5;26of,74,2;18u7,71,4;mxa,66,4;x3x,62,9;d9p,47,3;9jl,46,7;1d2v,35,4;x3w,29,2;1lmq,1,1~x3x,62,9;9jl,46,7;26iq,91,5;18u7,71,4;1d2v,35,4;mxa,66,4;d9p,47,3;x3w,29,2;26of,74,2;1lmq,1,1	v:18ub,66,3;x4h,57,5~x4h,57,5;18ub,66,3	V:x4h,57,5;26ev,20,4~x4h,57,5;26ev,20,4	n:26iq,67,1;x3w,29,2;1lmq,16,3;1lms,7,1~1lmq,16,3;x3w,29,2;1lms,7,1;26iq,67,1	N:x3y,56,5;2168,40,6;x4h,34,1~2168,40,6;x3y,56,5;x4h,34,1
bsg|a|A retired room, esp. an upper room used for sleeping; a bedroom; as, the house had four chambers. ; Apartments in a lodging house. ; A hall, as where a king gives audience, or a deliberative body or assembly meets; as, presence chamber; senate chamber. ; A legislative or judicial body; an assembly; a society or association; as, the Chamber of Deputies; the Chamber of Commerce. ; A compartment or cell; an inclosed space or cavity; as, the chamber of a canal lock; the chamber of a furnace; the chamber of the eye. ; A room or rooms where a lawyer transacts business; a room or rooms where a judge transacts such official business as may be done out of court. ; A chamber pot. ; That part of the bore of a piece of ordnance which holds the charge, esp. when of different diameter from the rest of the bore; -- formerly, in guns, made smaller than the bore, but now larger, esp. in breech-loading guns. ; A cavity in a mine, usually of a cubical form, to contain the powder. ; A short piece of ordnance or cannon, which stood on its breech, without any carriage, formerly used chiefly for rejoicings and theatrical cannonades.	j:2168,14,1~2168,14,1
bta|v|To furnish with a champion; to attend or defend as champion; to support or maintain; to protect.	s:c4r,123,3~c4r,123,3
btg|n|A supposed material or psychical agent or mode of activity other than a force, law, or purpose; fortune; fate; -- in this sense often personified. ; The operation or activity of such agent. ; The supposed effect of such an agent; something that befalls, as the result of unknown or unconsidered forces; the issue of uncertain conditions; an event not calculated upon; an unexpected occurrence; a happening; accident; fortuity; casualty. ; A possibility; a likelihood; an opportunity; -- with reference to a doubtful result; as, a chance to escape; a chance for life; the chances are all against him. ; Probability.	a:1vcv,63,4;r4x,49,2;1vcj,43,7;1pf5,41,5;22ft,38,5;1oaf,37,4;7mq,33,6;p31,33,5;i3a,32,7;10te,31,3~16i4,14,14;xvm,7,10;16y3,24,9;1oc3,17,8;1t2s,8,8;1vcj,43,7;15bd,4,7;7c0,2,7;qw1,19,7;i3a,32,7	v:rp2,46,3;10te,16,1;29t6,4,1;10td,2,1;1o11,1,1~rp2,46,3;10te,16,1;10td,2,1;1o11,1,1;29t6,4,1	V:1lch,23,2;up1,2,6~up1,2,6;1lch,23,2	n:rp2,30,1;1z2q,28,6;29t6,4,1;qw1,1,2~1z2q,28,6;qw1,1,2;rp2,30,1;29t6,4,1	N:koa,35,2~koa,35,2
btn|n|A judicial court of chancery, which in England and in the United States is distinctively a court with equity jurisdiction.	n:2797,121,5~2797,121,5
bu1|n|To alter; to make different; to cause to pass from one state to another; as, to change the position, character, or appearance of a thing; to change the countenance. ; To alter by substituting something else for, or by giving up for something else; as, to change the clothes; to change one's occupation; to change one's intention. ; To give and take reciprocally; to exchange; -- followed by with; as, to change place, or hats, or money, with another. ; Specifically: To give, or receive, smaller denominations of money (technically called change) for; as, to change a gold coin or a bank bill. ; To be altered; to undergo variation; as, men sometimes change for the better. ; To pass from one phase to another; as, the moon changes to-morrow night. ; Any variation or alteration; a passing from one state or form to another; as, a change of countenance; a change of habits or principles. ; A succesion or substitution of one thing in the place of another; a difference; novelty; variety; as, a change of seasons. ; A passing from one phase to another; as, a change of the moon. ; Alteration in the order of a series; permutation. ; That which makes a variety, or may be substituted for another. ; Small money; the money by means of which the larger coins and bank bills are made available in small dealings; hence, the balance returned when payment is tendered by a coin or note exceeding the sum due. ; A place where merchants and others meet to transact business; a building appropriated for mercantile transactions. ; A public house; an alehouse. ; Any order in which a number of bells are struck, other than that of the diatonic scale.	a:1nu6,51,5;m6h,49,7;1z59,43,5;1zs3,30,3;1yyj,28,3;1vcj,25,6;28dj,18,4;19s2,11,3;1p8j,8,3;19rc,4,5~m6h,49,7;1khj,1,6;1vcj,25,6;1nu6,51,5;19rc,4,5;1z59,43,5;28dj,18,4;19s2,11,3;1zs3,30,3;1yyj,28,3	v:1fs,5,4~1fs,5,4	V:230v,21,2;1q0g,11,2~230v,21,2;1q0g,11,2	n:1jsx,35,4;dvr,27,12;1zs3,14,1;h5a,11,6;1ecz,11,7;t6p,9,3;22p9,8,6;ug1,6,3;1jyl,4,8;n3i,3,4~dvr,27,12;1jyl,4,8;1ecz,11,7;h5a,11,6;22p9,8,6;1jsx,35,4;n3i,3,4;t6p,9,3;ug1,6,3;1zs3,14,1	N:20ip,39,1;16oc,28,3;1fau,23,1;230v,21,2;dzy,14,5;1iym,5,2;y10,5,4~dzy,14,5;y10,5,4;16oc,28,3;230v,21,2;1iym,5,2;1fau,23,1;20ip,39,1
bu1|v|To alter; to make different; to cause to pass from one state to another; as, to change the position, character, or appearance of a thing; to change the countenance. ; To alter by substituting something else for, or by giving up for something else; as, to change the clothes; to change one's occupation; to change one's intention. ; To give and take reciprocally; to exchange; -- followed by with; as, to change place, or hats, or money, with another. ; Specifically: To give, or receive, smaller denominations of money (technically called change) for; as, to change a gold coin or a bank bill. ; To be altered; to undergo variation; as, men sometimes change for the better. ; To pass from one phase to another; as, the moon changes to-morrow night. ; Any variation or alteration; a passing from one state or form to another; as, a change of countenance; a change of habits or principles. ; A succesion or substitution of one thing in the place of another; a difference; novelty; variety; as, a change of seasons. ; A passing from one phase to another; as, a change of the moon. ; Alteration in the order of a series; permutation. ; That which makes a variety, or may be substituted for another. ; Small money; the money by means of which the larger coins and bank bills are made available in small dealings; hence, the balance returned when payment is tendered by a coin or note exceeding the sum due. ; A place where merchants and others meet to transact business; a building appropriated for mercantile transactions. ; A public house; an alehouse. ; Any order in which a number of bells are struck, other than that of the diatonic scale.	o:20j7,44,3;1su6,40,11;2176,32,3;slk,27,5;kcf,26,21;1oai,18,3;rpw,17,41;1vby,16,5;1zkx,15,30;1u21,12,3~rpw,17,41;1zkx,15,30;25l5,3,22;kcf,26,21;pu1,6,15;1su6,40,11;2168,4,11;1d2v,1,8;1v0x,9,7;6xw,9,6	s:vjk,54,5;26v0,48,5;1twq,43,7;20g2,34,3;1bsr,29,104;15ht,29,97;1gdd,25,3;1xl0,24,16;1ndq,21,3;rpw,18,44~1bsr,29,104;15ht,29,97;rpw,18,44;2168,14,21;1xl0,24,16;1d2v,7,12;163a,3,9;kcf,14,9;1twq,43,7;1d5e,8,7	d:1q5p,55,9;1nu9,46,6;tp7,45,15;m5v,40,8;17fi,38,3;1yyb,36,13;4ad,34,3;216t,30,3;17zl,30,17;1oag,28,3~mtw,12,23;e9a,11,23;2fi,1,22;1ut3,3,18;17zl,30,17;tp7,45,15;1yyb,36,13;1unm,17,10;22vi,14,10;1vcq,8,10	D:20ip,49,2;m5v,38,7;1o2v,35,7;1fau,33,2;f0k,24,4;1unm,23,15;1nkg,16,14;tb3,14,6;1vfv,14,3;1w4g,9,5~1unm,23,15;1nkg,16,14;1vcq,8,10;m5v,38,7;1o2v,35,7;tb3,14,6;1w4g,9,5;f0k,24,4;1vfv,14,3;1fau,33,2
bu6|v|of Change	o:kcf,18,3;18j4,17,2;pu1,10,5;1bsr,7,6;25l5,6,7;1czl,6,4;3qx,5,8;1695,5,3;rpw,3,4~3qx,5,8;25l5,6,7;1bsr,7,6;pu1,10,5;rpw,3,4;1czl,6,4;1695,5,3;kcf,18,3;18j4,17,2	s:1xl0,38,11;htf,20,4;1jyl,20,6;1jyj,20,3;1o59,19,4;6xw,19,3;1czl,18,9;15h0,15,3;22i1,13,4;n1w,12,5~1xl0,38,11;1czl,18,9;1lx8,10,7;1bsr,7,6;1v07,9,6;1jyl,20,6;n1w,12,5;pu1,7,4;htf,20,4;vja,9,4	d:1nu9,63,5;i4,53,9;m5v,50,4;26rk,45,3;im4,40,3;1yyb,35,3;15nm,34,5;1vfv,33,3;1unm,24,4;1ofx,23,8~i4,53,9;e9a,15,8;1ofx,23,8;1cdu,2,7;x5,0,7;1vcq,18,5;15c2,12,5;15nm,34,5;1nu9,63,5;1ut3,4,5	D:f0k,47,5;m5v,45,3;1yyb,45,6;k9,42,5;1unm,30,6;1vcq,18,5;2aq,10,6;15c2,8,4;1w24,8,3;1l3,6,5~1yyb,45,6;2aq,10,6;5y1,4,6;1unm,30,6;f0k,47,5;k9,42,5;1l3,6,5;1vcq,18,5;15c2,8,4;1w24,8,3
bu6|a|of Change	j:18j4,7,1~18j4,7,1
