1jab|n|	a:s6y,119,2;1unl,117,6;5jm0,104,2;1uni,95,3;4shm,73,1;5ol9,55,1;9ej3,27,1;3gx5,12,1;4rk8,6,1;7rjb,0,5~1unl,117,6;7rjb,0,5;1uni,95,3;s6y,119,2;5jm0,104,2;9ej3,27,1;4rk8,6,1;3gx5,12,1;4shm,73,1;5ol9,55,1	v:5ol9,85,8;1uni,79,1;wn2,39,1~5ol9,85,8;wn2,39,1;1uni,79,1	V:83h8,74,2;2bbh,63,3;90qn,34,4~90qn,34,4;2bbh,63,3;83h8,74,2	n:1unl,143,37;1uni,122,20;5jm0,117,5;s6y,109,1;1xix,101,17;8qhq,99,6;1jab,99,10;twk,86,18;you,82,2;1jbg,81,5;1ifh,74,28;4rk8,71,89;1dmw,64,1;9ej3,60,10;64sr,57,1~4rk8,71,89;1unl,143,37;1ifh,74,28;1uni,122,20;twk,86,18;1xix,101,17;9k66,2,16;1jab,99,10;9ej3,60,10;7ejy,11,9;tew,48,8;3cq8,20,7;8qhq,99,6;2g6a,18,5;42ym,17,5	N:1gj2,159,18;8lwl,141,3;7p95,138,2;2bbh,107,64;1jbg,105,27;2m8w,103,1;1jab,99,10;6lk,96,11;1xix,92,9;26o6,91,3;83h8,90,6;3igw,83,7;8qhq,83,2;2jnk,77,4;647,74,1~2bbh,107,64;25xb,29,33;1jbg,105,27;5bgs,71,19;1gj2,159,18;6lk,96,11;1jab,99,10;56a7,6,10;1xix,92,9;ahbo,5,7;3igw,83,7;83h8,90,6;2jnk,77,4;27n9,24,4;8lwl,141,3
1jab|v|	s:1uo2,34,4~1uo2,34,4
1jac|n|	n:1,93,5~1,93,5
1jae|n|	a:5dty,50,8;8msh,40,6;27tk,29,2;6n1f,23,10;a8du,18,14;tu4,15,1;90mt,14,16;akza,13,4~90mt,14,16;a8du,18,14;6n1f,23,10;5dty,50,8;8msh,40,6;akza,13,4;27tk,29,2;tu4,15,1	v:tu4,56,18;2bbh,42,1;1xkq,36,1;27tk,19,1;55z2,15,8;a7cv,0,6~tu4,56,18;55z2,15,8;a7cv,0,6;2bbh,42,1;27tk,19,1;1xkq,36,1	V:969x,67,8;3slo,61,1;8f8w,29,4;7eqv,27,5;9ohv,20,2;a7cv,10,12;3qrn,9,11~a7cv,10,12;3qrn,9,11;969x,67,8;7eqv,27,5;8f8w,29,4;9ohv,20,2;3slo,61,1	n:3slo,81,4;1jae,78,5;7l3r,61,2;2bbh,58,3;16yv,29,28;tu4,25,2;9fie,24,2;8msd,22,3;16wf,20,10;27tk,19,1;33r5,7,4;8pj0,1,24;71f,1,4;tyq,1,34~tyq,1,34;16yv,29,28;8pj0,1,24;16wf,20,10;1jae,78,5;71f,1,4;33r5,7,4;3slo,81,4;8msd,22,3;2bbh,58,3;9fie,24,2;tu4,25,2;7l3r,61,2;27tk,19,1	N:4ktb,97,261;7npd,94,21;3slo,81,4;7l3r,79,7;1jae,78,5;3sl9,58,7;975v,57,14;7eqv,38,11;7gb5,30,53;80a0,28,1;9ohv,26,3;8t1k,24,5;eje,23,152;7gdv,19,4;30cp,19,2~4ktb,97,261;eje,23,152;1mcq,4,60;7gb5,30,53;8u78,13,38;8d0v,16,32;7npd,94,21;ela,15,18;j7h,2,15;975v,57,14;7eqv,38,11;3sl9,58,7;7l3r,79,7;h9i,3,7;969d,9,6
1jah|n|	v:9k66,3,2~9k66,3,2	V:789p,53,4~789p,53,4	n:1jah,163,12;9g46,135,4;19je,78,4;9k66,23,8;41n2,6,2;5eh7,5,1~1jah,163,12;9k66,23,8;19je,78,4;9g46,135,4;41n2,6,2;5eh7,5,1	N:1jah,163,12;1poa,94,5;8h1f,71,9;9h3t,56,6;j7h,20,4~1jah,163,12;8h1f,71,9;9h3t,56,6;1poa,94,5;j7h,20,4
1jah|a|	j:2vor,10,3;j7h,10,2~2vor,10,3;j7h,10,2
1jai|n|	a:8y8g,132,6~8y8g,132,6	V:1jbr,155,1;ar63,14,1~1jbr,155,1;ar63,14,1	n:1jai,192,12;1ii2,133,22~1ii2,133,22;1jai,192,12	N:1jbr,201,24;1jai,192,12~1jbr,201,24;1jai,192,12
1jal|n|	N:5so7,132,2~5so7,132,2
1jam|n|	v:8f4t,11,3~8f4t,11,3	V:86mq,100,5;28co,55,2~86mq,100,5;28co,55,2	N:86o4,87,2;28fr,66,3;1av0,45,20~1av0,45,20;28fr,66,3;86o4,87,2
1jan|n|	a:9ej3,101,7~9ej3,101,7	v:9ej3,83,2~9ej3,83,2	n:9ej3,129,48~9ej3,129,48
1jaq|n|	a:3f7k,87,4~3f7k,87,4	N:2tat,64,7~2tat,64,7
