hgi|n|A regular solid body, with six equal square sides. ; The product obtained by taking a number or quantity three times as a factor; as, 4x4=16, and 16x4=64, the cube of 4.	a:z00,50,4;1xqa,48,16;1win,24,4;168q,20,4;1x8n,10,3;1thb,5,6~1xqa,48,16;1thb,5,6;1win,24,4;168q,20,4;z00,50,4;1x8n,10,3	v:2a1q,80,1~2a1q,80,1	V:eau,39,11;1x2e,34,2;1n1l,25,11~1n1l,25,11;eau,39,11;1x2e,34,2	n:aex,81,145;2bn6,71,15;23dg,59,72;z00,40,2;dnv,37,3;1bf4,23,23~aex,81,145;23dg,59,72;1bf4,23,23;2bn6,71,15;dnv,37,3;z00,40,2	N:1wr5,12,2;1bgv,4,3;1n1v,2,2~1bgv,4,3;1n1v,2,2;1wr5,12,2
hgi|v|To raise to the third power; to obtain the cube of.	s:2bn6,32,1;aex,9,1~aex,9,1;2bn6,32,1
hgi|a|A regular solid body, with six equal square sides. ; The product obtained by taking a number or quantity three times as a factor; as, 4x4=16, and 16x4=64, the cube of 4.	j:1wr5,27,6;23dg,27,8;1bgv,16,7;1n1v,12,4;1n3r,10,1;1hwu,8,6~23dg,27,8;1bgv,16,7;1hwu,8,6;1wr5,27,6;1n1v,12,4;1n3r,10,1
hgm|n|	a:23dg,23,1~23dg,23,1	n:aex,85,31;23dg,64,18;1bf4,4,1~aex,85,31;23dg,64,18;1bf4,4,1
hgm|a|	j:23m,74,5~23m,74,5
hgo|a|Alt. of Cubical	j:11fg,70,1;12c9,65,10;1bf4,43,9~12c9,65,10;1bf4,43,9;11fg,70,1
hi6|n|The tail; the end of a thing; especially, a tail-like twist of hair worn at the back of the head; a queue. ; The last words of a play actor's speech, serving as an intimation for the next succeeding player to speak; any word or words which serve to remind a player to speak or to do something; a catchword. ; A hint or intimation. ; The part one has to perform in, or as in, a play. ; Humor; temper of mind. ; A straight tapering rod used to impel the balls in playing billiards. ; A small portion of bread or beer; the quantity bought with a farthing or half farthing.	n:1rw1,75,3~1rw1,75,3
hjn|n|One accused of, or arraigned for, a crime, as before a judge. ; One quilty of a fault; a criminal.	a:176l,60,11;18l6,51,3~176l,60,11;18l6,51,3
hk6|a|Of or pertaining to culture.	j:1e49,99,9;qz1,87,10;khx,83,14;63j,66,6;khv,49,5;fmi,46,2;1pug,39,2;23uu,37,4;14ec,20,2~khx,83,14;qz1,87,10;1e49,99,9;63j,66,6;khv,49,5;23uu,37,4;1pug,39,2;14ec,20,2;fmi,46,2
hk7|n|The act or practice of cultivating, or of preparing the earth for seed and raising crops by tillage; as, the culture of the soil. ; The act of, or any labor or means employed for, training, disciplining, or refining the moral and intellectual nature of man; as, the culture of the mind. ; The state of being cultivated; result of cultivation; physical improvement; enlightenment and discipline acquired by mental and moral training; civilization; refinement in manners and taste.	a:1pka,70,1;2aka,67,2;2nq,64,7;bnu,55,1;17n1,54,5;86u,51,1;es,48,23;1u81,36,3;1o4o,31,3;15qm,31,2;khz,22,8;1gtw,20,4;ww2,13,1~es,48,23;khz,22,8;2nq,64,7;17n1,54,5;1gtw,20,4;1u81,36,3;1o4o,31,3;2aka,67,2;15qm,31,2;86u,51,1;1pka,70,1;bnu,55,1;ww2,13,1	n:1pka,90,4;bnu,65,2;204r,56,4;1rdb,5,3~204r,56,4;1pka,90,4;1rdb,5,3;bnu,65,2	N:1w14,80,4;1ytr,78,3;1zcd,40,3~1w14,80,4;1ytr,78,3;1zcd,40,3
