k7d|a|Joining two not adjacent angles of a quadrilateral or multilateral figure; running across from corner to corner; crossing at an angle with one of the sides.	j:201l,128,2;1scb,85,8;177e,77,23;se1,62,3;606,51,3;176t,49,6~177e,77,23;1scb,85,8;176t,49,6;606,51,3;se1,62,3;201l,128,2
k7g|n|A figure or drawing made to illustrate a statement, or facilitate a demonstration; a plan. ; Any simple drawing made for mathematical or scientific purposes, or to assist a verbal explanation which refers to it; a mechanical drawing, as distinguished from an artistical one.	a:2aw3,63,2~2aw3,63,2	v:2aw3,69,3~2aw3,69,3	n:2aw3,82,7;d1e,72,3~2aw3,82,7;d1e,72,3
k7i|n|	a:2aw3,87,4~2aw3,87,4	v:2aw3,77,2~2aw3,77,2	n:2aw3,77,2~2aw3,77,2
k7p|a|An instrument, formerly much used for showing the time of day from the shadow of a style or gnomon on a graduated arc or surface; esp., a sundial; but there are lunar and astral dials. The style or gnomon is usually parallel to the earth's axis, but the dial plate may be either horizontal or vertical. ; The graduated face of a timepiece, on which the time of day is shown by pointers or hands. ; A miner's compass.	j:11tw,84,2;uzs,80,3~uzs,80,3;11tw,84,2
k7q|n|Means or mode of expressing thoughts; language; tongue; form of speech. ; The form of speech of a limited region or people, as distinguished from ether forms nearly related to it; a variety or subdivision of a language; speech characterized by local peculiarities or specific circumstances; as, the Ionic and Attic were dialects of Greece; the Yorkshire dialect; the dialect of the learned.	a:ru6,120,2~ru6,120,2	n:1yth,124,3~1yth,124,3
k7z|v|of Dial	s:1vf8,65,8~1vf8,65,8
k87|n|	N:918,86,7~918,86,7
k8r|n|	a:1e6p,30,3~1e6p,30,3
k8y|n|Any right line passing through the center of a figure or body, as a circle, conic section, sphere, cube, etc., and terminated by the opposite boundaries; a straight line which bisects a system of parallel chords drawn in a curve. ; A diametral plane. ; The length of a straight line through the center of an object from side to side; width; thickness; as, the diameter of a tree or rock. ; The distance through the lower part of the shaft of a column, used as a standard measure for all parts of the order. See Module.	a:12nh,68,45;1dto,62,8;1g10,61,44;nmd,54,17;165t,51,40;1x3i,51,30;11k5,48,5;fdj,38,5;13fb,30,5;1x3f,30,23;yx0,28,6;1g5p,27,8;g7a,22,11;165q,22,9;1ke4,22,1~12nh,68,45;1g10,61,44;165t,51,40;1x3i,51,30;1bbk,20,29;1x3f,30,23;nmd,54,17;g7a,22,11;165q,22,9;1g5p,27,8;1dto,62,8;yx0,28,6;xu,15,5;11k5,48,5;13fb,30,5	v:8tr,41,1;11mn,28,3;v1q,12,2;1tcb,7,14~1tcb,7,14;11mn,28,3;v1q,12,2;8tr,41,1	V:bj0,37,7;11mr,30,2;1vf7,27,12;19iw,15,7;11mm,11,3~1vf7,27,12;19iw,15,7;bj0,37,7;11mm,11,3;11mr,30,2	n:8tr,51,2;1e6p,50,243;1vjp,50,8;scq,45,220;hus,37,5;yx0,34,9;rao,25,14;1ke4,22,1;1g10,22,3;v1q,22,4;1ark,19,3;1bbk,19,28;19g8,15,2;dn4,13,1;165t,8,2~1e6p,50,243;scq,45,220;1bbk,19,28;rao,25,14;yx0,34,9;1vjp,50,8;hus,37,5;v1q,22,4;1ark,19,3;1g10,22,3;19g8,15,2;12ut,8,2;165t,8,2;8tr,51,2;dn4,13,1	N:2aq5,61,76;hus,40,6;24d9,39,3;11mr,36,3;rx8,34,6;yx0,26,5;fq4,18,5;scq,12,23;1e6p,11,16;1ved,10,10;bj0,9,1;rao,2,3~2aq5,61,76;scq,12,23;1e6p,11,16;1ved,10,10;rx8,34,6;hus,40,6;fq4,18,5;yx0,26,5;11mr,36,3;24d9,39,3;rao,2,3;bj0,9,1
k8y|a|Any right line passing through the center of a figure or body, as a circle, conic section, sphere, cube, etc., and terminated by the opposite boundaries; a straight line which bisects a system of parallel chords drawn in a curve. ; A diametral plane. ; The length of a straight line through the center of an object from side to side; width; thickness; as, the diameter of a tree or rock. ; The distance through the lower part of the shaft of a column, used as a standard measure for all parts of the order. See Module.	j:yx0,13,2~yx0,13,2
k8z|n|	a:scq,33,3;1e6p,31,2~scq,33,3;1e6p,31,2	n:1e6p,60,15;scq,33,3~1e6p,60,15;scq,33,3
k97|n|A precious stone or gem excelling in brilliancy and beautiful play of prismatic colors, and remarkable for extreme hardness. ; A geometrical figure, consisting of four equal straight lines, and having two of the interior angles acute and two obtuse; a rhombus; a lozenge. ; One of a suit of playing cards, stamped with the figure of a diamond. ; A pointed projection, like a four-sided pyramid, used for ornament in lines or groups. ; The infield; the square space, 90 feet on a side, having the bases at its angles. ; The smallest kind of type in English printing, except that called brilliant, which is seldom seen.	a:289v,3,2~289v,3,2	v:289v,17,5~289v,17,5	V:zbs,39,4~zbs,39,4	n:2ayb,28,5~2ayb,28,5	N:1edo,100,13;1bd5,90,23;1bf5,81,13;1bdx,77,20;1bdw,61,6;zbs,51,9;xr2,42,4~1bd5,90,23;1bdx,77,20;1edo,100,13;1bf5,81,13;zbs,51,9;1bdw,61,6;xr2,42,4
k97|a|Resembling a diamond; made of, or abounding in, diamonds; as, a diamond chain; a diamond field.	j:1edo,73,2;1bf5,54,2;1bdx,50,3;xr2,22,1~1bdx,50,3;1bf5,54,2;1edo,73,2;xr2,22,1
kc9|n|Small cubes used in gaming or in determining by chance; also, the game played with dice. See Die, n. ; of Die	a:ri1,76,5;1mx7,38,2;1bbk,18,1~ri1,76,5;1mx7,38,2;1bbk,18,1	v:1mx7,66,14~1mx7,66,14
kcq|n|A cutting in two; a division. ; Division or distribution of genera into two species; division into two subordinate parts. ; That phase of the moon in which it appears bisected, or shows only half its disk, as at the quadratures. ; Successive division and subdivision, as of a stem of a plant or a vein of the body, into two parts as it proceeds from its origin; successive bifurcation. ; The place where a stem or vein is forked. ; Division into two; especially, the division of a class into two subclasses opposed to each other by contradiction, as the division of the term man into white and not white.	a:rjv,120,12~rjv,120,12
ke0|n|A book containing the words of a language, arranged alphabetically, with explanations of their meanings; a lexicon; a vocabulary; a wordbook. ; Hence, a book containing the words belonging to any system or province of knowledge, arranged alphabetically; as, a dictionary of medicine or of botany; a biographical dictionary.	a:285x,125,3~285x,125,3	N:iud,89,8~iud,89,8
keu|n|	V:1xmy,57,2;smc,40,1;1upi,13,1~1xmy,57,2;smc,40,1;1upi,13,1
keu|v|	o:2b4n,23,2~2b4n,23,2
keu|a|	j:2b4n,23,2~2b4n,23,2
kf9|n|of Dice ; A small cube, marked on its faces with spots from one to six, and used in playing games by being shaken in a box and thrown from it. See Dice. ; Any small cubical or square body. ; That which is, or might be, determined, by a throw of the die; hazard; chance. ; That part of a pedestal included between base and cornice; the dado. ; A metal or plate (often one of a pair) so cut or shaped as to give a certain desired form to, or impress any desired device on, an object or surface, by pressure or by a blow; used in forging metals, coining, striking up sheet metal, etc. ; A perforated block, commonly of hardened steel used in connection with a punch, for punching holes, as through plates, or blanks from plates, or for forming cups or capsules, as from sheet metal, by drawing. ; A hollow internally threaded screw-cutting tool, made in one piece or composed of several parts, for forming screw threads on bolts, etc.; one of the separate parts which make up such a tool.	a:ri1,47,2;178m,37,1~ri1,47,2;178m,37,1	v:afm,40,2;178m,37,1~afm,40,2;178m,37,1	V:21qi,96,3~21qi,96,3	n:26hs,89,3;178f,37,3~26hs,89,3;178f,37,3	N:21qi,113,10~21qi,113,10
kf9|v|To pass from an animate to a lifeless state; to cease to live; to suffer a total and irreparable loss of action of the vital functions; to become dead; to expire; to perish; -- said of animals and vegetables; often with of, by, with, from, and rarely for, before the cause or occasion of death; as, to die of disease or hardships; to die by fire or the sword; to die with horror at the thought. ; To suffer death; to lose life. ; To perish in any manner; to cease; to become lost or extinct; to be extinguished. ; To sink; to faint; to pine; to languish, with weakness, discouragement, love, etc. ; To become indifferent; to cease to be subject; as, to die to pleasure or to sin. ; To recede and grow fainter; to become imperceptible; to vanish; -- often with out or away. ; To disappear gradually in another surface, as where moldings are lost in a sloped or curved face. ; To become vapid, flat, or spiritless, as liquor.	o:21qi,80,1;1wlx,25,1~21qi,80,1;1wlx,25,1	s:178m,61,5~178m,61,5
kf9|a|of Dice ; A small cube, marked on its faces with spots from one to six, and used in playing games by being shaken in a box and thrown from it. See Dice. ; Any small cubical or square body. ; That which is, or might be, determined, by a throw of the die; hazard; chance. ; That part of a pedestal included between base and cornice; the dado. ; A metal or plate (often one of a pair) so cut or shaped as to give a certain desired form to, or impress any desired device on, an object or surface, by pressure or by a blow; used in forging metals, coining, striking up sheet metal, etc. ; A perforated block, commonly of hardened steel used in connection with a punch, for punching holes, as through plates, or blanks from plates, or for forming cups or capsules, as from sheet metal, by drawing. ; A hollow internally threaded screw-cutting tool, made in one piece or composed of several parts, for forming screw threads on bolts, etc.; one of the separate parts which make up such a tool.	j:1wlx,25,1~1wlx,25,1
kfk|n|of Die	n:178f,61,3~178f,61,3
kfk|v|of Die	s:178f,68,5~178f,68,5
kg8|n|	v:289v,31,2~289v,31,2	n:289v,21,1~289v,21,1
kgb|v|To be or stand apart; to disagree; to be unlike; to be distinguished; -- with from. ; To be of unlike or opposite opinion; to disagree in sentiment; -- often with from or with. ; To have a difference, cause of variance, or quarrel; to dispute; to contend. ; To cause to be different or unlike; to set at variance.	s:16e8,76,6;1fbx,59,3~16e8,76,6;1fbx,59,3	D:wh8,71,6;2apo,64,3;1wy3,45,4~wh8,71,6;1wy3,45,4;2apo,64,3
