lod|n|An old jaded horse.	a:17kp,91;yc4,57;1dub,38	V:1rn5,14;299g,3	n:1a4u,102;dv4,61;ao7,49;265j,3	N:um3,48
lof|n|The aquatic larva of a large neuropterous insect (Corydalus cornutus), used as...	a:5k9,135	V:1rn5,18;299g,3	n:ve1,110;um3,58;ao7,57;1a4g,44
loq|a|Teachable; easy to teach; docible.	j:1mwp,84;ng4,66;1db5,60;l5z,56;gjg,54;1asr,52;36c,51;1gua,50;215x,50;c7i,41	e:qod,39;1hl5,37;p3e,33;15u7,26;1awf,24;2753,20;2fi,16
lor|n|teachableness; aptness for being taught; docibleness.	a:c7v,92;3zv,61;qob,61;e98,55;1hkp,45;1y7r,41;1fju,22;vrg,14;1b5y,13	n:26f5,52
low|n|A genus of plants (Rumex), some species of which are well-known weeds which...	a:mfu,69;goc,52;29l4,43;28gk,41;294h,38;1lnv,33;1dub,21;1bxz,19;7md,18;16i4,10	v:s9t,66	V:15le,51;1y3s,17;16sq,6;17di,4	n:22bh,105;q4t,83;27a3,61;e1t,59;1105,59;1nwt,50;22xw,43;29l4,43;24xl,43;16qr,39	N:j3l,91;1jyg,78;14sd,77;6h8,66;29j2,59;1ycr,59;1qzd,54;15le,51;1x89,48;1qsm,42
loy|v|of Dock	o:20kj,92	s:8cf,68;1u9v,65
loy|a|of Dock	j:20kj,92
lp0|v|of Docket	d:1c0w,112
lp3|n|A yard or storage place for all sorts of naval stores and timber for...	n:vi3,57
lp6|n|A teacher; one skilled in a profession, or branch of knowledge learned man.	a:32w,69;1q91,68;17ka,67;y9m,64;32u,50;e91,49;1p1r,45;15kb,36;znx,36;be5,30	v:15kb,36;be5,30;rj7,25;f5v,22;ol5,18;1q0l,16;q1s,12;4vo,4;w3x,3	V:1uho,53;1b1x,52;1bk,46;so4,45;6qp,45;1gw2,44;1uci,43;ti5,42;66r,40;qqs,36	n:l3h,75;1n9r,73;1x06,72;1tp4,69;1q91,68;17ka,67;1vgu,66;28zc,59;1b3s,58;ewi,53	N:h45,102;u8n,98;yfo,92;ycq,84;vxz,72;su3,66;183h,66;ynj,66;17um,64;1glc,59
lp7|a|Of or relating to a doctor, or to the degree of doctor.	j:ii9,95
lpc|n|of Doctor	n:8k,29
lph|a|One who would apply to political or other practical concerns the abstract...	e:15u7,44
lpi|n|A matter of doctrine; also, a system of doctrines.	V:21s9,84	N:1gm9,29
lpi|a|Pertaining to, or containing, doctrine or something taught and to be believed;...	j:fe1,101;1kur,98;21s9,84;20za,76;i5s,76;cig,76;6hh,70;pad,68;70e,63;20f9,48	e:1e0i,5
lpm|n|Teaching; instruction.	a:1ceq,95;1xc,95;peq,94;flq,92;17q8,92;1n8z,91;23rn,90;13rr,89;146k,89;1i87,85	v:26fp,61;5re,43;m8,42;ha,38;1s7o,29;1ofl,24;1ru6,19;15ix,18;pgo,17;1067,9	V:oqp,72;1m0o,70;1m5p,68;1kun,53;20wp,49;efx,42;5f6,41;1050,38;17k3,36;1zmp,35	n:ahj,116;1v9r,107;erm,84;1vwi,82;16pk,81;1471,78;29o2,77;9i0,75;1y1g,73;1d4v,72	N:xl5,51
lpn|n|That which is taught or authoritatively set forth; precept; instruction; dogma.	a:21hn,99;23fi,80;9kh,74;jm,68;1dry,61;15r7,61;1egm,60;1den,59;3ca,59;12yy,58	v:10u7,84;jm,68;1szx,60;sjo,54;1a51,49;1y1x,42;1zuv,42;29d4,41;1kwg,37;1lmr,36	V:1une,67;htg,60;1p8e,58;1xk2,56;1mfy,55;1owc,54;i64,53;j9r,50;1ow9,50;1ytv,49	n:49m,92;1thk,59;q4v,55;aci,54;1zuv,42;1uv4,37;1xja,14;vyy,13;9sl,6	N:1o9e,11;15n8,2
