nb4|a|Sharp; sour; acid. ; Sharp; keen; bitter; severe. ; Excited by desire in the pursuit of any object; ardent to pursue, perform, or obtain; keenly desirous; hotly longing; earnest; zealous; impetuous; vehement; as, the hounds were eager in the chase. ; Brittle; inflexible; not ductile.	e:24mq,37,3~24mq,37,3
nb7|n|Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliaeetus. The eagle is remarkable for strength, size, graceful figure, keenness of vision, and extraordinary flight. The most noted species are the golden eagle (Aquila chrysaetus); the imperial eagle of Europe (A. mogilnik / imperialis); the American bald eagle (Haliaeetus leucocephalus); the European sea eagle (H. albicilla); and the great harpy eagle (Thrasaetus harpyia). The figure of the eagle, as the king of birds, is commonly used as an heraldic emblem, and also for standards and emblematic devices. See Bald eagle, Harpy, and Golden eagle. ; A gold coin of the United States, of the value of ten dollars. ; A northern constellation, containing Altair, a star of the first magnitude. See Aquila. ; The figure of an eagle borne as an emblem on the standard of the ancient Romans, or so used upon the seal or standard of any people.	N:1uez,146,17~1uez,146,17
nb7|v|Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliaeetus. The eagle is remarkable for strength, size, graceful figure, keenness of vision, and extraordinary flight. The most noted species are the golden eagle (Aquila chrysaetus); the imperial eagle of Europe (A. mogilnik / imperialis); the American bald eagle (Haliaeetus leucocephalus); the European sea eagle (H. albicilla); and the great harpy eagle (Thrasaetus harpyia). The figure of the eagle, as the king of birds, is commonly used as an heraldic emblem, and also for standards and emblematic devices. See Bald eagle, Harpy, and Golden eagle. ; A gold coin of the United States, of the value of ten dollars. ; A northern constellation, containing Altair, a star of the first magnitude. See Aquila. ; The figure of an eagle borne as an emblem on the standard of the ancient Romans, or so used upon the seal or standard of any people.	o:1uez,115,2~1uez,115,2
nb7|a|Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliaeetus. The eagle is remarkable for strength, size, graceful figure, keenness of vision, and extraordinary flight. The most noted species are the golden eagle (Aquila chrysaetus); the imperial eagle of Europe (A. mogilnik / imperialis); the American bald eagle (Haliaeetus leucocephalus); the European sea eagle (H. albicilla); and the great harpy eagle (Thrasaetus harpyia). The figure of the eagle, as the king of birds, is commonly used as an heraldic emblem, and also for standards and emblematic devices. See Bald eagle, Harpy, and Golden eagle. ; A gold coin of the United States, of the value of ten dollars. ; A northern constellation, containing Altair, a star of the first magnitude. See Aquila. ; The figure of an eagle borne as an emblem on the standard of the ancient Romans, or so used upon the seal or standard of any people.	j:1uez,115,2~1uez,115,2
nc2|n|	N:24he,47,4~24he,47,4
nc2|v|	o:i9c,28,1~i9c,28,1
nc2|a|	j:nly,63,4;2968,53,5;1z4s,46,3;2966,45,16;23yz,38,3;i9c,38,2;24he,37,2;mnx,33,1;edc,32,10;ibd,31,3;1qf0,26,3;3g6,25,9;1hhv,17,8;1lw7,16,4;2bc7,12,2~1p0j,12,16;2966,45,16;edc,32,10;3g6,25,9;1hhv,17,8;2bbb,6,6;2968,53,5;1p0v,3,4;1lw7,16,4;nly,63,4;1qf0,26,3;1z4s,46,3;23yz,38,3;ibd,31,3;24he,37,2	e:qey,7,5~qey,7,5
nc5|a|Soon; in good season; seasonably; betimes; as, come early. ; In advance of the usual or appointed time; in good season; prior in time; among or near the first; -- opposed to late; as, the early bird; an early spring; early fruit. ; Coming in the first part of a period of time, or among the first of successive acts, events, etc.	j:1z52,80,6;1z4s,72,23;b1n,64,38;ibd,52,16;2bpy,24,6;16hq,22,5;1hhy,18,5;3g6,5,3~b1n,64,38;1z4s,72,23;ibd,52,16;2bpy,24,6;1z52,80,6;16hq,22,5;1hhy,18,5;3g6,5,3	e:297h,22,20;29uy,11,1~297h,22,20;29uy,11,1
nc9|n|See Ern, n.	N:1bpk,36,2~1bpk,36,2
nc9|v|To merit or deserve, as by labor or service; to do that which entitles one to (a reward, whether the reward is received or not). ; To acquire by labor, service, or performance; to deserve and receive as compensation or wages; as, to earn a good living; to earn honors or laurels. ; To grieve. ; To long; to yearn. ; To curdle, as milk.	o:1bpk,54,7~1bpk,54,7	s:28gi,48,8;1irv,23,5~28gi,48,8;1irv,23,5
