ox7|n|	N:1urw,68,1~1urw,68,1
oxi|n|A circle not having the same center as another contained in some measure within the first. ; One who, or that which, deviates from regularity; an anomalous or irregular person or thing. ; In the Ptolemaic system, the supposed circular orbit of a planet about the earth, but with the earth not in its center. ; A circle described about the center of an elliptical orbit, with half the major axis for radius. ; A disk or wheel so arranged upon a shaft that the center of the wheel and that of the shaft do not coincide. It is used for operating valves in steam engines, and for other purposes. The motion derived is precisely that of a crank having the same throw.	N:1htz,100,4;1htb,80,1~1htz,100,4;1htb,80,1
oxi|a|Deviating or departing from the center, or from the line of a circle; as, an eccentric or elliptical orbit; pertaining to deviation from the center or from true circular motion. ; Not having the same center; -- said of circles, ellipses, spheres, etc., which, though coinciding, either in whole or in part, as to area or volume, have not the same center; -- opposed to concentric. ; Pertaining to an eccentric; as, the eccentric rod in a steam engine. ; Not coincident as to motive or end. ; Deviating from stated methods, usual practice, or established forms or laws; deviating from an appointed sphere or way; departing from the usual course; irregular; anomalous; odd; as, eccentric conduct.	j:1htz,131,34;1htb,124,22;1wua,113,3;28w4,25,2~1htz,131,34;1htb,124,22;1wua,113,3;28w4,25,2
oyb|n|	N:kpc,52,6~kpc,52,6
oyf|n|An arrangement of a body of troops when its divisions are drawn up in parallel lines each to the right or the left of the one in advance of it, like the steps of a ladder in position for climbing. Also used adjectively; as, echelon distance. ; An arrangement of a fleet in a wedge or V formation.	a:2dop,107,5~2dop,107,5
oyg|n|A monster, half maid and half serpent. ; A genus of Monotremata found in Australia, Tasmania, and New Guinea. They are toothless and covered with spines; -- called also porcupine ant-eater, and Australian ant-eater.	v:xpy,125,17~xpy,125,17
oz0|n|A sound reflected from an opposing surface and repeated to the ear of a listener; repercussion of sound; repetition of a sound. ; Fig.: Sympathetic recognition; response; answer. ; A wood or mountain nymph, regarded as repeating, and causing the reverberation of them. ; A nymph, the daughter of Air and Earth, who, for love of Narcissus, pined away until nothing was left of her but her voice.	a:u2u,57,2;258t,51,11;1anx,46,6;25ua,46,3;oz0,31,2;1xcv,14,6;qsn,4,1;pnz,2,3~258t,51,11;1xcv,14,6;1anx,46,6;pnz,2,3;25ua,46,3;oz0,31,2;u2u,57,2;qsn,4,1	v:nsv,22,21~nsv,22,21	V:10c0,39,2~10c0,39,2	n:12kv,105,5;18f0,102,9;r0g,95,6;u2u,88,17;oz0,41,4;1anx,36,3;20ez,32,8;ia,23,8;f8h,18,4;qsn,14,2;24pk,8,2~u2u,88,17;18f0,102,9;20ez,32,8;ia,23,8;r0g,95,6;12kv,105,5;oz0,41,4;f8h,18,4;1anx,36,3;24pk,8,2;qsn,14,2	N:v6n,58,2;ctk,46,1;oz0,41,4;1a09,32,7;h17,31,13;12o,24,13;243a,24,16;f8h,18,4;7db,14,4;1vit,14,1;1lqm,3,1;nsv,2,5~243a,24,16;h17,31,13;12o,24,13;1a09,32,7;nsv,2,5;7db,14,4;oz0,41,4;f8h,18,4;v6n,58,2;1lqm,3,1;1vit,14,1;ctk,46,1
oz0|v|To send back (a sound); to repeat in sound; to reverberate. ; To repeat with assent; to respond; to adopt. ; To give an echo; to resound; to be sounded back; as, the hall echoed with acclamations.	o:1a09,14,2~1a09,14,2	s:r0g,79,2;u2u,63,3;20ez,43,17;2032,4,4~20ez,43,17;2032,4,4;u2u,63,3;r0g,79,2	d:28oo,28,131;pnz,12,6~28oo,28,131;pnz,12,6
oz0|a|A sound reflected from an opposing surface and repeated to the ear of a listener; repercussion of sound; repetition of a sound. ; Fig.: Sympathetic recognition; response; answer. ; A wood or mountain nymph, regarded as repeating, and causing the reverberation of them. ; A nymph, the daughter of Air and Earth, who, for love of Narcissus, pined away until nothing was left of her but her voice.	j:ctk,86,16;v6n,58,2;1ovs,48,8;10c0,39,2;oz0,31,2;243a,25,17;633,16,1;1vit,14,1;1ol2,9,7;1a09,4,1;12o,3,3~243a,25,17;ctk,86,16;1ovs,48,8;1ol2,9,7;12o,3,3;oz0,31,2;10c0,39,2;v6n,58,2;633,16,1;1a09,4,1;1vit,14,1	e:pnz,38,38;20ez,2,1;1iek,1,4~pnz,38,38;1iek,1,4;20ez,2,1
oz3|v|of Echo	d:17nk,20,2~17nk,20,2
oz4|v|of Echo	o:1jjs,38,3~1jjs,38,3	d:17nk,10,3~17nk,10,3
ozb|n|A kind of frosted cake, containing flavored cream.	a:1xdf,30,1~1xdf,30,1	v:1xdf,63,10~1xdf,63,10	N:w60,85,2~w60,85,2
ozh|a|Selecting; choosing (what is true or excellent in doctrines, opinions, etc.) from various sources or systems; as, an eclectic philosopher. ; Consisting, or made up, of what is chosen or selected; as, an eclectic method; an eclectic magazine.	j:1ehs,114,3~1ehs,114,3
ozl|n|An interception or obscuration of the light of the sun, moon, or other luminous body, by the intervention of some other body, either between it and the eye, or between the luminous body and that illuminated by it. A lunar eclipse is caused by the moon passing through the earth's shadow; a solar eclipse, by the moon coming between the sun and the observer. A satellite is eclipsed by entering the shadow of its primary. The obscuration of a planet or star by the moon or a planet, though of the nature of an eclipse, is called an occultation. The eclipse of a small portion of the sun by Mercury or Venus is called a transit of the planet. ; The loss, usually temporary or partial, of light, brilliancy, luster, honor, consciousness, etc.; obscuration; gloom; darkness.	a:1vs3,60,3;ef6,35,3;1xdf,17,1;15gl,14,1~ef6,35,3;1vs3,60,3;15gl,14,1;1xdf,17,1	v:1vs3,44,1;2dx6,33,14;1xdf,32,3;2dwh,8,4~2dx6,33,14;2dwh,8,4;1xdf,32,3;1vs3,44,1	n:1vs3,44,1;2esi,43,6;293l,37,9;2gt3,36,4;15gl,14,1~293l,37,9;2esi,43,6;2gt3,36,4;1vs3,44,1;15gl,14,1	N:1d9,125,5;12m3,107,9;ld4,30,7~12m3,107,9;ld4,30,7;1d9,125,5
ozl|v|To cause the obscuration of; to darken or hide; -- said of a heavenly body; as, the moon eclipses the sun. ; To obscure, darken, or extinguish the beauty, luster, honor, etc., of; to sully; to cloud; to throw into the shade by surpassing. ; To suffer an eclipse.	o:12m3,85,2~12m3,85,2
ozr|n|	a:3b2,57,9~3b2,57,9	N:1el8,78,7;2784,73,14~2784,73,14;1el8,78,7
ozs|n|	a:yh8,152,2~yh8,152,2	n:yh8,152,2~yh8,152,2	N:1pco,171,10~1pco,171,10
ozs|a|	j:1pco,154,3~1pco,154,3
ozt|a|	j:v8c,126,4;4rs,105,3;228e,99,14;1r1l,86,5;1elf,81,1;1vkx,22,3~228e,99,14;1r1l,86,5;v8c,126,4;1vkx,22,3;4rs,105,3;1elf,81,1
ozu|n|	a:2gln,111,2;1c2o,94,1;1epo,86,3;28qg,66,10;1sv0,66,2;29rn,41,6;4fg,23,1~28qg,66,10;29rn,41,6;1epo,86,3;1sv0,66,2;2gln,111,2;1c2o,94,1;4fg,23,1	n:8gq,52,2~8gq,52,2	N:17gz,52,12;17gr,35,7;kpc,13,1~17gz,52,12;17gr,35,7;kpc,13,1
ozv|n|	a:2ce4,53,6;29rn,36,6~2ce4,53,6;29rn,36,6	V:e5w,20,1~e5w,20,1	n:2ce4,27,1~2ce4,27,1	N:1bij,80,5;1r7a,75,5;kpe,60,8;1nag,51,3;hof,46,9;e5w,45,6;1naf,45,42;kpc,41,10;ye7,41,5;1r8n,40,5;17gz,35,5;1r6a,31,4;17cm,28,5;1r88,22,3;1l3d,19,4~1naf,45,42;kpc,41,10;hof,46,9;kpe,60,8;e5w,45,6;17gz,35,5;ye7,41,5;17cm,28,5;1r7a,75,5;1r8n,40,5;1bij,80,5;1l3d,19,4;1r6a,31,4;254e,10,4;1r88,22,3
ozv|v|	o:ye7,28,2~ye7,28,2	s:2ce4,37,2~2ce4,37,2
ozv|a|	j:kpe,46,3;1naf,22,9;1r6a,11,1;1l3d,9,2;254c,9,3;1r88,6,1;17cm,4,1~1naf,22,9;kpe,46,3;254c,9,3;1l3d,9,2;17cm,4,1;1r6a,11,1;1r88,6,1
ozw|n|	a:4fg,52,4~4fg,52,4	v:4fg,52,4~4fg,52,4	n:1zxn,71,4~1zxn,71,4	N:e5t,45,5;hoa,39,7~hoa,39,7;e5t,45,5
ozx|a|Alt. of Economical	j:1u0s,102,4;1lfv,96,3;zr8,94,3;i70,85,11;13su,83,14;1ttv,81,3;ywy,78,12;1xwy,77,4;sso,74,4;28qs,71,2;1nb9,71,3;va7,69,9;p7o,65,6;23zo,65,3;gci,64,7~2e5c,39,21;21bt,35,20;13su,83,14;28qy,41,13;7s7,46,13;1el9,25,13;ywy,78,12;i70,85,11;fw7,54,11;1ynr,52,11;1tvz,34,11;7sb,52,10;va7,69,9;16x8,29,9;6i0,31,8	e:1scm,59,10~1scm,59,10
ozy|a|Pertaining to the household; domestic. ; Relating to domestic economy, or to the management of household affairs. ; Managing with frugality; guarding against waste or unnecessary expense; careful and frugal in management and in expenditure; -- said of character or habits. ; Managed with frugality; not marked with waste or extravagance; frugal; -- said of acts; saving; as, an economical use of money or of time. ; Relating to the means of living, or the resources and wealth of a country; relating to political economy; as, economic purposes; economical truths. ; Regulative; relating to the adaptation of means to an end.	j:15td,45,3;21bt,40,4;2fwy,24,5~2fwy,24,5;21bt,40,4;15td,45,3	e:1f74,29,14~1f74,29,14
p00|n|The science of household affairs, or of domestic management. ; Political economy; the science of the utilities or the useful application of wealth or material resources. See Political economy, under Political.	a:7kl,94,8;7ki,85,15;1b8a,60,4;qzj,54,3;uau,45,12;1sv0,42,3;fnq,41,8;2ud,40,9;1cdd,38,15;71j,30,8;29rn,28,20;2ce6,27,12;1pye,27,4;227z,25,6;1scj,24,4~29rn,28,20;1cdd,38,15;7ki,85,15;uau,45,12;2ce6,27,12;2ud,40,9;7kl,94,8;71j,30,8;fnq,41,8;fj,4,7;227z,25,6;4fg,13,4;1scj,24,4;1pye,27,4;1b8a,60,4	v:254i,41,6;1b8a,40,1;254p,22,10;27u0,17,4;4fg,3,2~254p,22,10;254i,41,6;27u0,17,4;4fg,3,2;1b8a,40,1	V:28jp,35,5;kpc,30,27;280r,30,3;ye7,26,10;rt2,21,4;hof,20,9;1dyc,14,2;1viz,6,3;2a6g,4,3;1naf,2,13~kpc,30,27;1naf,2,13;ye7,26,10;hof,20,9;28jp,35,5;rt2,21,4;2a6g,4,3;1viz,6,3;280r,30,3;1dyc,14,2	n:3te,69,3;228p,67,7;uar,53,6;1vq0,46,7;1rzo,46,6;18gj,41,2;d64,35,4;8gq,35,5;lci,34,7;102c,34,7;244l,32,6;19om,22,12;1noz,21,7;aon,19,3;15yu,18,3~97,2,29;19yi,4,27;19om,22,12;1vq0,46,7;lci,34,7;102c,34,7;1noz,21,7;228p,67,7;244l,32,6;1rzo,46,6;uar,53,6;8gq,35,5;d64,35,4;1a8k,14,3;aon,19,3	N:228p,74,11;uar,55,7;20au,54,3;1rzo,52,9;1p45,51,5;18gj,41,2;kpe,41,13;17gz,37,34;hof,35,26;1r8n,31,16;8gq,28,3;k6k,27,22;aon,27,5;19my,25,9;1a8k,24,6~17gz,37,34;hof,35,26;k6k,27,22;1l3d,14,16;1r8n,31,16;hoa,11,14;kpe,41,13;1r65,11,13;1r88,15,11;228p,74,11;19my,25,9;1rzo,52,9;1r6a,13,7;uar,55,7;1a8k,24,6
p00|v|The science of household affairs, or of domestic management. ; Political economy; the science of the utilities or the useful application of wealth or material resources. See Political economy, under Political.	o:kpe,4,1~kpe,4,1
p01|n|of Economy	v:pxc,101,1~pxc,101,1
p02|n|One who economizes, or manages domestic or other concerns with frugality; one who expends money, time, or labor, judiciously, and without waste. ; One who is conversant with political economy; a student of economics.	a:1afy,55,4~1afy,55,4
