rg2|v|of Fabricate	o:i93,66,2~i93,66,2
rg3|n|The act of fabricating, framing, or constructing; construction; manufacture; as, the fabrication of a bridge, a church, or a government. ; That which is fabricated; a falsehood; as, the story is doubtless a fabrication.	a:kkj,96,8~kkj,96,8	n:sem,47,10~sem,47,10
rgi|n|The exterior form or appearance of anything; that part which presents itself to the view; especially, the front or upper part or surface; that which particularly offers itself to the view of a spectator. ; That part of a body, having several sides, which may be seen from one point, or which is presented toward a certain direction; one of the bounding planes of a solid; as, a cube has six faces. ; The principal dressed surface of a plate, disk, or pulley; the principal flat surface of a part or object. ; That part of the acting surface of a cog in a cog wheel, which projects beyond the pitch line. ; The width of a pulley, or the length of a cog from end to end; as, a pulley or cog wheel of ten inches face. ; The upper surface, or the character upon the surface, of a type, plate, etc. ; The style or cut of a type or font of type. ; Outside appearance; surface show; look; external aspect, whether natural, assumed, or acquired. ; That part of the head, esp. of man, in which the eyes, cheeks, nose, and mouth are situated; visage; countenance. ; Cast of features; expression of countenance; look; air; appearance. ; Ten degrees in extent of a sign of the zodiac. ; Maintenance of the countenance free from abashment or confusion; confidence; boldness; shamelessness; effrontery. ; Presence; sight; front; as in the phrases, before the face of, in the immediate presence of; in the face of, before, in, or against the front of; as, to fly in the face of danger; to the face of, directly to; from the face of, from the presence of. ; Mode of regard, whether favorable or unfavorable; favor or anger; mostly in Scriptural phrases. ; The end or wall of the tunnel, drift, or excavation, at which work is progressing or was last done. ; The exact amount expressed on a bill, note, bond, or other mercantile paper, without any addition for interest or reduction for discount.	a:1ghf,42,2;p8s,31,3;1wku,25,4;ssf,24,2;8xt,22,3;1dky,19,10;24no,12,3~1dky,19,10;1wku,25,4;24no,12,3;p8s,31,3;8xt,22,3;ssf,24,2;1ghf,42,2	v:19rm,39,3;17x6,38,2~19rm,39,3;17x6,38,2	n:1f0r,27,3;1c87,19,4~1c87,19,4;1f0r,27,3	N:1vxr,86,5;19bj,68,3;wrg,48,5;1e46,47,1;fcq,44,2;28o9,38,11;1vra,32,3;wrc,29,4~28o9,38,11;1vxr,86,5;wrg,48,5;wrc,29,4;1vra,32,3;19bj,68,3;fcq,44,2;1e46,47,1
rgi|v|To meet in front; to oppose with firmness; to resist, or to meet for the purpose of stopping or opposing; to confront; to encounter; as, to face an enemy in the field of battle. ; To Confront impudently; to bully. ; To stand opposite to; to stand with the face or front toward; to front upon; as, the apartments of the general faced the park. ; To cover in front, for ornament, protection, etc.; to put a facing upon; as, a building faced with marble. ; To line near the edge, esp. with a different material; as, to face the front of a coat, or the bottom of a dress. ; To cover with better, or better appearing, material than the mass consists of, for purpose of deception, as the surface of a box of tea, a barrel of sugar, etc. ; To make the surface of (anything) flat or smooth; to dress the face of (a stone, a casting, etc.); esp., in turning, to shape or smooth the flat surface of, as distinguished from the cylindrical surface. ; To cause to turn or present a face or front, as in a particular direction. ; To carry a false appearance; to play the hypocrite. ; To turn the face; as, to face to the right or left. ; To present a face or front.	o:fcq,58,5~fcq,58,5	s:20bd,9,5~20bd,9,5	d:630,11,3~630,11,3
rgj|n|	a:176f,5,2~176f,5,2	v:28g9,18,4~28g9,18,4	n:176f,27,9~176f,27,9	N:wrg,75,7;wrc,74,21;8dr,68,1;176s,67,1;1h1s,59,9;q50,17,1~wrc,74,21;1h1s,59,9;wrg,75,7;8dr,68,1;q50,17,1;176s,67,1
rgj|v|	o:wrg,57,2;wrc,30,1~wrg,57,2;wrc,30,1
rgj|a|	j:1h1s,38,2~1h1s,38,2
rgk|v|of Face	s:1n4t,51,7;1n4o,17,2~1n4t,51,7;1n4o,17,2
rgl|v|	s:iyd,103,2;1wa7,34,5~1wa7,34,5;iyd,103,2
rh5|n|of Facility	v:1n1q,21,2~1n1q,21,2	n:27lo,43,4;1n1q,21,2~27lo,43,4;1n1q,21,2
rh7|v|of Face	o:273y,61,9~273y,61,9	s:1n4t,67,39;1irv,42,20;1hwu,21,4~1n4t,67,39;1irv,42,20;1hwu,21,4	d:r8i,72,1;hp6,24,1~hp6,24,1;r8i,72,1
rh7|a|of Face	e:r8i,82,2~r8i,82,2
rhd|n|A doing, making, or preparing. ; An effect produced or achieved; anything done or that comes to pass; an act; an event; a circumstance. ; Reality; actuality; truth; as, he, in fact, excelled all the rest; the fact is, he was beaten. ; The assertion or statement of a thing done or existing; sometimes, even when false, improperly put, by a transfer of meaning, for the thing done, or supposed to be done; a thing supposed or asserted to be done; as, history abounds with false facts.	a:1a3o,62,9;1u81,15,4;1win,12,5~1a3o,62,9;1win,12,5;1u81,15,4	V:1qvc,32,3~1qvc,32,3	n:ueu,31,4~ueu,31,4
rhn|a|In fact; by the act or fact.	j:1z8f,59,2~1z8f,59,2
rho|n|One who transacts business for another; an agent; a substitute; especially, a mercantile agent who buys and sells goods and transacts business for others in commission; a commission merchant or consignee. He may be a home factor or a foreign factor. He may buy and sell in his own name, and he is intrusted with the possession and control of the goods; and in these respects he differs from a broker. ; A steward or bailiff of an estate. ; One of the elements or quantities which, when multiplied together, from a product. ; One of the elements, circumstances, or influences which contribute to produce a result; a constituent.	a:ub6,90,3;mdq,89,7;10co,66,6;178h,65,9;10rx,64,49;7st,54,4;ikn,46,2;1wdh,45,11;zic,45,7;1aw1,42,5;15bf,42,7;fqi,41,1;111q,37,20;1dbl,35,5;18mf,26,3~10rx,64,49;111q,37,20;1wdh,45,11;178h,65,9;1g0v,1,9;zic,45,7;15bf,42,7;mdq,89,7;10co,66,6;1wku,23,5;1dbl,35,5;1aw1,42,5;7sf,24,5;18l6,23,5;7st,54,4	v:178h,84,33;jzs,69,7;ikn,62,6;1ty5,59,4;fqi,51,2;10rx,36,7;mv4,34,1;15bf,14,1~178h,84,33;10rx,36,7;jzs,69,7;ikn,62,6;1ty5,59,4;fqi,51,2;15bf,14,1;mv4,34,1	V:ag5,29,5~ag5,29,5	n:10rx,89,263;ub6,74,1;178h,73,15;1ty5,69,8;ejx,63,11;1w6c,61,4;1w6b,58,4;1e9h,51,2;1txt,43,7;jzs,41,1;1t8u,37,3;mv4,34,1;rch,33,15;tmv,33,7;1532,32,5~10rx,89,263;rch,33,15;178h,73,15;ejx,63,11;1ty5,69,8;tmv,33,7;1txt,43,7;1532,32,5;1w6c,61,4;1w6b,58,4;1t8u,37,3;1e9h,51,2;mv4,34,1;zic,17,1;jzs,41,1	N:14vu,33,11~14vu,33,11
rhy|n|	a:120d,75,87;1pnr,63,2;1wtb,54,2;10rx,53,19;27mm,48,3;r8d,46,7;1vl3,42,19;28si,37,6;1g0v,37,93;178h,36,1;192q,35,37;1j8m,34,8;15bf,32,3;111q,32,12;1chv,27,5~1g0v,37,93;120d,75,87;192q,35,37;10rx,53,19;1vl3,42,19;111q,32,12;1j8m,34,8;r8d,46,7;khz,7,6;28si,37,6;s9n,13,5;18l6,25,5;1chv,27,5;27mm,48,3;15bf,32,3	v:jzs,63,4;178h,59,5;10rx,10,1;tab,1,1~178h,59,5;jzs,63,4;10rx,10,1;tab,1,1	V:12el,86,3;1hp,54,2;11i8,40,10;1kst,32,3;12eh,31,1;1a1n,26,4;140p,13,1;dkd,11,3;1qrl,8,2~11i8,40,10;1a1n,26,4;dkd,11,3;1kst,32,3;12el,86,3;1qrl,8,2;1hp,54,2;12eh,31,1;140p,13,1	n:10rx,75,85;1wtb,59,3;1t8u,44,4;178h,36,1;1sd4,18,1;gma,18,2~10rx,75,85;1t8u,44,4;1wtb,59,3;gma,18,2;178h,36,1;1sd4,18,1
