umq|n|A pledge or pawn; something laid down or given as a security for the performance of some act by the person depositing it, and forfeited by nonperformance; security. ; A glove, cap, or the like, cast on the ground as a challenge to combat, and to be taken up by the accepter of the challenge; a challenge; a defiance. ; A variety of plum; as, the greengage; also, the blue gage, frost gage, golden gage, etc., having more or less likeness to the greengage. See Greengage. ; To give or deposit as a pledge or security for some act; to wage or wager; to pawn or pledge. ; To bind by pledge, or security; to engage. ; A measure or standard. See Gauge, n.	n:rzc,137,7~rzc,137,7
un8|n|A square or beveled notch cut out of a girder, binding joist, or other timber which supports a floor beam, so as to receive the end of the floor beam. ; To get, as profit or advantage; to obtain or acquire by effort or labor; as, to gain a good living. ; To come off winner or victor in; to be successful in; to obtain by competition; as, to gain a battle; to gain a case at law; to gain a prize. ; To draw into any interest or party; to win to one's side; to conciliate. ; To reach; to attain to; to arrive at; as, to gain the top of a mountain; to gain a good harbor. ; To get, incur, or receive, as loss, harm, or damage.	a:1bpg,93,5;shc,66,6;1dia,62,4;17j3,21,3~shc,66,6;1bpg,93,5;1dia,62,4;17j3,21,3	n:1rb7,46,5~1rb7,46,5	N:1rb7,33,2~1rb7,33,2
un8|v|That which is gained, obtained, or acquired, as increase, profit, advantage, or benefit; -- opposed to loss. ; The obtaining or amassing of profit or valuable possessions; acquisition; accumulation. ; To have or receive advantage or profit; to acquire gain; to grow rich; to advance in interest, health, or happiness; to make progress; as, the sick man gains daily.	o:f1b,69,3;17c,54,4;hj,48,2;1rb7,43,4;r0e,40,12;hw,37,4;15mk,34,3;3tv,26,4~r0e,40,12;17c,54,4;hw,37,4;1rb7,43,4;3tv,26,4;15mk,34,3;f1b,69,3;hj,48,2	s:20bd,20,6~20bd,20,6	d:1f92,12,6~1f92,12,6	D:1cca,0,2~1cca,0,2
unb|v|of Gain	o:r0e,23,1~r0e,23,1	s:r0e,43,4~r0e,43,4
unb|a|of Gain	j:r0e,33,2~r0e,33,2
unf|v|of Gain	o:24z9,115,3;15mk,62,4;hw,56,3;3tv,45,3~15mk,62,4;hw,56,3;24z9,115,3;3tv,45,3	D:1c22,13,2~1c22,13,2
unj|n|	n:20bb,54,5~20bb,54,5
upp|n|A vessel propelled by oars, whether having masts and sails or not ; A large vessel for war and national purposes; -- common in the Middle Ages, and down to the 17th century. ; A name given by analogy to the Greek, Roman, and other ancient vessels propelled by oars. ; A light, open boat used on the Thames by customhouse officers, press gangs, and also for pleasure. ; One of the small boats carried by a man-of-war. ; The cookroom or kitchen and cooking apparatus of a vessel; -- sometimes on merchant vessels called the caboose. ; An oblong oven or muffle with a battery of retorts; a gallery furnace. ; An oblong tray of wood or brass, with upright sides, for holding type which has been set, or is to be made up, etc. ; A proof sheet taken from type while on a galley; a galley proof.	N:1ni6,121,14;1ni2,81,2~1ni6,121,14;1ni2,81,2
upp|v|A vessel propelled by oars, whether having masts and sails or not ; A large vessel for war and national purposes; -- common in the Middle Ages, and down to the 17th century. ; A name given by analogy to the Greek, Roman, and other ancient vessels propelled by oars. ; A light, open boat used on the Thames by customhouse officers, press gangs, and also for pleasure. ; One of the small boats carried by a man-of-war. ; The cookroom or kitchen and cooking apparatus of a vessel; -- sometimes on merchant vessels called the caboose. ; An oblong oven or muffle with a battery of retorts; a gallery furnace. ; An oblong tray of wood or brass, with upright sides, for holding type which has been set, or is to be made up, etc. ; A proof sheet taken from type while on a galley; a galley proof.	o:1ni6,83,1~1ni6,83,1
upp|a|A vessel propelled by oars, whether having masts and sails or not ; A large vessel for war and national purposes; -- common in the Middle Ages, and down to the 17th century. ; A name given by analogy to the Greek, Roman, and other ancient vessels propelled by oars. ; A light, open boat used on the Thames by customhouse officers, press gangs, and also for pleasure. ; One of the small boats carried by a man-of-war. ; The cookroom or kitchen and cooking apparatus of a vessel; -- sometimes on merchant vessels called the caboose. ; An oblong oven or muffle with a battery of retorts; a gallery furnace. ; An oblong tray of wood or brass, with upright sides, for holding type which has been set, or is to be made up, etc. ; A proof sheet taken from type while on a galley; a galley proof.	j:1ni6,103,4~1ni6,103,4
