vk3|v|To make glad; to cheer; to gladden; to exhilarate. ; To be glad; to rejoice.	s:23fm,14,1~23fm,14,1
vk3|a|Pleased; joyous; happy; cheerful; gratified; -- opposed to sorry, sorrowful, or unhappy; -- said of persons, and often followed by of, at, that, or by the infinitive, and sometimes by with, introducing the cause or reason. ; Wearing a gay or bright appearance; expressing or exciting joy; producing gladness; exhilarating.	e:2911,19,6~2911,19,6
vl9|n|A sudden flash of light or splendor. ; A quick cast of the eyes; a quick or a casual look; a swift survey; a glimpse. ; An incidental or passing thought or allusion. ; A name given to some sulphides, mostly dark-colored, which have a brilliant metallic luster, as the sulphide of copper, called copper glance.	a:1owv,90,13;sjm,53,16~sjm,53,16;1owv,90,13
vm2|n|A hard, brittle, translucent, and commonly transparent substance, white or colored, having a conchoidal fracture, and made by fusing together sand or silica with lime, potash, soda, or lead oxide. It is used for window panes and mirrors, for articles of table and culinary use, for lenses, and various articles of ornament. ; Any substance having a peculiar glassy appearance, and a conchoidal fracture, and usually produced by fusion. ; Anything made of glass. ; A looking-glass; a mirror. ; A vessel filled with running sand for measuring time; an hourglass; and hence, the time in which such a vessel is exhausted of its sand. ; A drinking vessel; a tumbler; a goblet; hence, the contents of such a vessel; especially; spirituous liquors; as, he took a glass at dinner. ; An optical glass; a lens; a spyglass; -- in the plural, spectacles; as, a pair of glasses; he wears glasses. ; A weatherglass; a barometer. ; To reflect, as in a mirror; to mirror; -- used reflexively. ; To case in glass. ; To cover or furnish with glass; to glaze. ; To smooth or polish anything, as leater, by rubbing it with a glass burnisher.	a:18fs,77,1;6g6,60,9;27al,49,2;ddg,39,17;2atp,33,3;23nz,25,3;c9u,23,4;ymp,20,11;165q,16,7;1dh9,10,17;1x3f,2,4~ddg,39,17;1dh9,10,17;ymp,20,11;6g6,60,9;165q,16,7;1x3f,2,4;c9u,23,4;23nz,25,3;2atp,33,3;27al,49,2;18fs,77,1	v:18fs,87,2;27al,39,1;6g6,28,1;28ad,3,14~28ad,3,14;18fs,87,2;6g6,28,1;27al,39,1	V:1kmm,50,4;fwo,42,4;8x8,40,1;6yl,38,3;2b5j,8,5~2b5j,8,5;fwo,42,4;1kmm,50,4;6yl,38,3;8x8,40,1	n:1aub,49,4;27al,49,2;1kib,48,6;sx1,45,2;6g6,44,3;gvv,40,22;2atp,33,3;1zop,31,7;tum,29,6;23nz,19,2;165q,7,4;rak,6,10;21fw,0,3~gvv,40,22;rak,6,10;1zop,31,7;1kib,48,6;tum,29,6;1aub,49,4;165q,7,4;6g6,44,3;2atp,33,3;21fw,0,3;sx1,45,2;23nz,19,2;27al,49,2	N:14in,78,8;6sd,72,9;6yl,67,22;1kmb,55,92;1vpx,51,6;8x8,50,2;1kmm,46,3;6wc,46,309;1wxp,34,3;21fw,33,30;1z6q,28,10;2atp,27,2;1l4t,14,17;1mx4,8,34;1ubz,4,1~6wc,46,309;1kmb,55,92;1mx4,8,34;21fw,33,30;6yl,67,22;1l4t,14,17;1z6q,28,10;6sd,72,9;14in,78,8;1vpx,51,6;9qv,2,4;1wxp,34,3;1kmm,46,3;2atp,27,2;8x8,50,2
vm2|v|A hard, brittle, translucent, and commonly transparent substance, white or colored, having a conchoidal fracture, and made by fusing together sand or silica with lime, potash, soda, or lead oxide. It is used for window panes and mirrors, for articles of table and culinary use, for lenses, and various articles of ornament. ; Any substance having a peculiar glassy appearance, and a conchoidal fracture, and usually produced by fusion. ; Anything made of glass. ; A looking-glass; a mirror. ; A vessel filled with running sand for measuring time; an hourglass; and hence, the time in which such a vessel is exhausted of its sand. ; A drinking vessel; a tumbler; a goblet; hence, the contents of such a vessel; especially; spirituous liquors; as, he took a glass at dinner. ; An optical glass; a lens; a spyglass; -- in the plural, spectacles; as, a pair of glasses; he wears glasses. ; A weatherglass; a barometer. ; To reflect, as in a mirror; to mirror; -- used reflexively. ; To case in glass. ; To cover or furnish with glass; to glaze. ; To smooth or polish anything, as leater, by rubbing it with a glass burnisher.	o:250v,86,128;s8g,64,12;ddi,60,6;2h1,24,3;6yl,22,1;22wi,17,21;1ubz,4,1~250v,86,128;22wi,17,21;s8g,64,12;ddi,60,6;2h1,24,3;6yl,22,1;1ubz,4,1	s:8ub,93,63;1h8z,70,3;s8g,44,3~8ub,93,63;1h8z,70,3;s8g,44,3
vm2|a|A hard, brittle, translucent, and commonly transparent substance, white or colored, having a conchoidal fracture, and made by fusing together sand or silica with lime, potash, soda, or lead oxide. It is used for window panes and mirrors, for articles of table and culinary use, for lenses, and various articles of ornament. ; Any substance having a peculiar glassy appearance, and a conchoidal fracture, and usually produced by fusion. ; Anything made of glass. ; A looking-glass; a mirror. ; A vessel filled with running sand for measuring time; an hourglass; and hence, the time in which such a vessel is exhausted of its sand. ; A drinking vessel; a tumbler; a goblet; hence, the contents of such a vessel; especially; spirituous liquors; as, he took a glass at dinner. ; An optical glass; a lens; a spyglass; -- in the plural, spectacles; as, a pair of glasses; he wears glasses. ; A weatherglass; a barometer. ; To reflect, as in a mirror; to mirror; -- used reflexively. ; To case in glass. ; To cover or furnish with glass; to glaze. ; To smooth or polish anything, as leater, by rubbing it with a glass burnisher.	j:1w50,2,3~1w50,2,3
vm5|n|	v:2a75,104,2;2a6v,72,1~2a75,104,2;2a6v,72,1	n:1t3u,68,1~1t3u,68,1
vm5|v|	s:1t3u,68,1~1t3u,68,1
voj|n|The glede or kite. ; The act or manner of moving smoothly, swiftly, and without labor or obstruction. ; A transitional sound in speech which is produced by the changing of the mouth organs from one definite position to another, and with gradual change in the most frequent cases; as in passing from the begining to the end of a regular diphthong, or from vowel to consonant or consonant to vowel in a syllable, or from one component to the other of a double or diphthongal consonant (see Guide to Pronunciation, // 19, 161, 162). Also (by Bell and others), the vanish (or brief final element) or the brief initial element, in a class of diphthongal vowels, or the brief final or initial part of some consonants (see Guide to Pronunciation, // 18, 97, 191).	N:1p9k,110,2~1p9k,110,2
voj|a|To move gently and smoothly; to pass along without noise, violence, or apparent effort; to pass rapidly and easily, or with a smooth, silent motion, as a river in its channel, a bird in the air, a skater over ice. ; To pass with a glide, as the voice.	j:1p9k,100,1~1p9k,100,1
vpe|n|A bright, sparkling light; brilliant and showy luster; brilliancy; as, the glitter of arms; the glitter of royal equipage.	N:sof,134,2;scq,58,10~scq,58,10;sof,134,2
vpe|a|A bright, sparkling light; brilliant and showy luster; brilliancy; as, the glitter of arms; the glitter of royal equipage.	j:sof,124,1~sof,124,1
vpp|a|	j:28l1,95,8;1qi9,95,2;1qad,60,6~28l1,95,8;1qad,60,6;1qi9,95,2
vsg|a|Smooth and shining; reflecting luster from a smooth surface; highly polished; lustrous; as, glossy silk; a glossy surface. ; Smooth; specious; plausible; as, glossy deceit.	j:21fw,62,4;1w50,60,3~21fw,62,4;1w50,60,3
vss|n|	a:2a6v,103,10~2a6v,103,10	v:2a6v,93,5;289v,15,1~2a6v,93,5;289v,15,1	n:2a6v,80,2;2ayb,50,5;289v,31,3~2ayb,50,5;289v,31,3;2a6v,80,2
vt0|v|of Glow	o:16sq,82,3~16sq,82,3
vtj|n|A hard brittle brownish gelatin, obtained by boiling to a jelly the skins, hoofs, etc., of animals. When gently heated with water, it becomes viscid and tenaceous, and is used as a cement for uniting substances. The name is also given to other adhesive or viscous substances. ; To join with glue or a viscous substance; to cause to stick or hold fast, as if with glue; to fix or fasten.	a:1obi,89,12;2a13,86,3;1u90,67,1;1zjq,61,3;gvp,56,3;2alz,47,10;zbk,46,35;1xnv,2,14~zbk,46,35;1xnv,2,14;1obi,89,12;2alz,47,10;gvp,56,3;1zjq,61,3;2a13,86,3;1u90,67,1	v:6l1,28,12;463,15,3;289v,13,19;108,9,4~289v,13,19;6l1,28,12;108,9,4;463,15,3	V:2b5j,30,12~2b5j,30,12	n:1u90,83,3;a3z,82,9;2b1w,72,22;1ofv,64,14;213b,62,16;22gq,40,8;1u1l,28,8;1hdv,20,17;19u3,18,1;1zjb,5,1;2ayb,2,4~2b1w,72,22;1hdv,20,17;213b,62,16;1ofv,64,14;a3z,82,9;1u1l,28,8;22gq,40,8;2ayb,2,4;1u90,83,3;1zjb,5,1;19u3,18,1	N:1zjo,76,35;1rap,69,9;wxa,66,6;1zjb,64,58;19u9,58,3;16eo,6,6~1zjb,64,58;1zjo,76,35;1rap,69,9;16eo,6,6;wxa,66,6;19u9,58,3
vtj|v|A hard brittle brownish gelatin, obtained by boiling to a jelly the skins, hoofs, etc., of animals. When gently heated with water, it becomes viscid and tenaceous, and is used as a cement for uniting substances. The name is also given to other adhesive or viscous substances. ; To join with glue or a viscous substance; to cause to stick or hold fast, as if with glue; to fix or fasten.	o:1zjo,45,4;1zjb,21,3;1kfs,12,6~1kfs,12,6;1zjo,45,4;1zjb,21,3	s:a3z,67,3;1ofv,36,2;2b1w,27,1~a3z,67,3;1ofv,36,2;2b1w,27,1	d:23hz,7,14~23hz,7,14
vtj|a|A hard brittle brownish gelatin, obtained by boiling to a jelly the skins, hoofs, etc., of animals. When gently heated with water, it becomes viscid and tenaceous, and is used as a cement for uniting substances. The name is also given to other adhesive or viscous substances. ; To join with glue or a viscous substance; to cause to stick or hold fast, as if with glue; to fix or fasten.	j:1zjo,81,47;1zjb,78,158;8og,52,4;wxa,40,1~1zjb,78,158;1zjo,81,47;8og,52,4;wxa,40,1
vtn|n|	a:1c35,16,1~1c35,16,1	n:2b1w,89,5;1c35,32,3~2b1w,89,5;1c35,32,3
vtn|a|	e:1c35,16,1~1c35,16,1
vto|n|	a:1obi,110,3~1obi,110,3
vtr|v|of Glue	d:23hz,26,3~23hz,26,3
