wa9|n|A place or building where athletic exercises are performed; a school for...	a:1ev1,97;1beg,76;1p3h,55;2zu,45;1mo0,38;1593,28	V:adm,6	n:14gv,100;1siy,39	N:1uc7,77;saw,63;9jo,53;296v,38;1gm9,24
wab|n|One who teaches or practices gymnastic exercises; the manager of a gymnasium;...	v:1rn5,41
wac|n|A gymnast.	N:dbk,65
wac|a|Alt. of Gymnastical	j:3zm,91;f90,89;r93,88;233c,87;q63,85;20z9,78;dbk,65;1krd,58;n5s,52;d1e,52
waf|n|Athletic or disciplinary exercises; the art of performing gymnastic exercises;...	a:27n0,108;115o,107;2007,97;18xx,78;18me,72;129r,66;1649,30	v:20z5,70;20wp,64
wbq|a|Of or pertaining to gynecology.	j:1vu0,88
wc2|n|A college servant; -- so called in Cambridge, England; at Oxford called a scout.	a:1kbf,54	n:1kbf,54
wc5|n|A gypsy. See Gypsy.	n:vwo,201
wc6|n|of Gypsy	a:yro,94;ocd,41;1era,21	n:yro,94;28ek,85;ocd,41;24ia,25
wca|n|A mineral consisting of the hydrous sulphate of lime (calcium). When calcined,...	n:1giw,69
wcb|n|One of a vagabond race, whose tribes, coming originally from India, entered...	a:1wem,80;x41,66;1kbf,26;7md,23;1dub,19;29ow,13	v:a7s,17	n:1wem,80;1sig,63	N:1b1e,102;iom,89;1b1q,88;o0c,86;16uz,73;acf,67;uty,61;skf,55;1w3l,51;1vk9,50
wcb|a|Pertaining to, or suitable for, gypsies.	j:1b1e,102;1b1q,88;o0c,86;8jd,74;ww5,61;uty,61;skf,55;87b,48;66p,47;1nhp,42
wch|v|To revolve round a central point; to move spirally about an axis, as a tornado;...	o:1r4p,66
wck|n|The act of turning or whirling, as around a fixed center; a circular or spiral...	a:vqq,113
wcl|n|Moving in a circle, or spirally; revolving; whirling around.	N:1b1w,113
wd1|n|A rotating wheel, mounted in a ring or rings, for illustrating the dynamics of...	N:1r98,153
wd4|a|Of or pertaining to the gyrostat or to gyrostatics.	j:20f9,100
