y1s|n|Who. ; Alt. of Hoa	n:1822,113,2~1822,113,2
y2h|n|The hub of a wheel. See Hub. ; The flat projection or iron shelf at the side of a fire grate, where things are put to be kept warm. ; A threaded and fluted hardened steel cutter, resembling a tap, used in a lathe for forming the teeth of screw chasers, worm wheels, etc. ; A fairy; a sprite; an elf. ; A countryman; a rustic; a clown.	a:s34,98,5~s34,98,5	V:ud5,80,1~ud5,80,1
y2h|a|The hub of a wheel. See Hub. ; The flat projection or iron shelf at the side of a fire grate, where things are put to be kept warm. ; A threaded and fluted hardened steel cutter, resembling a tap, used in a lathe for forming the teeth of screw chasers, worm wheels, etc. ; A fairy; a sprite; an elf. ; A countryman; a rustic; a clown.	j:ud5,96,3~ud5,96,3
y2k|n|of Hobby	a:1era,20,5;1w1v,7,4~1era,20,5;1w1v,7,4	v:qz3,65,4~qz3,65,4	n:8k,10,5~8k,10,5
y2w|n|A small, strong-winged European falcon (Falco subbuteo), formerly trained for hawking. ; Alt. of Hobbyhorse	a:r7u,79,3;2637,58,3;12g0,36,3;1hx0,31,3;1cdz,18,3;1era,1,2;vdr,1,2~r7u,79,3;12g0,36,3;2637,58,3;1hx0,31,3;1cdz,18,3;1era,1,2;vdr,1,2	V:vja,38,3~vja,38,3	n:too,69,4~too,69,4	N:14le,79,1;vja,38,3;1lx8,35,4~1lx8,35,4;vja,38,3;14le,79,1
y2w|v|A small, strong-winged European falcon (Falco subbuteo), formerly trained for hawking. ; Alt. of Hobbyhorse	o:vja,22,1~vja,22,1
y2w|a|A small, strong-winged European falcon (Falco subbuteo), formerly trained for hawking. ; Alt. of Hobbyhorse	j:14le,95,3~14le,95,3
y3j|n|A kind of wooden tray with a handle, borne on the shoulder, for carrying mortar, brick, etc. ; A utensil for holding coal; a coal scuttle.	v:izx,57,3~izx,57,3
y3j|a|A kind of wooden tray with a handle, borne on the shoulder, for carrying mortar, brick, etc. ; A utensil for holding coal; a coal scuttle.	j:1zml,62,3~1zml,62,3
y4u|n|Swill.	a:26gq,151,5~26gq,151,5
y5b|n|The whole interior portion of a vessel below the lower deck, in which the cargo is stowed. ; In general, to keep one's self in a given position or condition; to remain fixed. Hence: ; Not to more; to halt; to stop;-mostly in the imperative. ; Not to give way; not to part or become separated; to remain unbroken or unsubdued. ; Not to fail or be found wanting; to continue; to last; to endure a test or trial; to abide; to persist. ; Not to fall away, desert, or prove recreant; to remain attached; to cleave;-often with with, to, or for. ; To restrain one's self; to refrain. ; To derive right or title; -- generally with of. ; The act of holding, as in or with the hands or arms; the manner of holding, whether firm or loose; seizure; grasp; clasp; gripe; possession; -- often used with the verbs take and lay. ; The authority or ground to take or keep; claim. ; Binding power and influence. ; Something that may be grasped; means of support. ; A place of confinement; a prison; confinement; custody; guard. ; A place of security; a fortified place; a fort; a castle; -- often called a stronghold. ; A character [thus /] placed over or under a note or rest, and indicating that it is to be prolonged; -- called also pause, and corona.	a:zhq,37,1;1yel,3,3;1491,2,3~1491,2,3;1yel,3,3;zhq,37,1	v:up1,6,7~up1,6,7
y5b|v|To cause to remain in a given situation, position, or relation, within certain limits, or the like; to prevent from falling or escaping; to sustain; to restrain; to keep in the grasp; to retain. ; To retain in one's keeping; to maintain possession of, or authority over; not to give up or relinquish; to keep; to defend. ; To have; to possess; to be in possession of; to occupy; to derive title to; as, to hold office. ; To impose restraint upon; to limit in motion or action; to bind legally or morally; to confine; to restrain. ; To maintain in being or action; to carry on; to prosecute, as a course of conduct or an argument; to continue; to sustain. ; To prosecute, have, take, or join in, as something which is the result of united action; as to, hold a meeting, a festival, a session, etc.; hence, to direct and bring about officially; to conduct or preside at; as, the general held a council of war; a judge holds a court; a clergyman holds a service. ; To receive and retain; to contain as a vessel; as, this pail holds milk; hence, to be able to receive and retain; to have capacity or containing power for. ; To accept, as an opinion; to be the adherent of, openly or privately; to persist in, as a purpose; to maintain; to sustain. ; To consider; to regard; to esteem; to account; to think; to judge. ; To bear, carry, or manage; as he holds himself erect; he holds his head high.	o:1zzn,56,1;285t,34,5;1drt,22,8;28d0,18,2;d1e,2,4;3qw,2,4;pu1,2,3~1drt,22,8;285t,34,5;d1e,2,4;3qw,2,4;pu1,2,3;28d0,18,2;1zzn,56,1	s:agz,7,7;25l5,5,7~agz,7,7;25l5,5,7	d:wr,25,3;1c1i,24,7;16r8,20,6;mtw,15,8;ha2,12,4;1xx3,11,19;bn6,6,5;10xm,4,2;1cdu,3,8;2cf,1,7~1xx3,11,19;1cdu,3,8;mtw,15,8;2cf,1,7;1c1i,24,7;16r8,20,6;2fi,0,6;bn6,6,5;ha2,12,4;wr,25,3
y5b|a|To cause to remain in a given situation, position, or relation, within certain limits, or the like; to prevent from falling or escaping; to sustain; to restrain; to keep in the grasp; to retain. ; To retain in one's keeping; to maintain possession of, or authority over; not to give up or relinquish; to keep; to defend. ; To have; to possess; to be in possession of; to occupy; to derive title to; as, to hold office. ; To impose restraint upon; to limit in motion or action; to bind legally or morally; to confine; to restrain. ; To maintain in being or action; to carry on; to prosecute, as a course of conduct or an argument; to continue; to sustain. ; To prosecute, have, take, or join in, as something which is the result of united action; as to, hold a meeting, a festival, a session, etc.; hence, to direct and bring about officially; to conduct or preside at; as, the general held a council of war; a judge holds a court; a clergyman holds a service. ; To receive and retain; to contain as a vessel; as, this pail holds milk; hence, to be able to receive and retain; to have capacity or containing power for. ; To accept, as an opinion; to be the adherent of, openly or privately; to persist in, as a purpose; to maintain; to sustain. ; To consider; to regard; to esteem; to account; to think; to judge. ; To bear, carry, or manage; as he holds himself erect; he holds his head high.	j:285t,11,1~285t,11,1
y5e|n|One who is employed in the hold of a vessel. ; One who, or that which, holds. ; One who holds land, etc., under another; a tenant. ; The payee of a bill of exchange or a promissory note, or the one who owns or holds it.	a:h71,84,5;fnc,53,26;tsx,49,1;27hk,42,3;1x07,36,1;1rum,24,1;161e,22,1;o4i,5,2~fnc,53,26;h71,84,5;27hk,42,3;o4i,5,2;1rum,24,1;1x07,36,1;tsx,49,1;161e,22,1	v:vn4,44,12;1olk,30,3;fnc,6,1~vn4,44,12;1olk,30,3;fnc,6,1	n:60k,75,3;brv,73,4;1x07,68,9;1qw7,67,6;rrr,66,8;tsx,59,2;arv,51,6;1gsz,51,4;1sik,48,4;ii9,45,29~ii9,45,29;fnc,44,14;1d2v,42,13;1x07,68,9;rrr,66,8;arv,51,6;1qw7,67,6;1sik,48,4;1kig,24,4;1gsz,51,4	N:agz,14,4;1qmx,5,3~agz,14,4;1qmx,5,3
y5g|v|of Hold	o:22t8,51,2;1gwb,47,3;sop,36,2;1kqj,35,6;1drt,35,6~1kqj,35,6;1drt,35,6;1gwb,47,3;sop,36,2;22t8,51,2	s:1in1,59,3;1st7,51,5;wo1,25,5;3qw,22,5;1hwv,18,5;21y4,13,5;1luo,0,2~wo1,25,5;21y4,13,5;1st7,51,5;3qw,22,5;1hwv,18,5;1in1,59,3;1luo,0,2	d:2cf,14,5;1xx3,11,6;x5,8,4~1xx3,11,6;2cf,14,5;x5,8,4	D:1dr4,5,2;5y1,4,2~5y1,4,2;1dr4,5,2
y5h|n|A hollow place or cavity; an excavation; a pit; an opening in or through a solid body, a fabric, etc.; a perforation; a rent; a fissure. ; An excavation in the ground, made by an animal to live in, or a natural cavity inhabited by an animal; hence, a low, narrow, or dark lodging or place; a mean habitation. ; To cut, dig, or bore a hole or holes in; as, to hole a post for the insertion of rails or bars. ; To drive into a hole, as an animal, or a billiard ball.	a:1fe6,112,2;u4u,107,3;20r0,98,3;256x,91,3;hgo,78,2;128x,77,2;1v0y,75,6;cs2,71,4;16t0,58,3;11tr,54,3~1vhw,33,14;7md,24,6;7yj,51,6;1v0y,75,6;1d2v,27,5;bgy,43,4;cs2,71,4;1593,19,4;1r4p,38,3;85h,42,3	v:1b3z,81,7;1v0y,59,2;1ofp,28,1;1lmr,18,2~1b3z,81,7;1lmr,18,2;1v0y,59,2;1ofp,28,1	V:mal,100,4;1lmr,24,3~mal,100,4;1lmr,24,3	n:1fe6,102,1;1nrh,94,10;u4u,91,1;8n8,89,4;m5f,73,3;q8x,72,4;128x,67,1;raw,47,3;16t0,42,1;1ofp,38,2~1nrh,94,10;8n8,89,4;q8x,72,4;raw,47,3;m5f,73,3;jsr,29,2;1ofp,38,2;oq5,38,2;u4u,91,1;1r4p,22,1	N:1gwb,51,5;jsr,48,7;16md,46,4;1v0x,34,4~jsr,48,7;1gwb,51,5;16md,46,4;1v0x,34,4
y5h|a|Whole.	j:1v0x,30,3;1gwb,28,1;jsr,19,1;1m3c,11,1~1v0x,30,3;1gwb,28,1;jsr,19,1;1m3c,11,1	e:1d2v,4,1~1d2v,4,1
