ymr|n|The central part, usually cylindrical, of a wheel; the nave. See Illust. of Axle box. ; The hilt of a weapon. ; A rough protuberance or projecting obstruction; as, a hub in the road. [U.S.] See Hubby. ; A goal or mark at which quoits, etc., are cast. ; A hardened, engraved steel punch for impressing a device upon a die, used in coining, etc. ; A screw hob. See Hob, 3. ; A block for scotching a wheel.	a:203i,31,7;12l0,27,255;id5,23,5;mvt,22,3;1cp9,17,5;12a1,17,7;1tjh,17,49;e70,14,39;1gqo,14,6;prb,14,3;1wcs,9,2;1obl,8,29;wlj,7,1;1vto,7,12;1jaw,5,3~12l0,27,255;1tjh,17,49;e70,14,39;1obl,8,29;qda,1,14;1vto,7,12;11tr,2,8;12a1,17,7;203i,31,7;bhu,0,6;1gqo,14,6;id5,23,5;ak7,1,5;1cp9,17,5;1uoi,0,3	v:12bz,41,5;28z,26,6;ttd,11,11;ud6,8,3;20g0,8,4~ttd,11,11;28z,26,6;12bz,41,5;20g0,8,4;ud6,8,3	V:a22,56,4;14tf,46,4;16w4,29,137;1ody,17,6;28z,16,3;4z7,13,2;ud6,2,2~16w4,29,137;1ody,17,6;a22,56,4;14tf,46,4;28z,16,3;ud6,2,2;4z7,13,2	n:mpp,76,205;37x,70,23;btv,69,3;4d2,56,24;1w3c,41,15;dfo,41,14;7yp,39,4;sb4,38,4;s27,36,7;1cet,33,46;286u,32,5;lwc,32,5;226c,31,69;1bvb,31,10;5tx,30,41~fdq,23,227;mpp,76,205;uug,27,92;226c,31,69;ymr,12,68;25kl,11,65;1qsm,13,50;1cet,33,46;ki9,19,42;5tx,30,41;4d2,56,24;37x,70,23;1plj,13,22;1ghg,15,22;1m2t,23,19	N:9rv,86,10652;mpp,78,238;196n,50,4;37x,48,5;1b2a,44,252;5tx,39,78;1wxm,35,3;uh1,28,21;28sn,27,82;1utc,26,15;16z9,25,3;26w5,23,75;1f7s,22,2;17zz,21,25;4zb,20,15~9rv,86,10652;1b2a,44,252;mpp,78,238;28sn,27,82;5tx,39,78;26w5,23,75;ymr,12,68;17zz,21,25;uh1,28,21;4zb,20,15;1utc,26,15;14o,16,13;e6z,3,10;jsr,5,9;8e0,9,9
ymr|a|The central part, usually cylindrical, of a wheel; the nave. See Illust. of Axle box. ; The hilt of a weapon. ; A rough protuberance or projecting obstruction; as, a hub in the road. [U.S.] See Hubby. ; A goal or mark at which quoits, etc., are cast. ; A hardened, engraved steel punch for impressing a device upon a die, used in coining, etc. ; A screw hob. See Hob, 3. ; A block for scotching a wheel.	j:s27,55,25;1f7s,38,6;1vdq,9,2;1ws0,9,3;ak4,6,6;emx,6,3;6ef,6,3;6ol,4,6;1v12,3,1;291s,3,2;1d7s,2,3;1dro,2,3;224u,2,3;22b4,2,1;yli,1,3~s27,55,25;6ol,4,6;1f7s,38,6;ak4,6,6;1d7s,2,3;1dro,2,3;6ef,6,3;yli,1,3;emx,6,3;224u,2,3;1ws0,9,3;291s,3,2;1vdq,9,2;1v12,3,1;22b4,2,1
yms|a|A loud noise of many confused voices; a tumult; uproar.	j:wei,119,4;9xj,84,4~wei,119,4;9xj,84,4
yn7|n|A huck or hull, as of a nut.	a:19lf,58,5;2ck,21,1;kdl,21,3~19lf,58,5;kdl,21,3;2ck,21,1	v:1my4,34,3;1p0r,29,3;qs2,24,10;a7s,16,4;26eh,13,22;1t0n,13,3;kdl,5,1;124b,3,4;bu1,2,3;1uf5,0,2~26eh,13,22;qs2,24,10;124b,3,4;a7s,16,4;1my4,34,3;bu1,2,3;1t0n,13,3;1p0r,29,3;1uf5,0,2;kdl,5,1	V:p5f,64,2;1t0n,20,5~1t0n,20,5;p5f,64,2	n:yn7,75,3;25kl,61,48;97z,36,4;17s5,28,4;hsn,25,1;27q1,23,6;18ye,12,5;277w,9,4;1fpn,2,3~25kl,61,48;27q1,23,6;18ye,12,5;277w,9,4;17s5,28,4;97z,36,4;1fpn,2,3;yn7,75,3;hsn,25,1	N:207y,129,7;yn7,75,3;p5f,64,2;129e,60,5;2ck,37,3;r9e,25,4;18ye,24,11;1tt1,19,5;dz1,17,3;1zml,16,5;l4n,13,4;tov,9,2;14cl,8,5;24jh,2,3~18ye,24,11;207y,129,7;1tt1,19,5;1zml,16,5;14cl,8,5;129e,60,5;r9e,25,4;l4n,13,4;2ck,37,3;24jh,2,3;yn7,75,3;dz1,17,3;p5f,64,2;tov,9,2
yn8|n|A crowd; a number of persons or things crowded together in a confused manner; tumult; confusion.	n:1v72,87,1~1v72,87,1
ynb|v|of Huddle	o:6xw,84,2~6xw,84,2
ynf|n|Color or shade of color; tint; dye. ; A predominant shade in a composition of primary colors; a primary color modified by combination with others. ; A shouting or vociferation.	a:1j0l,132,7;1mze,124,3;vsp,119,6;1opu,116,10;278i,116,7;8aq,109,3;29ld,106,3;29l4,62,4;89s,45,4;1mz8,43,1;vs8,42,3;1op7,18,1;k06,7,4~1opu,116,10;278i,116,7;1j0l,132,7;vsp,119,6;29l4,62,4;k06,7,4;89s,45,4;1mze,124,3;vs8,42,3;8aq,109,3;29ld,106,3;1mz8,43,1;1op7,18,1	v:bu1,15,4;1ru6,10,8~1ru6,10,8;bu1,15,4	V:1u8g,36,3~1u8g,36,3	n:1s57,84,3;1j0i,78,3;1eai,61,3;1op7,28,2;dvr,26,2;1xl0,25,3~1s57,84,3;1eai,61,3;1xl0,25,3;1j0i,78,3;dvr,26,2;1op7,28,2	N:1s57,112,21;164u,72,17;1wk3,70,5;12bj,67,3;96w,33,2;ymr,29,3;1649,18,2;dvr,16,1~1s57,112,21;164u,72,17;1wk3,70,5;12bj,67,3;ymr,29,3;1649,18,2;96w,33,2;dvr,16,1
ynf|a|Color or shade of color; tint; dye. ; A predominant shade in a composition of primary colors; a primary color modified by combination with others. ; A shouting or vociferation.	j:9js,78,2;96w,51,7;rrr,44,3;26m9,31,6;1649,18,2~96w,51,7;26m9,31,6;rrr,44,3;9js,78,2;1649,18,2	e:15mc,39,3~15mc,39,3
ynm|a|A bully; a blusterer.	j:ay9,133,3~ay9,133,3
ynr|a|Puffed up; as, huffy bread. ; Characterized by arrogance or petulance; easily offended.	j:1qu6,101,7;1nwm,101,3;1t1c,64,3;1b3k,63,3;7nf,48,5~1qu6,101,7;7nf,48,5;1b3k,63,3;1t1c,64,3;1nwm,101,3
