13p3|n|Zealous; solicitous; vigilant; anxiously watchful.	N:1a7a,41;1nhp,26;17s5,4
13p3|a|Zealous; solicitous; vigilant; anxiously watchful.	j:1dbo,88;1qru,79;24h7,77;gcm,71;1xr8,70;1zto,69;1g38,69;1nvv,66;1qrv,66;1svy,63	e:11y4,101;db,57;12ba,54;qod,52;yh3,51;tdk,51;jdn,48;sm7,47;m2i,47;r8p,46
13p5|n|of Jealousy	a:1t44,112;baj,101;1i51,96;1bl9,87;16lz,64;1luk,63;12l4,58;1hv3,52;e1v,52;1hx0,50	v:gj5,74;gj1,73;q1k,66;1nxc,41;1ru6,11	n:21zd,62;1xja,32	N:1qru,101
13p8|n|The quality of being jealous; earnest concern or solicitude; painful...	a:baj,85;1201,81;vaf,72;25f3,70;vz4,68;1t44,65;1vlv,64;10ko,64;25tw,61;1luk,60	v:183x,79;1mgg,60;1zna,58;q1k,52;gj1,51;123t,48;ttz,48;1nw5,48;jdy,44;1lhg,34	V:oru,68;1m0e,52;om0,42;1px7,34;4m5,33;9qd,32;q8o,28;1a9h,27;1uf7,21;1ue6,19	n:baj,85;rdh,55;wwz,53;337,47;24kt,44;wwq,40;26nw,39;1arn,38;1s76,33;1wu4,27	N:gcy,81;wwz,47;1q8b,39;ae,38;1664,27
13pa|n|A twilled cotton cloth.	a:1i35,79;8jh,66;yc4,28;1860,21;16i4,10;15c2,8;89s,5;1dub,5;1kbf,5;1oab,4	v:19fy,80;u8g,46;1p91,40;10b,40;1bss,38;o32,38;1q0l,38;1oit,35;1pmb,31;1bg7,29	V:1uho,55;eod,41;1mbu,41;1uci,38;1cnx,35;qep,34;121z,31;sg1,31;1qq,28;15ex,28	n:1ulo,74;fhp,67;1rno,57;1r9x,55;1arj,55;1a4g,47;28nz,46;1g93,44;15fm,40;6dl,36	N:28sz,113;1gws,76;183e,62;bbk,46;240n,40;27a1,37;13wp,36;26hk,34;187q,24;hjx,23
13pd|n|See Gee.	v:18iw,66	n:18iw,66	N:28qe,144
13pd|v|See Gee.	s:1u00,142;1h7x,140;1uy6,66
13pg|v|of Jeer	o:20k0,100;t94,79;13ja,44	s:18vi,9	d:1e3u,63;21r7,3	D:1e3u,63
13pg|a|of Jeer	j:20k0,100;1onq,86;t94,79;hp5,70;13ja,44;7yj,29	e:1e3u,63;xkb,12
13pi|n|of Jeer	N:mxa,79;15ev,74;gvl,73;22nv,69;27nr,46;1td,35
13pi|v|of Jeer	o:15f3,79;mxa,79;15ev,74;gvl,73;22nv,69;1vjp,47;1td,35	s:gvl,53
13pj|n|See 1st Jeer (b).	a:16wo,65	n:2m4,79
13pl|n|Pertaining to, or characteristic of, Thomas Jefferson or his policy or...	N:1ppn,83
13pl|a|Pertaining to, or characteristic of, Thomas Jefferson or his policy or...	j:isf,113;1usu,93;231v,81;1lmg,73;1siy,65;qwd,61
13po|n|A Scripture name of the Supreme Being, by which he was revealed to the Jews as...	a:pj0,42;vrg,13	v:r8m,50;298o,44;6yb,41;1bss,27;3d8,24;16xe,8;a7s,5	V:1wdw,48;84w,42;gj2,42;6yb,41;wwv,36;sxm,34;1wyo,30;rr5,30;3d8,24;1u0i,12	n:1ro1,94;x5o,58;16uo,48;pj0,42;1bsr,39;296i,31;1d9n,29;va0,27;2623,21;6vj,14	N:13xq,73;va0,39;wwv,36;dz1,19;4pp,14
13pr|n|A coachman; a driver; especially, one who drives furiously.	a:1kbf,29	V:1u0i,16;1rn5,15;28ua,1;299g,1	n:1llq,48;165r,22;1l7,19	N:14gc,33
13pt|a|Lacking matter; empty; void of substance.	e:2753,24
13py|n|of Jelly	N:1dai,126;c6p,101
13py|v|of Jelly	o:1dai,126
13pz|n|of Jelly	a:19iy,79;1qk8,48;1era,20	v:tj2,76;17la,50	V:tj2,59;17di,24;1uee,19	n:28wh,59
13q0|n|Anything brought to a gelatinous condition; a viscous, translucent substance in...	a:h9y,124;gfa,108;1b9k,94;20u7,71;23am,56;26t8,54;imm,52;1b0r,51;1xw2,45;21wz,40	v:h9y,124;1o4q,95;1y9g,75;21hb,42;gac,30;16jb,20;17l2,16	V:190o,86;1dx1,74;1b2x,71;1s5o,66;hd2,56;ld3,52;1kpl,42;17la,37;skr,21;1n21,17	n:w3a,131;h9y,124;4xj,118;wuw,109;gfa,108;1nm2,100;1o4q,95;1b9k,94;4ov,91;vno,90	N:190o,86;gfa,81;gil,77;1nm2,76;1dx1,74;a2v,72;1o4q,71;1b2x,71;1s5o,66;71s,65
13q0|a|Anything brought to a gelatinous condition; a viscous, translucent substance in...	j:gfa,81;618,74;a2v,72;1s5o,66;1qw7,63;42h,58;1b2u,51;1qk6,46;tj2,28;rwn,27
13q2|n|of Jelly	N:1jvx,91
13q5|n|A short crowbar. See Jimmy.	a:kzs,73;hwt,23;1kbf,19	v:sai,110;1pmb,59;1dga,57;go6,43;3d8,30;1rn5,25	n:sai,110;kzs,73;hrt,68;go8,65;1kbf,19;1dub,16;29ow,9	N:24i0,160;13jk,151;9ud,80;1ycv,74
13q5|v|A short crowbar. See Jimmy.	s:kzs,73
13q8|n|name of contempt for a flatterer of persons high in social or official life;...	a:ugg,28	v:w02,70;22lf,35;3d8,31;1rn5,11	V:285n,47;ola,37;1xih,36;4vo,25;6w0,23;15n8,17;abe,12;299g,8;1rn5,7;v8y,5	n:13q8,88;xgs,51;1903,51;ln2,51;22mq,48;dv4,46;13z3,44;ao7,31;13uw,29;1rn5,11	N:13q8,88;ln2,59;13uw,21
13q9|n|A small Spanish horse; a genet.	a:1wem,100
