15cd|n|A blow with the foot or feet; a striking or thrust with the foot. ; The projection on the tang of the blade of a pocket knife, which prevents the edge of the blade from striking the spring. See Illust. of Pocketknife. ; A projection in a mold, to form a depression in the surface of the brick. ; The recoil of a musket or other firearm, when discharged.	n:rnc,63,6~rnc,63,6	N:1ezb,36,2~1ezb,36,2
15cd|v|To strike, thrust, or hit violently with the foot; as, a horse kicks a groom; a man kicks a dog. ; To thrust out the foot or feet with violence; to strike out with the foot or feet, as in defense or in bad temper; esp., to strike backward, as a horse does, or to have a habit of doing so. Hence, figuratively: To show ugly resistance, opposition, or hostility; to spurn. ; To recoil; -- said of a musket, cannon, etc.	o:1irv,17,1~1irv,17,1	d:151o,28,4~151o,28,4
15cd|a|To strike, thrust, or hit violently with the foot; as, a horse kicks a groom; a man kicks a dog. ; To thrust out the foot or feet with violence; to strike out with the foot or feet, as in defense or in bad temper; esp., to strike backward, as a horse does, or to have a habit of doing so. Hence, figuratively: To show ugly resistance, opposition, or hostility; to spurn. ; To recoil; -- said of a musket, cannon, etc.	j:1irv,40,5~1irv,40,5
15ci|n|of Kick	n:rnc,66,3~rnc,66,3
15ci|v|of Kick	s:rnc,60,2~rnc,60,2
15cj|n|	V:1ezb,50,3~1ezb,50,3	n:rnc,75,8~rnc,75,8
15co|n|	N:aky,131,5~aky,131,5
15cw|n|of Kid	a:151o,33,2~151o,33,2
15dn|v|To deprive of life, animal or vegetable, in any manner or by any means; to render inanimate; to put to death; to slay. ; To destroy; to ruin; as, to kill one's chances; to kill the sale of a book. ; To cause to cease; to quell; to calm; to still; as, in seamen's language, a shower of rain kills the wind. ; To destroy the effect of; to counteract; to neutralize; as, alkali kills acid.	o:1xt9,17,1~1xt9,17,1
15dq|v|of Kill	o:3tu,70,4~3tu,70,4	s:1n1m,33,2~1n1m,33,2	d:1dkt,71,6~1dkt,71,6
15dr|n|One who deprives of life; one who, or that which, kills. ; A voracious, toothed whale of the genus Orca, of which several species are known.	n:b1n,77,3~b1n,77,3
15e1|n|An abbreviation of Kilogram.	n:1isz,79,5~1isz,79,5
15e2|n|Alt. of Kilogramme	a:1f87,23,1~1f87,23,1	n:1isz,82,6~1isz,82,6
15e9|n|	a:1vl3,67,4;1n1l,38,1~1vl3,67,4;1n1l,38,1	v:1n1l,76,14~1n1l,76,14
15es|n|Characteristic of the species; belonging to one's nature; natural; native. ; Having feelings befitting our common nature; congenial; sympathetic; as, a kind man; a kind heart. ; Showing tenderness or goodness; disposed to do good and confer happiness; averse to hurting or paining; benevolent; benignant; gracious. ; Proceeding from, or characterized by, goodness, gentleness, or benevolence; as, a kind act. ; Gentle; tractable; easily governed; as, a horse kind in harness. ; Nature; natural instinct or disposition. ; Race; genus; species; generic class; as, in mankind or humankind. ; Nature; style; character; sort; fashion; manner; variety; description; class; as, there are several kinds of eloquence, of style, and of music; many kinds of government; various kinds of soil, etc.	a:1hy6,11,7;bwc,11,5;1thb,8,22;khz,8,19;1yah,5,8;1g0v,4,27~1g0v,4,27;1thb,8,22;khz,8,19;1yah,5,8;1hy6,11,7;bwc,11,5	n:qgh,1,3~qgh,1,3	N:1qjw,30,2;2bb7,18,5~2bb7,18,5;1qjw,30,2
15et|n|	V:23y7,28,1~23y7,28,1
15ex|a|To bring forth young. ; To set on fire; to cause to burn with flame; to ignite; to cause to begin burning; to start; to light; as, to kindle a match, or shavings. ; Fig.: To inflame, as the passions; to rouse; to provoke; to excite to action; to heat; to fire; to animate; to incite; as, to kindle anger or wrath; to kindle the flame of love, or love into a flame. ; To take fire; to begin to burn with flame; to start as a flame. ; Fig.: To begin to be excited; to grow warm or animated; to be roused or exasperated.	j:sjz,99,3~sjz,99,3
15f6|n|	a:bwc,59,18;khz,44,30;28si,41,3;192q,24,7;1g0v,20,11;1thb,9,3~khz,44,30;bwc,59,18;1g0v,20,11;192q,24,7;28si,41,3;1thb,9,3
15f9|a|Alt. of Kinematical	j:adn,112,3;22au,94,3~adn,112,3;22au,94,3
15fb|n|The science which treats of motions considered in themselves, or apart from their causes; the comparison and relation of motions.	a:13xj,113,3;g3d,96,5~g3d,96,5;13xj,113,3	v:g3d,73,1~g3d,73,1	n:j5x,86,6;g3d,73,1;1n1m,35,5~j5x,86,6;1n1m,35,5;g3d,73,1
15fh|a|Moving or causing motion; motory; active, as opposed to latent.	j:ov4,117,10~ov4,117,10
15fp|n|The rank, quality, state, or attributes of a king; royal authority; sovereign power; rule; dominion; monarchy. ; The territory or country subject to a king or queen; the dominion of a monarch; the sphere in which one is king or has control. ; An extensive scientific division distinguished by leading or ruling characteristics; a principal division; a department; as, the mineral kingdom.	n:27kp,121,7~27kp,121,7
