5vqz|n|	a:5hhs,140,8;5hib,110,2;5s6u,33,1~5hhs,140,8;5hib,110,2;5s6u,33,1	v:5hhs,130,4;5hib,100,1;9v1e,100,3;4m8m,35,4;7frc,9,2;1ue4,4,3~5hhs,130,4;4m8m,35,4;1ue4,4,3;9v1e,100,3;7frc,9,2;5hib,100,1	V:3f4q,19,2;30cp,15,1;3p6h,6,5~3p6h,6,5;3f4q,19,2;30cp,15,1	n:5hhs,145,12;64b1,121,9;9v1e,114,8;5hib,110,2;5vqz,78,2;5s6u,59,6;42ym,5,2;9nyp,2,6~5hhs,145,12;64b1,121,9;9v1e,114,8;5s6u,59,6;9nyp,2,6;5hib,110,2;42ym,5,2;5vqz,78,2	N:2avy,124,2;5vqz,78,2;5vsd,73,5;9fj7,66,18;otk,62,1;5458,59,10;506c,53,6;5hd2,51,3;3vw,50,1;7jl5,50,2;32wu,44,3;8uzi,39,2;30cp,38,5;8uy9,37,4;5s6u,33,1~9fj7,66,18;2wdl,29,16;2rc6,5,11;5458,59,10;506c,53,6;905g,28,6;30cp,38,5;5vsd,73,5;8uy9,37,4;60fr,13,3;32wu,44,3;5hd2,51,3;7jl5,50,2;5vqz,78,2;2avy,124,2
5vqz|v|	s:5iar,94,9~5iar,94,9
5vr0|n|	n:9k66,30,2;598y,19,3~598y,19,3;9k66,30,2
5vr0|v|	s:9k66,20,1~9k66,20,1
5vr4|n|	V:5e2o,32,4;888b,23,2~5e2o,32,4;888b,23,2
5vr5|n|	n:5vr5,163,3;26ht,53,1;aiy9,41,27~aiy9,41,27;5vr5,163,3;26ht,53,1	N:5vr5,163,3~5vr5,163,3
5vr7|n|	a:5zg4,136,1;1ue4,20,6~1ue4,20,6;5zg4,136,1	v:5zg4,136,1~5zg4,136,1	V:789p,50,17;3l15,26,5;98ii,25,5;78ds,24,15;an9y,22,5;5wx3,22,3;98jd,21,2;6kwu,19,2;5q2f,7,3;8arb,7,4~789p,50,17;78ds,24,15;3l15,26,5;an9y,22,5;98ii,25,5;8arb,7,4;5wx3,22,3;5q2f,7,3;98jd,21,2;6kwu,19,2	n:5zg4,146,2;76ii,28,1~5zg4,146,2;76ii,28,1	N:6kwu,19,2;25xb,9,5;78ds,1,3~25xb,9,5;78ds,1,3;6kwu,19,2
5vr8|n|	a:9d1e,42,8~9d1e,42,8	n:9d1e,32,4~9d1e,32,4
5vra|n|	n:8fkq,50,3~8fkq,50,3
5vrb|n|	n:5tvy,212,40~5tvy,212,40
5vrd|v|	s:9k66,30,1~9k66,30,1
5vrh|a|	j:90ed,106,4~90ed,106,4
5vrk|n|	n:42ym,38,2~42ym,38,2	N:9k5q,6,1~9k5q,6,1
5vrl|n|	V:6kl,75,1~6kl,75,1	N:72yo,59,1~72yo,59,1
5vrn|n|	V:tu4,81,5;98jd,52,2;888b,29,3~tu4,81,5;888b,29,3;98jd,52,2	n:42ym,47,3;9k66,28,7;598y,21,15~598y,21,15;9k66,28,7;42ym,47,3	N:tu4,57,1~tu4,57,1
5vrn|v|	s:9k66,15,3~9k66,15,3
5vro|v|	s:9k66,7,1~9k66,7,1
5vrp|n|	v:5kyb,100,2~5kyb,100,2	n:598y,30,5~598y,30,5
