1e3j|n|That which is opaque; opacity.	a:21y2,77,6;1lgp,32,3;1np9,13,1~21y2,77,6;1lgp,32,3;1np9,13,1
1e3j|v|That which is opaque; opacity.	d:1o5i,14,1~1o5i,14,1
1e3j|a|Impervious to the rays of light; not transparent; as, an opaque substance. ; Obscure; not clear; unintelligible.	j:18cp,29,2~18cp,29,2	e:22vi,54,3;1w24,50,4;e9a,48,6;tmw,45,2;x5,25,3;2753,23,9;1o5i,14,1;22p7,11,2~2753,23,9;e9a,48,6;1w24,50,4;x5,25,3;22vi,54,3;22p7,11,2;tmw,45,2;1o5i,14,1
1e3p|n|Open or unobstructed space; clear land, without trees or obstructions; open ocean; open water.	a:yvd,16,1;18aa,11,2~18aa,11,2;yvd,16,1	N:ykq,2,1~ykq,2,1
1e3p|v|To make or set open; to render free of access; to unclose; to unbar; to unlock; to remove any fastening or covering from; as, to open a door; to open a box; to open a room; to open a letter. ; To spread; to expand; as, to open the hand. ; To disclose; to reveal; to interpret; to explain. ; To make known; to discover; also, to render available or accessible for settlements, trade, etc. ; To enter upon; to begin; as, to open a discussion; to open fire upon an enemy; to open trade, or correspondence; to open a case in court, or a meeting. ; To loosen or make less compact; as, to open matted cotton by separating the fibers. ; To unclose; to form a hole, breach, or gap; to be unclosed; to be parted. ; To expand; to spread out; to be disclosed; as, the harbor opened to our view. ; To begin; to commence; as, the stock opened at par; the battery opened upon the enemy. ; To bark on scent or view of the game.	o:jsa,21,1;1keq,15,2;t12,8,1~1keq,15,2;jsa,21,1;t12,8,1	s:1x3s,18,3;1kib,16,4;lwu,2,1~1kib,16,4;1x3s,18,3;lwu,2,1	d:18ab,16,1~18ab,16,1
1e3p|a|Free of access; not shut up; not closed; affording unobstructed ingress or egress; not impeding or preventing passage; not locked up or covered over; -- applied to passageways; as, an open door, window, road, etc.; also, to inclosed structures or objects; as, open houses, boxes, baskets, bottles, etc.; also, to means of communication or approach by water or land; as, an open harbor or roadstead. ; Free to be used, enjoyed, visited, or the like; not private; public; unrestricted in use; as, an open library, museum, court, or other assembly; liable to the approach, trespass, or attack of any one; unprotected; exposed. ; Free or cleared of obstruction to progress or to view; accessible; as, an open tract; the open sea. ; Not drawn together, closed, or contracted; extended; expanded; as, an open hand; open arms; an open flower; an open prospect. ; Without reserve or false pretense; sincere; characterized by sincerity; unfeigned; frank; also, generous; liberal; bounteous; -- applied to personal appearance, or character, and to the expression of thought and feeling, etc. ; Not concealed or secret; not hidden or disguised; exposed to view or to knowledge; revealed; apparent; as, open schemes or plans; open shame or guilt. ; Not of a quality to prevent communication, as by closing water ways, blocking roads, etc.; hence, not frosty or inclement; mild; -- used of the weather or the climate; as, an open season; an open winter. ; Not settled or adjusted; not decided or determined; not closed or withdrawn from consideration; as, an open account; an open question; to keep an offer or opportunity open. ; Free; disengaged; unappropriated; as, to keep a day open for any purpose; to be open for an engagement. ; Uttered with a relatively wide opening of the articulating organs; -- said of vowels; as, the an far is open as compared with the a in say. ; Uttered, as a consonant, with the oral passage simply narrowed without closure, as in uttering s. ; Not closed or stopped with the finger; -- said of the string of an instrument, as of a violin, when it is allowed to vibrate throughout its whole length. ; Produced by an open string; as, an open tone.	j:1v3e,61,2;1s9w,58,4;hi,51,321;4ec,50,8;s1e,49,3;knq,47,6;4lg,45,4;yla,42,3;jsa,41,4;8sa,40,3~hi,51,321;1wa6,36,145;8k5,11,16;kq1,6,13;161e,17,9;1327,40,9;lwu,34,9;1pn4,25,9;1h6b,0,8;4ec,50,8	e:18ab,36,4;26gy,19,2;tmw,5,8;1sij,4,2~tmw,5,8;18ab,36,4;26gy,19,2;1sij,4,2
1e3r|v|of Open	s:1khh,29,4~1khh,29,4	d:1cee,83,5;1cdu,28,5;psk,9,4;1431,8,5;21r7,4,3~1cee,83,5;1cdu,28,5;1431,8,5;psk,9,4;21r7,4,3	D:1l3,29,3~1l3,29,3
1e3s|n|One who, or that which, opens.	n:lwu,109,4~lwu,109,4
1e3t|n|of Open ; The act or process of opening; a beginning; commencement; first appearance; as, the opening of a speech. ; A place which is open; a breach; an aperture; a gap; cleft, or hole. ; Hence: A vacant place; an opportunity; as, an opening for business. ; A thinly wooded space, without undergrowth, in the midst of a forest; as, oak openings.	a:1yel,29,5;1uus,25,4;1cdz,9,5;1d2v,8,1;1wir,2,2;1gnj,0,1~1cdz,9,5;1yel,29,5;1uus,25,4;1wir,2,2;1gnj,0,1;1d2v,8,1	v:23no,14,1~23no,14,1	n:qqk,60,4;1d2v,24,3;13tv,23,8;qul,17,4;1khh,6,2~13tv,23,8;qqk,60,4;qul,17,4;1d2v,24,3;1khh,6,2	N:1vce,41,2;1gbn,39,5;1tk3,39,5;1xjl,27,3;yko,24,4;1t43,21,2;1kig,17,2;1frk,15,2;20md,4,1~1gbn,39,5;1tk3,39,5;yko,24,4;1xjl,27,3;1kig,17,2;1vce,41,2;1t43,21,2;1frk,15,2;20md,4,1
1e3t|v|of Open	o:1t43,11,1;20md,4,1~20md,4,1;1t43,11,1	s:qqk,40,1;13tv,9,3~13tv,9,3;qqk,40,1	d:psk,2,6~psk,2,6
