1fyc|a|See Aught. ; Was or were under obligation to pay; owed. ; Owned; possessed. ; To be bound in duty or by moral obligation. ; To be necessary, fit, becoming, or expedient; to behoove; -- in this sense formerly sometimes used impersonally or without a subject expressed. ; of Owe	e:1poa,35,7~1poa,35,7
1fyx|n|of Myself ; ; sing. Ourself (/). An emphasized form of the pronoun of the first person plural; -- used as a subject, usually with we; also, alone in the predicate, in the nominative or the objective case.	n:2q4,107,5~2q4,107,5
1fz4|n|One who, or that which, is out; especially, one who is out of office; -- generally in the plural. ; A place or space outside of something; a nook or corner; an angle projecting outward; an open space; -- chiefly used in the phrase ins and outs; as, the ins and outs of a question. See under In. ; A word or words omitted by the compositor in setting up copy; an omission. ; Expressing impatience, anger, a desire to be rid of; -- with the force of command; go out; begone; away; off.	a:2b68,17,3;tze,3,2~2b68,17,3;tze,3,2
1fz4|v|To cause to be out; to eject; to expel. ; To come out with; to make known. ; To give out; to dispose of; to sell. ; To come or go out; to get out or away; to become public.	o:uw0,26,4~uw0,26,4	s:9rl,21,1;b16,19,3;1mx9,2,21;1n7z,1,8~1mx9,2,21;1n7z,1,8;b16,19,3;9rl,21,1
1fz4|a|In its original and strict sense, out means from the interior of something; beyond the limits or boundary of somethings; in a position or relation which is exterior to something; -- opposed to in or into. The something may be expressed after of, from, etc. (see Out of, below); or, if not expressed, it is implied; as, he is out; or, he is out of the house, office, business, etc.; he came out; or, he came out from the ship, meeting, sect, party, etc. ; Away; abroad; off; from home, or from a certain, or a usual, place; not in; not in a particular, or a usual, place; as, the proprietor is out, his team was taken out. ; Beyond the limits of concealment, confinement, privacy, constraint, etc., actual of figurative; hence, not in concealment, constraint, etc., in, or into, a state of freedom, openness, disclosure, publicity, etc.; as, the sun shines out; he laughed out, to be out at the elbows; the secret has leaked out, or is out; the disease broke out on his face; the book is out. ; Beyond the limit of existence, continuance, or supply; to the end; completely; hence, in, or into, a condition of extinction, exhaustion, completion; as, the fuel, or the fire, has burned out. ; Beyond possession, control, or occupation; hence, in, or into, a state of want, loss, or deprivation; -- used of office, business, property, knowledge, etc.; as, the Democrats went out and the Whigs came in; he put his money out at interest. ; Beyond the bounds of what is true, reasonable, correct, proper, common, etc.; in error or mistake; in a wrong or incorrect position or opinion; in a state of disagreement, opposition, etc.; in an inharmonious relation. ; Not in the position to score in playing a game; not in the state or turn of the play for counting or gaining scores.	j:17uw,41,12;22sw,20,5;uw0,16,2;16j9,15,9;1eys,15,11;6tr,14,6;tm1,12,4;zjo,9,3;14xg,8,1;pun,8,7;1vh9,6,1;sg2,5,25;1is1,2,7;1k1f,2,5;sct,1,7~sg2,5,25;17uw,41,12;1eys,15,11;16j9,15,9;sct,1,7;pun,8,7;1is1,2,7;6tr,14,6;22sw,20,5;1k1f,2,5;tm1,12,4;zjo,9,3;uw0,16,2;14xg,8,1;1vh9,6,1	e:1h7j,26,1;rp6,17,1;1huv,12,3;am2,9,1;ekj,5,18;xfw,4,1;1zul,1,5~ekj,5,18;1zul,1,5;1huv,12,3;1h7j,26,1;xfw,4,1;am2,9,1;rp6,17,1
1fzu|n|A bursting forth; eruption; insurrection.	n:go3,113,1~go3,113,1
1g0d|n|That which comes out of, or follows from, something else; issue; result; consequence; upshot.	a:22f5,95,3;20rh,53,3;jry,52,2;1lqy,49,3;173i,44,11;qxa,39,2;1lrt,27,4;7hn,17,2~173i,44,11;1lrt,27,4;20rh,53,3;1lqy,49,3;22f5,95,3;jry,52,2;qxa,39,2;7hn,17,2	v:jru,80,4;jry,58,3;1tcb,13,3~jru,80,4;1tcb,13,3;jry,58,3
1g0e|n|	v:qxa,56,2;16hh,54,2~qxa,56,2;16hh,54,2	n:16hh,59,3;1r8m,24,2~16hh,59,3;1r8m,24,2
1g0e|v|	s:1r8m,14,1~1r8m,14,1
1g0m|a|Being out of date; antiquated.	j:1acv,63,4~1acv,63,4	e:1mqz,54,5;1e62,18,1~1mqz,54,5;1e62,18,1
1g0s|a|Being, or done, in the open air; being or done outside of certain buildings, as poorhouses, hospitals, etc.; as, outdoor exercise; outdoor relief; outdoor patients.	j:45p,67,2;22wi,41,3~22wi,41,3;45p,67,2
1g10|n|The part of a target which is beyond the circles surrounding the bull's-eye. ; A shot which strikes the outer of a target.	a:1wfn,32,8;1ark,31,3;1b6f,15,1;165t,10,1~1wfn,32,8;1ark,31,3;165t,10,1;1b6f,15,1	v:1b6f,41,6~1b6f,41,6	V:1s63,47,2;29vn,23,2;29v0,20,2~29v0,20,2;29vn,23,2;1s63,47,2	n:12uj,65,1;70s,7,4;1mxc,3,5~1mxc,3,5;70s,7,4;12uj,65,1	N:29v0,79,119;1vqc,76,31;29vn,62,30;1iw4,61,9;fmw,57,1;1vql,56,3;17r3,53,3;1p7x,49,2;1s63,37,1;njg,32,2;1iw5,30,1;16eq,27,7;njl,26,1;k8y,22,3;70s,17,8~29v0,79,119;1vqc,76,31;29vn,62,30;1iw4,61,9;70s,17,8;16eo,12,7;16eq,27,7;k8y,22,3;17r3,53,3;1vql,56,3;njg,32,2;176t,6,2;177e,15,2;1hv0,4,2;1p7x,49,2
1g10|v|One who puts out, ousts, or expels; also, an ouster; dispossession.	o:29vn,33,4;29v0,20,2~29vn,33,4;29v0,20,2
1g10|a|Being on the outside; external; farthest or farther from the interior, from a given station, or from any space or position regarded as a center or starting place; -- opposed to inner; as, the outer wall; the outer court or gate; the outer stump in cricket; the outer world.	j:fmw,89,9;191q,79,9;1iw4,78,28;zgb,72,3;29v0,68,57;1vql,66,6;1iw5,66,12;k8y,61,44;1s63,60,5;17r3,60,5;29vn,60,25;kmq,57,11;kmm,56,3;njl,56,8;1wpa,54,5~29v0,68,57;k8y,61,44;1iw4,78,28;29vn,60,25;16eo,29,22;21fw,40,17;1iw5,66,12;kmq,57,11;191q,79,9;fmw,89,9;njl,56,8;16eq,29,8;1vql,66,6;1f4z,32,5;1s63,60,5	e:70s,35,28~70s,35,28
1g30|n|The place or opening by which anything is let out; a passage out; an exit; a vent.	n:29v0,75,8;1m06,47,3~29v0,75,8;1m06,47,3
1g34|n|The line which marks the outer limits of an object or figure; the exterior line or edge; contour. ; In art: A line drawn by pencil, pen, graver, or the like, by which the boundary of a figure is indicated. ; A sketch composed of such lines; the delineation of a figure without shading. ; Fig.: A sketch of any scheme; a preliminary or general indication of a plan, system, course of thought, etc.; as, the outline of a speech.	a:1slb,58,2;v56,32,3;1wfn,22,1~v56,32,3;1slb,58,2;1wfn,22,1
1g34|a|The line which marks the outer limits of an object or figure; the exterior line or edge; contour. ; In art: A line drawn by pencil, pen, graver, or the like, by which the boundary of a figure is indicated. ; A sketch composed of such lines; the delineation of a figure without shading. ; Fig.: A sketch of any scheme; a preliminary or general indication of a plan, system, course of thought, etc.; as, the outline of a speech.	j:1ges,68,3~1ges,68,3
1g37|n|	n:1wqb,84,4~1wqb,84,4
1g4a|n|The amount of coal or ore put out from one or more mines, or the quantity of material produced by, or turned out from, one or more furnaces or mills, in a given time. ; That which is thrown out as products of the metabolic activity of the body; the egesta other than the faeces. See Income.	a:28vp,83,5;1fec,55,3;kj1,53,6;fe1,50,1;1u30,39,8;mm,35,3;1jut,32,3;28d5,10,3;er,2,2~1u30,39,8;kj1,53,6;28vp,83,5;1fec,55,3;1jut,32,3;28d5,10,3;mm,35,3;er,2,2;fe1,50,1	v:jry,45,4;1wxb,25,2;21bk,10,1~jry,45,4;1wxb,25,2;21bk,10,1	V:wov,87,7;v1m,21,2~wov,87,7;v1m,21,2	n:iac,59,5;1ofw,54,4;fe1,50,1;21bk,40,8;xuo,38,10;rlj,33,10;v1m,31,4;1m06,28,10;29lz,28,4;1r8m,25,24;28d5,22,7;1wx7,22,5;1c4l,12,3;6wc,12,12;187l,6,3~1r8m,25,24;6wc,12,12;xuo,38,10;1m06,28,10;rlj,33,10;21bk,40,8;28d5,22,7;iac,59,5;1wx7,22,5;1ofw,54,4;v1m,31,4;29lz,28,4;187l,6,3;1c4l,12,3;fe1,50,1	N:1vjp,53,5;234o,50,4;29lz,46,14;1w7k,44,4;1k6s,39,9;v1m,27,3;10gu,25,4;1m06,21,6;1w50,15,3;i7o,14,3;sd7,10,3~29lz,46,14;1k6s,39,9;1m06,21,6;1vjp,53,5;234o,50,4;1w7k,44,4;10gu,25,4;sd7,10,3;1w50,15,3;v1m,27,3;i7o,14,3
1g4b|n|	a:1fwy,17,3~1fwy,17,3	n:1c4l,56,8;1m06,48,5;rak,25,2~1c4l,56,8;1m06,48,5;rak,25,2
1g4o|n|To reach beyond.	v:m9l,27,1~m9l,27,1
1g5p|a|Of or pertaining to the outside; external; exterior; superficial. ; Reaching the extreme or farthest limit, as to extent, quantity, etc.; as, an outside estimate.	j:1eki,76,2;eo,47,52;1xwc,40,7;njl,37,4;2b5r,37,9;njg,28,3;1v5,27,6;k8y,27,8;29v0,26,6;1iw5,21,1;1xwa,19,6;21fw,9,4~eo,47,52;2b5r,37,9;k8y,27,8;1xwc,40,7;29v0,26,6;1xwa,19,6;1v5,27,6;21fw,9,4;njl,37,4;njg,28,3;1eki,76,2;1iw5,21,1	e:rn9,20,9;ekj,15,4;pzi,14,5;de1,14,3;2abi,6,8~rn9,20,9;2abi,6,8;pzi,14,5;ekj,15,4;de1,14,3
1g5q|n|One not belonging to the concern, institution, party, etc., spoken of; one disconnected in interest or feeling. ; A locksmith's pinchers for grasping the point of a key in the keyhole, to open a door from the outside when the key is inside. ; A horse which is not a favorite in the betting.	N:gdb,72,2~gdb,72,2
1g6a|a|That stands out; undischarged; uncollected; not paid; as, outstanding obligations.	j:1r8m,41,6~1r8m,41,6	e:25v9,79,3;1byh,13,2~25v9,79,3;1byh,13,2
1g7i|v|To exceed in weight or value.	s:7ak,91,3~7ak,91,3
