1fk3|n|The male of bovine quadrupeds, especially the domestic animal when castrated and grown to its full size, or nearly so. The word is also applied, as a general name, to any species of bovine animals, male and female.	a:1msn,72,3;179k,32,3~179k,32,3;1msn,72,3	v:26ei,27,3;1rdb,9,1~26ei,27,3;1rdb,9,1	n:1qau,71,3;6qb,17,3;179k,16,1~1qau,71,3;6qb,17,3;179k,16,1	N:14gc,88,3;70u,84,2;q5,70,2~14gc,88,3;q5,70,2;70u,84,2
1fk3|v|The male of bovine quadrupeds, especially the domestic animal when castrated and grown to its full size, or nearly so. The word is also applied, as a general name, to any species of bovine animals, male and female.	s:179k,16,1~179k,16,1
1fk3|a|The male of bovine quadrupeds, especially the domestic animal when castrated and grown to its full size, or nearly so. The word is also applied, as a general name, to any species of bovine animals, male and female.	j:14gc,82,2;q5,80,4~q5,80,4;14gc,82,2
1fk7|n|A salt of oxalic acid.	n:2mz,151,3;1kmm,134,5;a52,132,6~a52,132,6;1kmm,134,5;2mz,151,3
1fka|n|Pertaining to, derived from, or contained in, sorrel, or oxalis; specifically, designating an acid found in, and characteristic of, oxalis, and also certain plant of the Buckwheat family.	N:q5,68,1~q5,68,1
1fka|a|Pertaining to, derived from, or contained in, sorrel, or oxalis; specifically, designating an acid found in, and characteristic of, oxalis, and also certain plant of the Buckwheat family.	j:q5,96,7~q5,96,7
1fkl|a|Pertaining to, or designating, an acid NH2.C2O2.HO obtained as a fine crystalline powder, intermediate between oxalic acid and oxamide. Its ammonium salt is obtained by boiling oxamide with ammonia.	j:q5,110,1~q5,110,1
1fl0|n|Of or pertaining to the city or university of Oxford, England.	V:1wln,63,4~1wln,63,4	n:1cdz,4,9~1cdz,4,9	N:19qg,108,4;26i2,70,3;1wln,53,2;1yhr,33,3;8k5,29,3;ocd,28,3~19qg,108,4;26i2,70,3;8k5,29,3;ocd,28,3;1yhr,33,3;1wln,53,2
1fl0|a|Of or pertaining to the city or university of Oxford, England.	j:d0k,138,3;21wa,110,4;jxs,100,81;dzx,97,21;jxr,95,13;adt,92,3;wo4,81,6;25l6,73,114;1ow4,29,5;ii9,29,3;18db,28,3;1luo,26,3~25l6,73,114;jxs,100,81;dzx,97,21;jxr,95,13;wo4,81,6;1ow4,29,5;21wa,110,4;d0k,138,3;ii9,29,3;1luo,26,3;adt,92,3;18db,28,3
1fld|n|The act or process of oxidizing, or the state or result of being oxidized.	a:2uj,80,3;112j,70,3;7rs,70,11;1o2t,65,4;10or,59,3;q5,55,3;c3f,53,3;r4x,46,4;1cbg,41,4;e98,36,6;kcb,36,4;5p3,35,3;tsa,28,5;vrg,14,2;tml,10,3~7rs,70,11;e98,36,6;tsa,28,5;r4x,46,4;1o2t,65,4;1cbg,41,4;k06,3,4;kcb,36,4;2uj,80,3;c3f,53,3;tml,10,3;5p3,35,3;q5,55,3;112j,70,3;10or,59,3	v:1lhm,58,3;1lhg,46,9;1pfc,15,3;fdl,7,2~1lhg,46,9;1pfc,15,3;1lhm,58,3;fdl,7,2	n:1ckv,145,3;1ym,133,3;4pf,129,3;v4g,96,27;2et,64,5;136a,62,3;1mb3,42,3;c3f,37,1;1l7,34,6;vrg,30,6;r4x,26,1;mmx,15,4;277w,14,4;1utw,4,3;224y,3,3~v4g,96,27;1l7,34,6;vrg,30,6;2et,64,5;mmx,15,4;277w,14,4;1ym,133,3;136a,62,3;4pf,129,3;1ckv,145,3;1mb3,42,3;224y,3,3;1utw,4,3;r4x,26,1;c3f,37,1	N:1o99,76,18;psw,46,8;hnk,42,4;1d57,34,15;15ht,29,3;1d5e,28,3;1xja,20,6;1lqj,18,5;1lto,15,1;mr3,11,4;1o59,6,1~1o99,76,18;1d57,34,15;psw,46,8;1xja,20,6;1lqj,18,5;hnk,42,4;mr3,11,4;1d5e,28,3;15ht,29,3;1lto,15,1;1o59,6,1
