77re|n|	a:8t7s,106,11;71oz,89,83;7bb8,84,168;6two,69,109;6y4u,68,2;7ep8,55,1;6ytn,54,9;76rl,53,1;4gog,52,6;6h9p,50,1;2qew,50,4;7hzi,48,1;7gm7,47,2;4p06,45,45;77jl,45,2~8723,23,323;7bb8,84,168;6two,69,109;96e6,25,93;71oz,89,83;3f7k,10,74;13vs,15,60;4p06,45,45;4fn0,22,40;619r,41,27;njj,26,24;7ce,16,23;6rq3,12,22;9bzy,26,21;4w6b,21,17	v:7fwh,64,1;6ytn,59,13;2b0v,41,5;6upb,26,2;14gl,26,7;h3d,23,15;60pp,22,43;14gs,18,3;6ngw,12,1;2szk,12,11;at1e,8,3;2ykh,2,2;6two,1,1~60pp,22,43;h3d,23,15;6ytn,59,13;2szk,12,11;14gl,26,7;2b0v,41,5;14gs,18,3;at1e,8,3;2ykh,2,2;6upb,26,2;7fwh,64,1;6ngw,12,1;6two,1,1	V:97qt,122,363;ofy,111,18;aixe,79,13;1kwk,73,28;3zno,66,3;8j8n,65,1;5kp5,62,2;7qav,56,1;64d,53,216;66w0,48,4;4e1n,48,9;9mwi,41,2;7yv6,35,2;1n1u,32,3;814x,30,26~97qt,122,363;64d,53,216;4338,1,74;1k3l,18,56;5brq,20,52;5alm,9,48;2ste,13,30;1kwk,73,28;814x,30,26;1l16,18,22;ofy,111,18;aixe,79,13;8b61,9,11;4e1n,48,9;7yuz,27,6	n:8t7s,122,33;7gli,115,24;71oz,108,309;6two,107,1531;6z5c,107,35;7bb8,104,663;7fwl,98,9;3w05,96,9;7fwh,96,9;6y4u,94,12;6h9p,92,18;60pp,86,3581;7hzi,83,11;6ud5,82,4;7gm7,79,19~60pp,86,3581;8loy,45,2076;6two,107,1531;7bb8,104,663;6z4t,55,546;71oz,108,309;6z54,66,132;77re,11,129;60qo,77,95;761u,35,57;90fb,75,47;9zwe,29,39;7ce,23,39;6z5c,107,35;8t7s,122,33	N:387a,119,36;1odq,117,47;6z5c,116,66;5z0m,115,35;60pp,111,20638;30z7,111,21;3w4y,111,18;97qt,110,162;6z54,110,2684;aixd,109,14;8j8n,108,19;aeut,107,564;aixf,106,11;3mr,106,13;ofy,106,12~60pp,111,20638;6z54,110,2684;5afo,7,1317;2rm6,74,618;319b,7,596;aeut,107,564;281x,17,468;305t,58,436;a7ml,43,371;1dng,70,190;6zjb,63,187;203o,71,182;97qt,110,162;4hyq,3,159;6tus,59,158
77re|v|	o:8j8n,91,6;2cqa,6,1~8j8n,91,6;2cqa,6,1	s:7acj,87,4;7fwc,59,4;6y4u,58,1;71oz,53,7;4mv6,40,1;77ux,38,2;6two,34,10;7bb8,30,4;67wx,19,1;ahy6,3,5~6two,34,10;71oz,53,7;ahy6,3,5;7bb8,30,4;7fwc,59,4;7acj,87,4;77ux,38,2;4mv6,40,1;6y4u,58,1;67wx,19,1	d:6wqy,63,1;6two,57,49;7gm7,47,2~6two,57,49;7gm7,47,2;6wqy,63,1
77re|a|	j:8j8n,100,11;6z5c,66,2;2rsd,21,1;6z54,16,4;6mlo,9,1;5z0p,5,2;1x1w,4,2;a0e6,4,2;8squ,4,1~8j8n,100,11;6z54,16,4;1x1w,4,2;a0e6,4,2;5z0p,5,2;6z5c,66,2;2rsd,21,1;8squ,4,1;6mlo,9,1	e:6two,40,15;71oz,35,2;7bb8,26,3;5loq,21,24~5loq,21,24;6two,40,15;7bb8,26,3;71oz,35,2
77rf|n|	a:86hv,125,119;dft,14,2~86hv,125,119;dft,14,2	v:86hv,66,2;1883,14,10;86xk,9,7;4j8a,7,3;4j6w,4,4;dft,4,1;af1h,0,1~1883,14,10;86xk,9,7;4j6w,4,4;4j8a,7,3;86hv,66,2;af1h,0,1;dft,4,1	V:2kcp,85,6;7djz,84,3;5e5n,53,2;359c,38,4;90qn,37,3;5d7u,14,3;1raw,11,2;3qrn,7,4;9kye,5,2;7i03,5,1~2kcp,85,6;3qrn,7,4;359c,38,4;90qn,37,3;7djz,84,3;5d7u,14,3;1raw,11,2;5e5n,53,2;9kye,5,2;7i03,5,1	n:2bcw,114,1;30do,111,2;86hv,79,5;6z8q,52,3;abv8,31,24;9in,27,2;af1h,20,4;65b3,14,4;1uf,13,10;116w,8,3;9mne,6,8;70mg,5,3;a6j7,3,11;8pj0,2,10~abv8,31,24;a6j7,3,11;1uf,13,10;8pj0,2,10;9mne,6,8;86hv,79,5;65b3,14,4;af1h,20,4;6z8q,52,3;70mg,5,3;116w,8,3;9in,27,2;30do,111,2;2bcw,114,1	N:9s9i,101,2;970x,100,3;86hv,99,20;1ezu,61,27;32wl,49,12;9kye,46,34;nsj,46,4;25p4,31,3;2krt,28,2;4j79,27,4;ajvx,26,2;1rex,25,9;5d7u,24,6;558f,22,5;116w,20,7~9kye,46,34;1ezu,61,27;86hv,99,20;a6j7,9,16;250g,20,14;7nda,19,13;32wl,49,12;1rex,25,9;ab93,8,9;116w,20,7;2grw,18,7;5d7u,24,6;558f,22,5;8ijz,20,5;29p4,9,4
77rf|v|	o:5ceh,16,1~5ceh,16,1	D:5ceh,16,1~5ceh,16,1
77rf|a|	j:8jwo,12,3;250g,2,4~250g,2,4;8jwo,12,3
77rg|n|	V:5z94,85,2~5z94,85,2	N:5z94,91,3;5z7v,84,8;3m12,70,3~5z7v,84,8;3m12,70,3;5z94,91,3
77rg|a|	j:5z7v,64,2~5z7v,64,2
77rh|n|	n:7jji,177,1~7jji,177,1
77rl|n|	a:1jlh,115,3~1jlh,115,3	v:1jlh,100,1~1jlh,100,1	n:1jlh,115,3~1jlh,115,3
77rm|n|	n:3iqq,34,4~3iqq,34,4
77rn|n|	n:4cip,176,3;6two,148,9;7bb8,125,1~6two,148,9;4cip,176,3;7bb8,125,1	N:8ta0,87,3;aiy9,34,7~aiy9,34,7;8ta0,87,3
77rp|n|	a:77rp,101,3;1kzm,47,1;98c0,38,19;2g6a,36,9;86qo,13,13~98c0,38,19;86qo,13,13;2g6a,36,9;77rp,101,3;1kzm,47,1	v:8l3e,29,5;8ipk,26,72;8arb,23,10;2g6a,20,3;a7g2,18,75;86xk,9,6;9voq,8,15;a6ev,6,12;5jtg,5,3;a6d9,1,28~a7g2,18,75;8ipk,26,72;a6d9,1,28;9voq,8,15;a6ev,6,12;8arb,23,10;86xk,9,6;8l3e,29,5;5jtg,5,3;2g6a,20,3	V:64gr,67,1;8nd4,27,11;93uq,24,6;74np,19,1;a7cv,15,6;7ibv,15,1;1op6,4,4;2g6a,4,1~8nd4,27,11;93uq,24,6;a7cv,15,6;1op6,4,4;7ibv,15,1;2g6a,4,1;74np,19,1;64gr,67,1	n:77rp,113,7;4ciu,112,94;75vo,98,6;2g6a,82,222;7lyl,80,1;1kzm,78,9;ao06,74,8;812n,37,2;5j08,32,6;2937,25,10;al51,20,10;8ipk,20,47;5prf,19,8;abv8,13,6;3s81,13,12~2g6a,82,222;4ciu,112,94;8ipk,20,47;a97p,11,13;3s81,13,12;2937,25,10;al51,20,10;1kzm,78,9;ao06,74,8;5prf,19,8;4dov,12,7;77rp,113,7;1op6,12,7;9mne,6,7;abv8,13,6	N:77rp,113,7;64gr,93,6;74np,58,15;a7p0,50,8;2g6a,37,10;1op6,34,31;6rxs,24,20;34zs,18,18;7ibv,15,1;8nd4,8,3;3iqq,7,20~1op6,34,31;3iqq,7,20;6rxs,24,20;34zs,18,18;74np,58,15;2g6a,37,10;a7p0,50,8;77rp,113,7;64gr,93,6;8nd4,8,3;7ibv,15,1
77rp|a|	j:77rp,101,3;72rj,81,2;a7p0,45,6;74np,39,4;1op6,22,14;34zs,6,8~1op6,22,14;34zs,6,8;a7p0,45,6;74np,39,4;77rp,101,3;72rj,81,2
77rq|n|	n:4lbu,96,1~4lbu,96,1
77rt|n|	a:4jow,31,3~4jow,31,3	n:4jow,15,1~4jow,15,1
77ru|n|	N:asmk,29,2~asmk,29,2
77rv|n|	v:a7g2,22,14;a7cv,18,1;a6d9,4,5~a7g2,22,14;a6d9,4,5;a7cv,18,1	N:3iqq,24,9;4jow,11,2~3iqq,24,9;4jow,11,2
77rv|v|	s:a7cv,28,2~a7cv,28,2
77rw|n|	a:a97p,47,4~a97p,47,4	v:a97p,55,7~a97p,55,7	n:a97p,37,2~a97p,37,2
77rx|n|	a:54r3,22,3~54r3,22,3	v:77rx,29,1~77rx,29,1	n:77rx,29,1;54r3,16,2~54r3,16,2;77rx,29,1	N:77rx,29,1;2xta,15,16~2xta,15,16;77rx,29,1
77rx|v|	o:77rx,29,1~77rx,29,1
77ry|n|	a:2m07,26,6;4jow,2,5;7pns,2,1~2m07,26,6;4jow,2,5;7pns,2,1	V:a8we,1,3~a8we,1,3	n:77t5,135,7;6xbm,69,49;3cq8,28,4;7b8f,28,9;7pns,22,4;5mq8,20,2;uz4,12,4;2m07,10,2;a97p,9,7;4jow,5,6;7o5u,1,3;59kk,0,4~6xbm,69,49;7b8f,28,9;77t5,135,7;a97p,9,7;4jow,5,6;59kk,0,4;7pns,22,4;3cq8,28,4;uz4,12,4;7o5u,1,3;2m07,10,2;5mq8,20,2	N:77t5,117,2;7q88,57,5;a8we,41,45;6xbm,29,3;6vtp,26,2;3iqq,5,11;7pns,2,1~a8we,41,45;3iqq,5,11;7q88,57,5;6xbm,29,3;77t5,117,2;6vtp,26,2;7pns,2,1
77s0|n|	a:5cam,13,6~5cam,13,6	n:2mm8,130,13~2mm8,130,13	N:74co,69,14;2anu,58,6;9fb2,33,2;74li,12,2~74co,69,14;2anu,58,6;74li,12,2;9fb2,33,2
