1mns|n|The earliest age at which persons are capable of begetting or bearing children,...	v:1o94,42	V:18h6,8;1uee,4	n:6vj,41;1ke,40;mmx,31;261u,31;8k,11	N:27gu,117
1mnx|a|Arrived at puberty.	j:15le,79;uty,64
1mny|a|Of or pertaining to the pubes; in the region of the pubes; as, the pubic bone;...	j:20vk,125;wj2,99;1p1x,76
1mnz|n|The ventral and anterior of the three principal bones composing either half of...	n:1em2,169
1mo0|n|The general body of mankind, or of a nation, state, or community; the people,...	a:w6c,72;1cz3,60;kp2,33;99g,32;rmv,32;gk9,28;ugg,23;1gj1,23;1hyg,21;1ib0,21	v:1jgb,88;j3o,67;259j,60;130v,56;kj1,46;40j,38;1o9o,35;tly,35;42d,35;f69,33	V:a3k,39;1whz,28;1mty,21;1fjc,3;165t,2	n:259j,60;1cz3,60;130v,56;kj1,46;1o9o,35;42d,35;bnf,32;8p6,27;1be,18;2l9,17	N:1m7v,84;2894,76;1e6l,71;hzm,67;15mh,66;28dx,65;vlj,65;6jr,61;tp0,59;mn,59
1mo0|v|Of or pertaining to the people; belonging to the people; relating to, or...	o:161,4
1mo0|a|Of or pertaining to the people; belonging to the people; relating to, or...	j:rq5,89;26w7,86;1m7v,84;1r5c,81;1ak8,76;2894,76;5fy,72;1e6l,71;toz,70;ick,70
1mo1|n|A farmer of the taxes and public revenues; hence, a collector of toll or...	a:1kbf,34	v:r86,120	V:2297,95;1bss,62
1mo2|n|The act of publishing or making known; notification to the people at large,...	a:1tq5,107;1kju,95;1sxm,87;1hpa,84;1df4,78;otw,77;4e5,71;qs7,70;1wl3,67;1asb,63	v:1zv2,78;5l5,58;1tlb,55;143k,51;5rq,48;1m5j,44;12as,38;bdc,36;efx,32;fa2,21	V:ona,60;1ow9,40;a7s,24;40e,22;14na,7;19k1,2;6q9,1;18h6,1	n:29o3,86;1df4,78;69b,57;1egm,53;3a3,45;rwe,34;b88,29;16qr,22;vi3,19;6vj,15	N:1vu0,46;e33,38;htf,33;1d57,26;1drt,22;uup,21;ykq,12
1mo3|n|A writer on the laws of nature and nations; one who is versed in the science of...	a:tad,73;ocd,50
1mo4|n|The quality or state of being public, or open to the knowledge of a community;...	a:28s5,54;26gb,50;yh1,47;25ks,39;zt6,38;1kid,34;1z5z,33;e98,33;1hx0,32;tsa,32	v:5qu,73;wwr,66;5qp,65;uuq,48;1t6q,43;uum,40;uun,25;ubu,21;uov,7	V:uun,56;izx,44;299g,7;18h6,4	n:1cem,72;g8w,30;290l,11	N:aci,53;17s5,0
1mo7|n|To make public; to make known to mankind, or to people in general; to divulge,...	v:hr8,46	n:lzc,40
1mo7|v|To make public; to make known to mankind, or to people in general; to divulge,...	o:pu1,27;24ia,1	s:hr8,46;22cu,12	d:1vy5,60;xkd,48;8fq,48;1udz,37;7ey,15;1w4g,15;21u3,13;ptd,8;1d28,5	D:9k,55;pu3,37;2cj,2
1mo9|n|of Publish	v:8k5,43	n:rwe,35;e62,3	N:28bx,58;1nfp,51;1822,17
1mo9|v|of Publish	o:18uu,56;e1i,52;1nfp,51;99w,50;38b,41;1g12,39;1dmp,37;1xkh,35;13m9,33;fv9,32	s:68n,87;19vk,69;1g12,66;19vm,64;ugb,62;3gv,61;17wd,59;1xkh,56;1hpa,56;18us,55	d:1kjv,78;1ofx,66;1egp,62;xld,59;3cb,58;15bw,58;1ywy,52;1ds1,47;1lhu,43;1cee,36	D:3cb,101;1kjv,99;1tq7,94;28bx,58;1nfp,51;3a5,51;13vh,46;1asb,35;qkd,32;1pxa,32
1mo9|a|of Publish	j:18uu,56;1g12,39;1tqr,23
1moa|n|One who publishes; as, a publisher of a book or magazine.	a:oly,84;nto,51;qzb,43;be5,42;2l9,41;1egm,35;un2,31;ocd,28;tad,21;rwe,7	v:1ru6,11	V:29dl,32;1tk2,19;ubu,18;221d,17;299g,10;18h6,7;1rn5,3;17di,2;1uee,2;28ua,1	n:1u3j,88;1lms,83;16qr,75;n1w,67;1bic,65;13uw,19
1mob|n|of Publish	a:1vtq,67;n2b,54;2991,40;1lm5,32;1pak,21;1593,20;2l9,17;vrg,3	n:1mue,139;20bo,90;1d7i,75;lqa,61;fje,61;n2b,54;1nwv,39;1lm5,32;f3l,29;g8w,28	N:e62,74;yla,62;1mh,56;pgr,54;ykq,52;1vtz,48;e33,48;231i,48;9sl,48;izx,45
1mob|v|of Publish	o:yla,62;1mh,56;pgr,54;ykq,52;1jvd,33	s:fje,61	d:16wq,45;f3l,29;1d28,16;227a,1	D:9k,34
1moe|n|Of a dark brown or brownish purple color.	N:dfs,85
1moh|n|A maid; a virgin.	n:14r3,106
1mok|n|A celebrated fairy, "the merry wanderer of the night;" -- called also Robin...	a:ujc,58;200i,42	v:ol5,76;1jge,64	V:1q72,45;299g,10	n:q8x,86;qwa,69;165r,19
1mom|n|A fold; a wrinkle; a collection of folds.	a:298c,93;1vcj,65;16i4,42
