7lrk|n|	a:7lrk,108,10;444i,105,68;8pji,100,5;23is,72,3;8xfi,60,2;1473,46,3;2sn2,39,1;42za,36,3;3u1s,16,4;6q1o,10,7~444i,105,68;7lrk,108,10;6q1o,10,7;8pji,100,5;3u1s,16,4;1473,46,3;42za,36,3;23is,72,3;8xfi,60,2;2sn2,39,1	v:6sw9,84,2;444i,64,4;1473,40,2;zxf,14,2;a7g2,4,41~a7g2,4,41;444i,64,4;zxf,14,2;1473,40,2;6sw9,84,2	V:77js,51,11;3leo,25,1;18lm,23,7;15jz,15,3;a7cv,7,5;a6ev,7,19;7n14,3,1~a6ev,7,19;77js,51,11;18lm,23,7;a7cv,7,5;15jz,15,3;3leo,25,1;7n14,3,1	n:8pji,143,99;6sw9,141,110;199v,137,1;6544,126,7;7lre,108,3;4uzl,99,17;4uzm,92,58;2sn2,90,35;at25,82,4;7lrk,74,1;444i,72,7;1473,69,14;8xfi,66,3;71oo,63,8;3i39,62,9~6sw9,141,110;8pji,143,99;4uzm,92,58;3u1s,48,38;2sn2,90,35;80ll,6,21;4uzl,99,17;1473,69,14;294h,14,12;3i39,62,9;71oo,63,8;42za,48,7;444i,72,7;6544,126,7;j3w,2,5	N:67i8,91,5;aua4,86,4;7lrk,74,1;3m16,61,11;7lt5,61,4;92l1,59,3;28oa,50,6;17zu,50,11;7dui,48,7;9pht,47,20;77ii,44,27;acfp,43,3;3m12,43,8;77js,39,5;7n14,38,12~7n1p,34,50;77ii,44,27;9pht,47,20;9cbs,33,14;7n14,38,12;3m16,61,11;17zu,50,11;2kj2,27,11;8hsf,21,8;3m12,43,8;8dws,13,8;7dui,48,7;52pf,25,7;6ogu,38,7;9g7,22,7
7lrk|v|	s:8y30,151,6~8y30,151,6
7lrk|a|	j:a8qw,147,6;7lrk,108,10;9pi7,87,1;67i8,78,2;4dov,51,157;266r,32,4;2ym5,31,4;2937,18,9;7n1p,8,8~4dov,51,157;7lrk,108,10;2937,18,9;7n1p,8,8;a8qw,147,6;2ym5,31,4;266r,32,4;67i8,78,2;9pi7,87,1
7lrl|n|	n:3urk,80,2~3urk,80,2
7lrl|v|	s:3urk,70,1~3urk,70,1
7lrm|n|	v:a6d9,15,2;a7g2,8,1~a6d9,15,2;a7g2,8,1	n:a6d9,21,3~a6d9,21,3
7lrn|n|	a:1kbc,63,7;96k8,63,2;96ke,53,2;96k3,42,7;7m6t,23,2;22ah,17,14;7j6e,17,55;8p3m,13,18;91qa,11,13;8pm3,4,8;69ri,2,36~7j6e,17,55;69ri,2,36;8p3m,13,18;22ah,17,14;91qa,11,13;8pm3,4,8;96k3,42,7;1kbc,63,7;96k8,63,2;96ke,53,2;7m6t,23,2	v:96k8,69,3;96ke,66,5;96k3,48,11;4h2m,37,4;a56p,26,5;3497,18,3;1etz,17,8;853f,15,2;8jsr,5,5;4dov,4,8;a7g2,2,51~a7g2,2,51;96k3,48,11;1etz,17,8;4dov,4,8;8jsr,5,5;a56p,26,5;96ke,66,5;4h2m,37,4;96k8,69,3;3497,18,3;853f,15,2	V:99zd,31,8;2ie8,31,5;1t6n,22,7;ajmn,21,2;35ku,20,5;8n7p,16,6;66d4,13,4;a7cv,5,6~99zd,31,8;1t6n,22,7;a7cv,5,6;8n7p,16,6;35ku,20,5;2ie8,31,5;66d4,13,4;ajmn,21,2	n:7lrn,93,7;7lg7,93,4;7o2n,91,3;7lsa,90,4;7lzt,83,3;7m6t,53,16;4tis,44,2;96k3,33,4;4h2m,17,1;3497,12,2;4dov,12,14;853f,5,1~7m6t,53,16;4dov,12,14;7lrn,93,7;7lsa,90,4;96k3,33,4;7lg7,93,4;7o2n,91,3;7lzt,83,3;3497,12,2;4tis,44,2;4h2m,17,1;853f,5,1	N:6um9,108,6;4c6k,107,2;7lsa,100,8;64cd,97,9;7lo1,96,3;75vo,94,9;7lrn,93,7;7m8g,75,1;7lzt,67,1;ajnk,66,16;ajmn,61,31;96k3,47,10;4h3n,35,2;52pf,33,17;9jd7,17,30~1jlg,15,51;6j5v,15,33;ajmn,61,31;9jd7,17,30;4dov,15,18;52pf,33,17;ajnk,66,16;96k3,47,10;8n0w,1,10;75vo,94,9;4byy,1,9;64cd,97,9;gaa,3,9;7lsa,100,8;7lrn,93,7
7lro|n|	a:8k4w,54,9;61tf,45,8~8k4w,54,9;61tf,45,8	v:44j,20,4~44j,20,4	V:a7g2,6,4~a7g2,6,4	n:1gsq,53,5;44j,0,1~1gsq,53,5;44j,0,1
7lrp|n|	a:7j6e,4,2~7j6e,4,2	v:96ke,94,3;44j,40,22;8ipk,31,18;a7g2,4,5~44j,40,22;8ipk,31,18;a7g2,4,5;96ke,94,3	n:55ba,29,1;11a,6,4;a6d9,6,7~a6d9,6,7;11a,6,4;55ba,29,1	N:6jco,50,11;55ba,39,2;6j5v,20,4;1jlg,9,3~6jco,50,11;6j5v,20,4;1jlg,9,3;55ba,39,2
7lrr|n|	v:a7g2,4,3~a7g2,4,3	V:2no0,57,1;5of1,39,6~5of1,39,6;2no0,57,1	n:a6d9,11,6~a6d9,11,6	N:8zu1,116,5;66o0,112,5;8ztm,95,10;2no0,85,7;2nmy,64,6;2nm0,54,4;2kj2,50,4;7n1p,35,4;5x2f,26,1~8ztm,95,10;2no0,85,7;2nmy,64,6;66o0,112,5;8zu1,116,5;2kj2,50,4;7n1p,35,4;2nm0,54,4;5x2f,26,1
7lrr|a|	j:5x2f,49,5;2kj2,40,2;7n1p,25,2~5x2f,49,5;7n1p,25,2;2kj2,40,2
7lrs|n|	a:7m6t,81,3;4h2m,79,2;7j6e,34,5~7j6e,34,5;7m6t,81,3;4h2m,79,2	v:4h2m,79,2~4h2m,79,2
7lrt|n|	a:4j6w,72,10~4j6w,72,10	N:77ii,77,5~77ii,77,5
7lru|n|	v:t8n,75,1~t8n,75,1	V:7myl,117,1~7myl,117,1	n:3fyf,159,6;6gua,156,30;6gva,89,9;t8n,75,1;8ds7,34,1;91jr,9,1~6gua,156,30;6gva,89,9;3fyf,159,6;8ds7,34,1;t8n,75,1;91jr,9,1	N:9k1c,192,6;aby1,141,18;9ezu,120,6;6gua,117,2;87m2,97,10;nji,93,6;7aiv,87,2;3rhz,80,1;k67,62,2;3tb7,54,2;6ktt,50,2~aby1,141,18;87m2,97,10;9ezu,120,6;9k1c,192,6;nji,93,6;7aiv,87,2;6ktt,50,2;3tb7,54,2;6gua,117,2;k67,62,2;3rhz,80,1
7lru|v|	o:k67,72,4~k67,72,4	s:1kg,117,3;8ds7,34,1~1kg,117,3;8ds7,34,1
7lru|a|	j:3tb7,64,4~3tb7,64,4
7lrv|n|	a:3sqe,62,11~3sqe,62,11	V:1mm0,94,5~1mm0,94,5	N:1mm0,116,24;1mcq,56,19~1mm0,116,24;1mcq,56,19
7lrw|n|	V:313e,95,8;adw,54,3~313e,95,8;adw,54,3	n:7lst,145,1;1xe4,140,2~1xe4,140,2;7lst,145,1	N:7njw,170,8~7njw,170,8
7lrx|n|	n:1jlg,40,4~1jlg,40,4
7lrx|v|	s:1jlg,30,2~1jlg,30,2
7lry|n|	n:896c,103,4~896c,103,4
7lrz|n|	n:6eke,98,24;2lp9,85,10;294h,85,4135;6en7,80,6;a2vt,65,153;6079,63,6;2m9w,50,349;a4pc,48,1130~294h,85,4135;a4pc,48,1130;2m9w,50,349;a2vt,65,153;6eke,98,24;2lp9,85,10;6en7,80,6;6079,63,6
7lrz|v|	s:2lp9,80,7;294h,63,936;a2vt,60,108;2m9w,23,54;a4pc,7,64~294h,63,936;a2vt,60,108;a4pc,7,64;2m9w,23,54;2lp9,80,7
7ls2|n|	a:7nz9,160,6~7nz9,160,6	v:4itp,36,2~4itp,36,2	n:7nz9,167,10~7nz9,167,10	N:38xh,36,2;6j5v,29,5~6j5v,29,5;38xh,36,2
7ls2|v|	s:7nz9,157,5~7nz9,157,5
7ls3|n|	v:a7g2,39,27;a6d9,22,10~a7g2,39,27;a6d9,22,10	N:1jlg,38,10~1jlg,38,10
