1rgy|a|Of or pertaining to the Sabbath; resembling the Sabbath; enjoying or bringing an intermission of labor.	j:15l6,47,4;29ke,43,12~29ke,43,12;15l6,47,4
1rk6|a|Set apart by solemn religious ceremony; especially, in a good sense, made holy; set apart to religious use; consecrated; not profane or common; as, a sacred place; a sacred day; sacred service. ; Relating to religion, or to the services of religion; not secular; religious; as, sacred history. ; Designated or exalted by a divine sanction; possessing the highest title to obedience, honor, reverence, or veneration; entitled to extreme reverence; venerable. ; Hence, not to be profaned or violated; inviolable. ; Consecrated; dedicated; devoted; -- with to. ; Solemnly devoted, in a bad sense, as to evil, vengeance, curse, or the like; accursed; baleful.	j:219h,152,3~219h,152,3
1rkd|n|The offering of anything to God, or to a god; consecratory rite. ; Anything consecrated and offered to God, or to a divinity; an immolated victim, or an offering of any kind, laid upon an altar, or otherwise presented in the way of religious thanksgiving, atonement, or conciliation. ; Destruction or surrender of anything for the sake of something else; devotion of some desirable object in behalf of a higher object, or to a claim deemed more pressing; hence, also, the thing so devoted or given up; as, the sacrifice of interest to pleasure, or of pleasure to interest. ; A sale at a price less than the cost or the actual value. ; To make an offering of; to consecrate or present to a divinity by way of expiation or propitiation, or as a token acknowledgment or thanksgiving; to immolate on the altar of God, in order to atone for sin, to procure favor, or to express thankfulness; as, to sacrifice an ox or a sheep. ; Hence, to destroy, surrender, or suffer to be lost, for the sake of obtaining something; to give up in favor of a higher or more imperative object or duty; to devote, with loss or suffering. ; To destroy; to kill. ; To sell at a price less than the cost or the actual value.	a:25tw,77,3;1hx0,37,3~25tw,77,3;1hx0,37,3
1rkd|v|To make offerings to God, or to a deity, of things consumed on the altar; to offer sacrifice.	o:1ne2,46,4~1ne2,46,4	d:1cdu,36,5~1cdu,36,5
1rkg|a|Of or pertaining to sacrifice or sacrifices; consisting in sacrifice; performing sacrifice.	j:15ht,61,4~15ht,61,4
1rkh|v|of Sacrifice	o:1ne2,48,4~1ne2,48,4
1rkv|n|Sated; satisfied; weary; tired. ; Heavy; weighty; ponderous; close; hard. ; Dull; grave; dark; somber; -- said of colors. ; Serious; grave; sober; steadfast; not light or frivolous. ; Affected with grief or unhappiness; cast down with affliction; downcast; gloomy; mournful. ; Afflictive; calamitous; causing sorrow; as, a sad accident; a sad misfortune. ; Hence, bad; naughty; troublesome; wicked.	a:16i4,16,3;1lgp,10,2~16i4,16,3;1lgp,10,2	N:243x,43,1~243x,43,1
1rkv|v|To make sorrowful; to sadden.	o:1oai,78,12;qtq,51,8;1v07,34,8;21y4,32,13;297r,29,3;qdb,13,3~21y4,32,13;1oai,78,12;qtq,51,8;1v07,34,8;qdb,13,3;297r,29,3	d:qod,34,4;1oar,32,23;22p7,8,5~1oar,32,23;22p7,8,5;qod,34,4	D:28j8,16,12~28j8,16,12
1rkv|a|Sated; satisfied; weary; tired. ; Heavy; weighty; ponderous; close; hard. ; Dull; grave; dark; somber; -- said of colors. ; Serious; grave; sober; steadfast; not light or frivolous. ; Affected with grief or unhappiness; cast down with affliction; downcast; gloomy; mournful. ; Afflictive; calamitous; causing sorrow; as, a sad accident; a sad misfortune. ; Hence, bad; naughty; troublesome; wicked.	j:243x,53,2;1y5i,39,3;1xja,37,5;1gm9,22,5~1gm9,22,5;1xja,37,5;1y5i,39,3;243x,53,2	e:1lgp,10,2~1lgp,10,2
1rlo|a|Free from harm, injury, or risk; untouched or unthreatened by danger or injury; unharmed; unhurt; secure; whole; as, safe from disease; safe from storms; safe from foes. ; Conferring safety; securing from harm; not exposing to danger; confining securely; to be relied upon; not dangerous; as, a safe harbor; a safe bridge, etc. ; Incapable of doing harm; no longer dangerous; in secure care or custody; as, the prisoner is safe.	j:wr3,80,2;7d8,55,8;536,45,5;1r5n,42,3;1o18,31,3;1wcr,30,5;ork,27,4;2168,21,6;1e9k,19,5;1gtf,19,2~2881,10,13;7d8,55,8;1j7p,16,6;2168,21,6;1wcr,30,5;1e9k,19,5;536,45,5;ork,27,4;1ukf,15,4;1r5n,42,3	e:kwq,76,1;15nm,36,4;qw7,29,8;1oc5,28,4;1p8k,24,4;22vi,22,3;1w26,20,4;1hl5,19,3;ugr,18,7;e9a,11,4~qw7,29,8;ugr,18,7;2fi,4,5;e9a,11,4;1oc5,28,4;15nm,36,4;1w26,20,4;1lgp,5,4;1p8k,24,4;1hl5,19,3
