1s9g|n|An incrustation over a sore, wound, vesicle, or pustule, formed by the drying...	a:dw5,94;2l9,46	n:14s7,65	N:mbf,86
1s9g|a|An incrustation over a sore, wound, vesicle, or pustule, formed by the drying...	j:mbf,86;der,78
1s9h|n|The case in which the blade of a sword, dagger, etc., is kept; a sheath.	a:13sh,99;15l2,93;1rfj,83;nxi,70	v:13sh,99;urx,81	V:wpq,69;yrn,49;1yfl,47	n:6mm,100;26v9,89;1rfj,83;15kv,66;204a,61;1uqv,53
1s9o|n|Affected with scabs; full of scabs.	N:1u4z,102
1s9o|a|Affected with scabs; full of scabs.	j:13sb,111
1s9x|n|A temporary structure of timber, boards, etc., for various purposes, as for...	a:5kc,73;1gmu,69;884,59;r4y,50;294h,48;1ru6,26;e3m,25;1mo0,24;xvm,18	V:p7g,81;1nxc,48;yrn,41;1y3s,19	n:1gmu,69	N:9po,106;1jxo,62;xvm,25;1y3s,19
1s9z|n|A scaffold; a supporting framework; as, the scaffolding of the body.	a:294h,74;1vcj,55;1w1v,13	V:p7g,77;yrn,55
1sa1|n|An imitation of any veined and ornamental stone, as marble, formed by a...	N:181j,99;saw,85;296v,77
1sa2|n|A machine formerly employed for reducing dislocations of the humerus.	n:14r3,98	N:21q2,96
1sab|n|A scamp; a scapegrace.	a:1dub,57
1sac|n|A burn, or injury to the skin or flesh, by some hot liquid, or by steam.	V:1rn5,9	n:gij,60;285t,30	N:14k9,88;19ln,72;x0g,29
1sac|v|To burn with hot liquid or steam; to pain or injure by contact with, or...	o:19ln,72	d:220y,49;21r7,21
1sad|v|of Scald	o:vec,109;19ln,96;gij,66	s:19ln,73;h71,67	d:m81,75;1lhu,71;60u,62;220y,57;rwe,7	D:6vj,13
1sad|a|of Scald	j:vec,109;19ln,96;gij,66	e:220y,57
1sah|n|of Scald	a:1tw6,49;yjq,43	N:285t,63
1sah|v|of Scald	o:27e2,85;20zt,77;16ct,66;19ln,66;1xmg,64;285t,63;20z3,60;x3w,58;dlz,56	s:1kpl,71;285t,21
