1uim|n|	a:1ewf,50,27;1fwy,34,236;tli,31,5;23dh,30,1;22qu,27,7;1qi0,26,6;p72,25,8;ipf,24,2;1vfz,23,16;1hu6,23,16;18hy,21,12;ow6,20,5;v56,16,13;eo,16,10;1z33,15,6~1fwy,34,236;18zh,14,29;1ewf,50,27;kgh,11,24;1vfz,23,16;1hu6,23,16;v56,16,13;18hy,21,12;eo,16,10;1y56,5,8;p72,25,8;hnu,7,7;22qu,27,7;1qi0,26,6;1z33,15,6	v:1mxc,38,181;ipf,37,5;23dh,30,1;ovq,27,8;2b5h,27,1;eo,21,15;fis,13,5;1a6q,9,4;w1,5,2;16dt,3,1~1mxc,38,181;eo,21,15;ovq,27,8;ipf,37,5;fis,13,5;1a6q,9,4;w1,5,2;23dh,30,1;2b5h,27,1;16dt,3,1	V:1wkn,57,82;ipf,34,4;29xc,28,7;8d8,25,3;2b5j,22,16;23pd,13,1;7iw,12,1;1d7e,9,6;1a6q,9,4;22pp,6,1;1uqm,3,10~1wkn,57,82;2b5j,22,16;1uqm,3,10;29xc,28,7;1d7e,9,6;ipf,34,4;1a6q,9,4;8d8,25,3;22pp,6,1;23pd,13,1;7iw,12,1	n:hdy,90,9;nl1,63,6;2b5h,57,8;eo,54,140;23dh,50,4;1iox,41,55;1pxh,39,7;1n7w,37,1;18jr,36,1;ovq,32,11;16dt,31,7;8aj,27,5;19cl,26,10;19cf,26,13;161p,24,7~eo,54,140;1iox,41,55;1mxc,8,23;1u2v,23,14;19cf,26,13;1mt,22,11;ovq,32,11;19cl,26,10;i7o,15,10;hdy,90,9;7l1,1,8;1a6q,19,8;2b5h,57,8;16dt,31,7;161p,24,7	N:1wkn,74,273;ofz,67,25;22pp,65,58;2a8g,58,22;1yz9,58,33;1htq,55,8;1df2,55,35;1l7j,54,59;ofy,52,8;1wkl,52,178;k1r,50,3;eg5,48,6;7iw,46,11;1hv9,43,5;tl7,40,18~1wkn,74,273;1wkl,52,178;1l7j,54,59;22pp,65,58;eg6,37,47;1df2,55,35;1yz9,58,33;1ovy,0,31;28a4,32,29;1a6q,36,26;ofz,67,25;28a2,29,24;eo,28,24;2a8g,58,22;1bdb,16,18
1uim|v|	s:1pxh,37,6~1pxh,37,6
1uim|a|	j:1yz9,42,11;23pd,13,1;1l7j,11,3;1wkn,3,2~1yz9,42,11;1l7j,11,3;1wkn,3,2;23pd,13,1
1uj1|n|Any aquatic carnivorous mammal of the families Phocidae and Otariidae. ; An engraved or inscribed stamp, used for marking an impression in wax or other soft substance, to be attached to a document, or otherwise used by way of authentication or security. ; Wax, wafer, or other tenacious substance, set to an instrument, and impressed or stamped with a seal; as, to give a deed under hand and seal. ; That which seals or fastens; esp., the wax or wafer placed on a letter or other closed paper, etc., to fasten it. ; That which confirms, ratifies, or makes stable; that which authenticates; that which secures; assurance. ; An arrangement for preventing the entrance or return of gas or air into a pipe, by which the open end of the pipe dips beneath the surface of water or other liquid, or a deep bend or sag in the pipe is filled with the liquid; a draintrap.	a:w2z,33,13~w2z,33,13
1uj2|n|	a:1wa7,83,2~1wa7,83,2	n:1wa7,83,2~1wa7,83,2
1uj3|v|of Seal	o:pb0,101,1;65z,90,3;1gvs,87,4;1klu,45,3~1gvs,87,4;65z,90,3;1klu,45,3;pb0,101,1	s:28eb,96,5~28eb,96,5
1uj3|a|of Seal	j:fj8,99,6;65z,84,2;1gvs,67,1;1klu,29,1~fj8,99,6;65z,84,2;1gvs,67,1;1klu,29,1
1uj7|n|Grease; tallow; lard. ; The fold or line formed by sewing together two pieces of cloth or leather. ; Hence, a line of junction; a joint; a suture, as on a ship, a floor, or other structure; the line of union, or joint, of two boards, planks, metal plates, etc. ; A thin layer or stratum; a narrow vein between two thicker strata; as, a seam of coal. ; A line or depression left by a cut or wound; a scar; a cicatrix. ; A denomination of weight or measure. ; The quantity of eight bushels of grain. ; The quantity of 120 pounds of glass.	a:9rm,85,2;29en,64,4;1pe2,51,2;2bpd,40,8~2bpd,40,8;29en,64,4;1pe2,51,2;9rm,85,2	v:9rm,75,1;1pe2,41,1;2bpd,10,1~9rm,75,1;1pe2,41,1;2bpd,10,1	n:2bpd,61,35~2bpd,61,35	N:24n,102,21;g3p,75,13~24n,102,21;g3p,75,13
1uj7|a|Grease; tallow; lard. ; The fold or line formed by sewing together two pieces of cloth or leather. ; Hence, a line of junction; a joint; a suture, as on a ship, a floor, or other structure; the line of union, or joint, of two boards, planks, metal plates, etc. ; A thin layer or stratum; a narrow vein between two thicker strata; as, a seam of coal. ; A line or depression left by a cut or wound; a scar; a cicatrix. ; A denomination of weight or measure. ; The quantity of eight bushels of grain. ; The quantity of 120 pounds of glass.	j:g3p,38,1~g3p,38,1
1ujw|n|To look over or through, for the purpose of finding something; to examine; to explore; as, to search the city. ; To inquire after; to look for; to seek. ; To examine or explore by feeling with an instrument; to probe; as, to search a wound. ; To examine; to try; to put to the test. ; To seek; to look for something; to make inquiry, exploration, or examination; to hunt. ; The act of seeking or looking for something; quest; inquiry; pursuit for finding something; examination.	a:rtz,65,9;1owv,65,52;w3h,54,48;2a83,47,17;7w2,40,2;13fr,39,8;er,21,15;1wci,12,7;1s44,5,6;sjm,0,10~1owv,65,52;w3h,54,48;2a83,47,17;er,21,15;sjm,0,10;rtz,65,9;13fr,39,8;1wci,12,7;1s44,5,6;7w2,40,2	V:1rom,74,6;1w04,44,22;266b,40,8;ee7,38,3;2013,28,1~1w04,44,22;266b,40,8;1rom,74,6;ee7,38,3;2013,28,1	n:w3h,65,101;2a83,44,14;14p8,43,48;293u,29,8;13fr,25,3;10gu,5,2;23w8,4,5~w3h,65,101;14p8,43,48;2a83,44,14;293u,29,8;23w8,4,5;13fr,25,3;10gu,5,2	N:ovw,97,44;ovn,87,70;1rom,83,11;ee7,65,20;ee5,59,43;235f,50,31;1rh3,41,41;2013,38,2;ud1,34,5;2bo4,34,4;918,31,6;1w04,27,7;1f56,24,6;24h0,16,3;24h4,15,2~ovn,87,70;ovw,97,44;ee5,59,43;1rh3,41,41;235f,50,31;ee7,65,20;1rom,83,11;1w04,27,7;1f56,24,6;918,31,6;ud1,34,5;2bo4,34,4;1rgu,6,3;24h0,16,3;sat,2,3
