1vsh|n|To cause or suffer to lie in a fluid till the substance has imbibed what it can contain; to macerate in water or other liquid; to steep, as for the purpose of softening or freshening; as, to soak cloth; to soak bread; to soak salt meat, salt fish, or the like. ; To drench; to wet thoroughly. ; To draw in by the pores, or through small passages; as, a sponge soaks up water; the skin soaks in moisture. ; To make (its way) by entering pores or interstices; -- often with through. ; Fig.: To absorb; to drain. ; To lie steeping in water or other liquid; to become sturated; as, let the cloth lie and soak. ; To enter (into something) by pores or interstices; as, water soaks into the earth or other porous matter. ; To drink intemperately or gluttonously.	a:dq6,66,7;15uk,28,2;vdr,15,5~dq6,66,7;vdr,15,5;15uk,28,2	v:15uk,18,1~15uk,18,1	n:1dti,58,3;x3w,41,2;15uk,18,1~1dti,58,3;x3w,41,2;15uk,18,1	N:21hb,30,4~21hb,30,4
1vsh|v|To cause or suffer to lie in a fluid till the substance has imbibed what it can contain; to macerate in water or other liquid; to steep, as for the purpose of softening or freshening; as, to soak cloth; to soak bread; to soak salt meat, salt fish, or the like. ; To drench; to wet thoroughly. ; To draw in by the pores, or through small passages; as, a sponge soaks up water; the skin soaks in moisture. ; To make (its way) by entering pores or interstices; -- often with through. ; Fig.: To absorb; to drain. ; To lie steeping in water or other liquid; to become sturated; as, let the cloth lie and soak. ; To enter (into something) by pores or interstices; as, water soaks into the earth or other porous matter. ; To drink intemperately or gluttonously.	d:1ut3,22,3;21r7,3,6;1431,0,5~21r7,3,6;1431,0,5;1ut3,22,3
1vsh|a|To cause or suffer to lie in a fluid till the substance has imbibed what it can contain; to macerate in water or other liquid; to steep, as for the purpose of softening or freshening; as, to soak cloth; to soak bread; to soak salt meat, salt fish, or the like. ; To drench; to wet thoroughly. ; To draw in by the pores, or through small passages; as, a sponge soaks up water; the skin soaks in moisture. ; To make (its way) by entering pores or interstices; -- often with through. ; Fig.: To absorb; to drain. ; To lie steeping in water or other liquid; to become sturated; as, let the cloth lie and soak. ; To enter (into something) by pores or interstices; as, water soaks into the earth or other porous matter. ; To drink intemperately or gluttonously.	j:21hb,10,1~21hb,10,1
1vsj|v|of Soak	o:1nvr,106,3~1nvr,106,3	s:1nvr,111,4;x3w,58,4;285t,47,3;265j,1,3~x3w,58,4;1nvr,111,4;285t,47,3;265j,1,3	d:220y,85,5;e9a,45,7;22vi,45,2~e9a,45,7;220y,85,5;22vi,45,2	D:1nvr,91,1;3qz,57,8~3qz,57,8;1nvr,91,1
1vsj|a|of Soak	j:1nvr,91,1~1nvr,91,1	e:22vi,35,1;e9a,17,1~e9a,17,1;22vi,35,1
1vsl|v|of Soak	o:28gk,82,5~28gk,82,5	s:2445,9,2~2445,9,2	d:1431,7,5;21r7,1,3~1431,7,5;21r7,1,3
1vsp|n|A substance which dissolves in water, thus forming a lather, and is used as a cleansing agent. Soap is produced by combining fats or oils with alkalies or alkaline earths, usually by boiling, and consists of salts of sodium, potassium, etc., with the fatty acids (oleic, stearic, palmitic, etc.). See the Note below, and cf. Saponification. By extension, any compound of similar composition or properties, whether used as a cleaning agent or not.	a:kvd,113,51;19kp,81,6;15fj,77,1;14if,75,2;1rl1,59,5;1p3h,38,6;1cwn,21,5;16i4,14,4~kvd,113,51;19kp,81,6;1p3h,38,6;1cwn,21,5;1rl1,59,5;16i4,14,4;14if,75,2;15fj,77,1	v:284k,90,8;mu9,39,1;10md,13,2~284k,90,8;10md,13,2;mu9,39,1	n:14if,89,5;16fj,73,4;16ct,67,8;kvd,56,1;ap0,46,4;1j9v,34,2;wo1,27,5;69o,19,4;29me,4,2~16ct,67,8;14if,89,5;wo1,27,5;69o,19,4;16fj,73,4;ap0,46,4;29me,4,2;1j9v,34,2;kvd,56,1	N:1pun,74,3;1e3x,60,3;hnk,39,4;14ek,38,3;2223,36,4;1adk,25,4;69o,24,6;d6d,24,3;285t,21,2;1pqx,20,2;1w0v,17,6;28ax,17,3;195n,8,3;8ul,6,1~69o,24,6;1w0v,17,6;2223,36,4;hnk,39,4;1adk,25,4;1e3x,60,3;14ek,38,3;195n,8,3;1pun,74,3;d6d,24,3;28ax,17,3;285t,21,2;1pqx,20,2;8ul,6,1
1vsp|v|To rub or wash over with soap. ; To flatter; to wheedle.	o:8ul,6,1~8ul,6,1	s:15fj,87,2~15fj,87,2
1vsp|a|A substance which dissolves in water, thus forming a lather, and is used as a cleansing agent. Soap is produced by combining fats or oils with alkalies or alkaline earths, usually by boiling, and consists of salts of sodium, potassium, etc., with the fatty acids (oleic, stearic, palmitic, etc.). See the Note below, and cf. Saponification. By extension, any compound of similar composition or properties, whether used as a cleaning agent or not.	j:285t,11,1~285t,11,1	e:1j9v,24,1~1j9v,24,1
1vsy|n|Resembling soap; having the qualities of, or feeling like, soap; soft and smooth. ; Smeared with soap; covered with soap.	N:285t,53,8~285t,53,8
1vsy|a|Resembling soap; having the qualities of, or feeling like, soap; soft and smooth. ; Smeared with soap; covered with soap.	j:1nvr,98,3;285t,63,16;1w0v,19,3~285t,63,16;1w0v,19,3;1nvr,98,3	e:1vcq,43,5~1vcq,43,5
1vsz|n|The act of soaring; upward flight.	n:165r,5,1~165r,5,1	N:2243,125,3~2243,125,3
1vsz|v|To fly aloft, as a bird; to mount upward on wings, or as on wings. ; Fig.: To rise in thought, spirits, or imagination; to be exalted in mood.	D:265j,12,2~265j,12,2
1vt0|v|of Soar	s:1o59,88,6~1o59,88,6
1vt1|n|of Soar ; a. & n. from Soar.	a:mpd,39,1;vdr,4,2~vdr,4,2;mpd,39,1	N:huw,19,1~huw,19,1
1vt1|v|of Soar	o:1bi8,93,2;17eu,85,3;dbk,84,4;1vu0,79,5;524,74,3;7ti,60,1;1jar,52,4;s81,47,8;e52,46,3;huw,29,2~s81,47,8;1vu0,79,5;1jar,52,4;dbk,84,4;17eu,85,3;524,74,3;e52,46,3;huw,29,2;1bi8,93,2;7ti,60,1	s:1qlh,76,2;2874,57,2~1qlh,76,2;2874,57,2
1vt4|n|The act of sobbing; a convulsive sigh, or inspiration of the breath, as in sorrow. ; Any sorrowful cry or sound.	N:18ni,82,3~18ni,82,3
