1wcp|n|A spring or mineral water; -- so called from a place of this name in Belgium.	a:un2,61	n:1rq7,124;uso,111	N:enw,87;1qsm,72;28e3,32
1wcr|n|Extension, considered independently of anything which it may contain; that...	a:12pg,107;3ad,86;k68,79;1xp8,76;zm9,73;vpu,67;1xhy,66;12jj,66;26ho,66;18jh,64	v:12qq,82;myb,75;cui,65;1nwn,64;93o,57;10m5,54;d41,53;391,52;ep9,50;23eh,50	V:28g,64;1nwn,52;awx,50;1tle,47;1pts,45;10m5,44;12qq,43;1dkh,41;1hts,37;50x,37	n:d40,80;11gg,58;93o,57;1e3p,57;1731,53;1f26,46;1be,45;15wz,43;1bvb,41;m5h,41	N:cys,70;za8,44;12qq,43;mml,35;27nw,33;1pmp,31;lmc,29;1htq,29;13l,23;i1z,22
1wcs|v|of Space	d:pss,108;28s7,92;1p3l,90;1m3c,73;p3e,62
1wcs|a|of Space	e:pss,108;28s7,92
1wcy|n|Extending far and wide; vast in extent.	a:16ob,47;1b10,11;6pp,8;1o5i,2	V:vzn,43;1u5l,39	n:24ia,2	N:154h,111;1kg0,94;6h0,86;1nab,83;276j,81;2qv,80;g9j,74;3rq,74;vyw,72;bc0,71
1wcy|a|Extending far and wide; vast in extent.	j:rw2,95;16l9,80;293c,68;d9z,59;bsg,58;17yh,58;9jo,56;k8e,53;29j2,50;mon,49	e:1awf,15;2753,15;15u7,11
1wd2|n|A hart or stag three years old.	a:294h,66;1vhw,25;16i4,0	v:k2i,78;1pmb,25	V:1yfl,53;26ei,28;6w0,27;15uk,17;28fg,11	n:ao7,76;u5b,38	N:27w3,60;296v,26
1wd2|a|A hart or stag three years old.	j:yto,91;296v,26
1wde|v|of Spade	o:swm,126
1wde|a|of Spade	j:swm,126
1wdp|n|A variety or macaroni made in tubes of small diameter.	N:nyt,83
1wdw|n|imp. of Speak.	a:1g98,77;mjp,37;729,26;28yj,19	n:1839,87;283q,36;17ip,29;22o4,15;1qsm,2	N:zkv,8
1wdw|v|imp. of Speak.	o:ym6,68;xue,66;1w4r,64;72f,62;28zr,47;1y6y,41;14gc,25;13rw,24;1uy6,22;14li,20	s:1839,87;4ib,67;rnf,67;13rj,66;1doq,66;242i,63;1b0i,60;72f,58;16uo,50;xm9,50	d:21tw,57;227a,43;1xth,37;21r7,36;1vvo,14;1cdu,2	D:1ez3,54;1e3u,38;2bs,34;1r42,34;8fq,26;227a,26;1vvo,21;14fx,20;242e,18;ujr,17
1wdw|a|imp. of Speak.	j:ym6,68;72f,62;28zr,47;13rw,24;1uy6,22;296i,10;18aj,5	e:21tw,57;227a,43;21r7,36;1vvo,14;1cdu,2
1we1|n|A scamp; an Irish term for a good-for-nothing fellow; -- often used in...	a:kdf,99;16i4,39	n:29k7,78
1we3|n|imp. & p. p. of Spin.	a:97b,74;1bv9,49;bhu,44;1udo,44;1uus,43;16r8,41;28s5,32;1bxz,28;16i4,14;16r0,13	V:1r4p,18;1u0i,5	n:psh,66;1xnd,47;96w,46;rb7,33;227r,15	N:227r,5
1wee|n|A bound or spring.	a:1qmx,67
1weg|n|of Spangle	n:1xh8,96;1uqv,45	N:68g,117
1weg|v|of Spangle	o:68g,117;ahu,87;1sds,87;s02,61	s:1v6i,54;1uqv,45	D:xkb,14
1weg|a|of Spangle	j:22b8,130;68g,117;rw2,102;ahu,87;1sds,87;1v56,79;s02,61;yja,61;1v6i,59;1uf5,38
1weh|n|One who, or that which, spangles.	n:fnp,143
1wek|n|A native or inhabitant of Spain.	a:k72,78;qzl,76;qwf,44;1mei,35;2424,29;1uus,28;7yj,27;29ow,26;1kbf,18;1dub,15	v:mfe,58	V:kv2,67;8tu,65;1bss,57;1q0l,51;1wyo,35;8nl,34;1q72,22;1pmb,22;dzs,20;20li,20	n:vi5,50;13ja,32;7yj,27;cid,23;1dub,15	N:tai,63;vi5,56;lvi,41
1wel|n|One of a breed of small dogs having long and thick hair and large drooping...	a:1i21,82;13n1,62;22ft,54;7yj,39;28oj,29;16i4,27;1kbf,24;ocd,22;1dub,20;1vhw,16	V:6w0,26;a7s,26;ubu,23;g3c,8	n:dc4,148;di3,143;22z2,94;1r8t,93;1x1k,92;ro1,62;285t,51;ocd,22;1dub,20	N:dbk,70;lqv,55;slt,53;ujc,42;qz3,40;1vu0,40
1wel|a|Cringing; fawning.	j:22nj,68;lqv,55;slt,53
1wem|n|The language of Spain.	a:9b4,53;se9,43;131i,29;1kh2,26;roi,19;qzb,19;wxe,19;1dub,15;1d5z,10;7yj,0	v:9b4,53;y52,41;1xur,34;1yhs,25;1whv,23;be5,21;1wyo,19;257k,11;15k9,6;257b,3	n:1yhv,36;1dub,15;1cmn,4;251z,2;7yj,0	N:4k5,98;1dw5,96;11x4,87;11dy,83;wcb,80;17b8,77;16d9,74;12ar,68;1ldb,67;w5v,67
1wem|v|Of or pertaining to Spain or the Spaniards.	s:1cmn,4
1wem|a|Of or pertaining to Spain or the Spaniards.	j:13q9,100;4k5,98;vlt,97;1dw5,96;11dy,83;tz4,82;wcb,80;2hj,79;1o0m,78;17b8,77
1wep|n|One who spanks, or anything used as an instrument for spanking.	V:1u5l,102	n:uc9,91	N:8l6,126
1weq|n|of Spank	a:vdr,26
1weq|a|Moving with a quick, lively pace, or capable of so doing; dashing.	j:20zm,97;948,90;1o59,87;1fon,82
1wes|v|of Span	s:1o7x,90;4bp,89;96w,83;1y9u,58;1qs3,55	d:xkb,32;1xx3,24	D:xkb,27
1weu|v|of Span	s:96w,109;1nwy,101
1wey|n|An old name for a nonmetallic mineral, usually cleavable and somewhat lustrous;...	a:a3w,124;1y5q,63;1vbk,58;17jj,50;9b9,50;20mi,46;x50,40;1op7,29;7yj,26;1ru6,15	v:1wxr,104;s9t,70	V:1uee,3	n:sfd,159;1vbk,58	N:9nw,111;26qk,98;i5c,91
1wf6|n|The act of sparing; moderation; restraint.	a:20mi,49;1vhw,6	v:zkv,41	V:1qyp,43	n:7c0,11;1jhb,6	N:1qjc,76;6tb,66;dag,57;ud5,55;28if,41;7qj,39;17s5,6
1wf6|v|To be frugal; not to be profuse; to live frugally; to be parsimonious.	o:tl5,41;22cu,33;qd7,28;1csj,21;alm,18;1ak3,17;1wkj,10;20gx,5	s:1ro7,42;1903,38;14fi,30;28uw,22;x4m,20;1d9n,13;va0,7	d:ffe,52;1kie,34;28ui,27;uvv,21;1rlq,19;mtw,15;7c0,11;ujr,11;14fx,10;7ey,5
1wf6|a|To use frugally or stintingly, as that which is scarce or valuable; to retain...	j:22qv,98;1qjc,76;6tb,66;jzh,61;1r98,59;b0m,58;dag,57;b1l,57;9ne,56;ud5,55	e:7c0,11;14fx,10;28e3,4;1o5i,3;wrv,0
1wf7|v|of Spare	o:1csj,32;1uy6,0	s:qd7,54;y1h,46;1903,44;wwv,34;16j7,33;r57,32;201o,31;zkv,26;va0,24;4li,14	d:1mzo,57;t0v,54;1rlq,44;wqk,43;mtw,29;24gg,28;zkv,26;14fx,26;21u3,26;pul,25	D:psk,17;n9h,8
1wfi|v|of Spare	o:jzh,81;1csj,52;26eh,46;wo1,41;293f,21;163a,8	d:1w24,28;psk,21;22p7,19;1cdu,12;1b10,9	D:psk,14
1wfi|a|Spare; saving; frugal; merciful.	j:jzh,81;26eh,46;wo1,41	e:1w24,28;2753,27;1awf,20;22p7,19;1b10,9
1wfj|n|A small particle of fire or ignited substance which is emitted by a body in...	a:11d6,85;nd5,81;27je,80;15c0,64;pjm,63;1y9l,63;lmk,58;22ft,58;169y,56;v40,53	v:1y9l,63;169y,56;1412,48;xu5,32;rp2,31;mp5,28	V:15k1,50;1yfl,42;1ucf,31;qxl,26;1lth,25;uup,20;1pbu,13;rbz,12;15n8,12;40e,11	n:116q,84;1ch,68;15c0,64;ao7,64;lmk,58;uc9,51;1412,48;rp2,31;btg,30;1op7,24	N:4ns,134;1jo3,103;dos,81;y66,77;164u,36;1d9n,18;lmk,18
1wfn|n|A little spark; a scintillation.	a:23hh,71;17oa,68;19vv,68;qvr,56;27lz,54;mr7,51;191w,50;148x,46;hq9,42;34o,42	V:vct,25;abe,7	n:s1e,50;191w,50;lzc,37
1wfn|v|To emit in the form or likeness of sparks.	D:pu3,46;8l,16
1wfo|v|of Sparkle	o:ruy,20	s:joi,74;1zdh,67;jsz,63;1atl,61;20zt,58;qqk,54;1vqz,53;164u,51;1zcj,47;fge,45	d:qw7,44;16r8,35;1xx3,17;1dzi,12;ptd,10	D:989,77;191s,71;97y,66;34m,57;8l,14;1l3,2
1wfs|n|of Sparkle	N:y39,90;shp,77;8tx,55
1wfs|v|of Sparkle	o:y39,90;1qsg,84;1qnz,81;shp,77;1u30,77;bt1,75;n0e,70;v9u,70;13rx,70;ues,69	s:joi,48;t3h,44;29oj,40;28wh,31;1szi,29;6mb,28;1y9u,27;14z9,24;1qs3,24;qqk,23	d:1w23,11	D:pu3,22;4m6,1
1wfs|a|Emitting sparks; glittering; flashing; brilliant; lively; as, sparkling wine;...	j:c6g,123;y39,90;1qsg,84;1qnz,81;bt1,75;n0e,70;v9u,70;13rx,70;uft,66;27lj,66	e:1b10,1
1wft|n|The European smelt (Osmerus eperlanus).	n:5i6,99
1wfy|v|of Spar	d:x4w,94
1wfz|v|of Spar	o:18c9,84;5ea,73
1wg0|n|One of many species of small singing birds of the family Fringilligae, having...	a:22ft,49;1kbf,29;29ow,26;28oj,25;16i4,21;e3m,20	V:1hiv,73;shd,44;qz3,24;adm,6	n:ca8,124;275s,121;13om,89;x6p,79;1zy0,79;1w3l,79;dho,75;1ibi,60;ro1,50;7pn,48	N:wz0,102;s80,56;dbk,47;15qy,39;wwv,32;dz1,23
1wg0|a|One of many species of small singing birds of the family Fringilligae, having...	j:wz0,102;qx8,43
1wg3|n|Resembling spar, or consisting of spar; abounding with spar; having a confused...	N:1yy3,101;vyy,70;1xja,68
1wg3|a|Resembling spar, or consisting of spar; abounding with spar; having a confused...	j:1yfo,110
1wg4|n|To scatter; to disperse.	V:15le,48	n:1kcp,57	N:wj2,45
1wg4|a|Thinly scattered; set or planted here and there; not being dense or close...	j:1sv8,90;1kcp,87;24bf,83;26tg,81;w08,81;von,70;164u,59;15le,48;wj2,45	e:e68,68;1w24,39;2753,18;22p7,14;1awf,11
1wg9|n|A native or inhabitant of Sparta; figuratively, a person of great courage and...	a:29ow,21;1dub,5	N:t0k,91;9dc,84;cc4,76;e43,72;29pf,67;ho2,65;djq,65;15o,65;233c,65;d8m,63
1wg9|a|Of or pertaining to Sparta, especially to ancient Sparta; hence, hardy;...	j:roj,106;1y1n,102;1i74,96;t0k,91;9dc,84;rwa,80;1zp8,72;1usu,70;29pf,67;djq,65
1wge|n|An involuntary and unnatural contraction of one or more muscles or muscular...	a:1z59,72;1u2r,67;27fa,58;1vcj,57;97b,56;201o,55;1nk7,47;1cdz,20;15bd,17;16i4,15	V:1uci,69;28fg,13	n:x2u,25
1wge|v|An involuntary and unnatural contraction of one or more muscles or muscular...	s:wdt,77
1wgg|n|A medicine for spasm.	a:rwe,3	N:1siy,30
1wgg|a|Of or pertaining to spasm; consisting in spasm; occuring in, or characterized...	j:54j,119;fb0,112;24i1,96;g3a,93;13qv,85;n5s,64;o9q,61;93o,57;1b56,56;5cw,52	e:1w24,32;2aq,21;15u7,14;16r0,2
1wgl|n|imp. of Spit.	a:1qce,70;s1e,56;1u2r,38	n:1qce,70;223d,65;9ky,64;1qmd,62;s1e,56;ruy,24;wo1,15;17s5,10	N:26xd,91;1wv4,78;22ji,61;ruy,43;87b,40
1wgl|v|To dispute.	o:26xd,91;22ji,61;ruy,43;87b,40	s:223d,65;1qmd,62;17s5,10	d:im4,54	D:f88,85;16wq,60;at1,43;szx,41;1l3,24
1wh8|n|Coverings for the legs, to protect them from water and mud; long gaiters.	n:165r,55
1wh9|v|of Spatter	o:8m3,82	s:87b,61
1wha|v|of Spatter	s:1nwx,74
1whd|n|An implement shaped like a knife, flat, thin, and somewhat flexible, used for...	a:294h,96
1whh|n|Affected with spavin.	N:yhg,81
1whh|a|Affected with spavin.	j:yhg,81
1whm|n|To produce or deposit (eggs), as fishes or frogs do.	n:1bia,109;rwn,63
1whm|v|To produce or deposit (eggs), as fishes or frogs do.	s:rwn,63
1whn|v|of Spawn	o:rwn,84
1whp|n|of Spawn	N:1lqj,76;1hp7,65
1whp|v|of Spawn	o:1t14,95;rwn,77;1lqj,76;1hp7,65;6r5,65;vyy,54
1whv|n|To utter words or articulate sounds, as human beings; to express thoughts by...	v:qvp,29;lyy,17	n:1lnr,44;lyy,17;1u0s,17;jyr,15;lzc,12;29k7,7	N:5gu,22
1whv|v|To utter words or articulate sounds, as human beings; to express thoughts by...	o:262u,49;48p,48;tw3,37;243x,34;ocd,32;1uyu,30;puo,26;tad,26;1wem,23;s6g,22	s:1lnr,44;ag9,33;bvp,29;qvp,29;15zc,27;242m,22;1ro7,21;ffb,20;lyy,17;1u0s,17	d:wrv,23;1edg,20;1sdj,20;1cdu,13;t9l,13;97d,11;xfx,10;xkd,10;1dsp,9;6bq,8	D:1vcp,80;4r5,79;l2j,74;1bl,70;do6,69;12a8,68;lro,61;sea,58;rb4,58;wup,55
1whv|a|To utter words or articulate sounds, as human beings; to express thoughts by...	j:243x,34;1hwd,6
1whx|n|One who speaks.	a:qjm,90;se9,83;njk,65;1s0h,59;1hyg,57;sox,54;1lht,54;1099,53;1vtq,50;1lm5,50	v:nck,61;chi,50;xu5,20;1ru6,0;6q9,0	V:1gxg,61;1q0l,50;22v3,46;16y4,43;26gt,40;y19,39;ehy,36;39s,34;109,33;1ow9,31	n:1yil,69;1je2,43;d3c,37;1xfu,33;21yy,25;1j9v,20;ocd,6	N:1otl,60;1h5y,41;1uy6,4
1whz|n|of Speak	a:qjm,65;10sm,44;1j9v,38;1mo0,28;1gjt,22	v:bdc,60;lvz,21;12vk,10	n:e68,56;10sm,44;284x,30;1mo0,28;puo,20;290h,13;fug,11	N:le3,30
1whz|v|of Speak	o:242i,55;w50,48;244v,48;1660,42;242f,41;24e8,36;4sj,35;242m,35;48p,33;le3,30	s:1h2z,72;qjp,58;y0n,56;3yg,32;srd,30;284x,30;1mo0,28;so7,28;27nr,25;con,22	d:ul6,94;yp3,90;18mf,87;2ym,79;9a3,77;1bxi,75;1yc2,74;1h2z,72;1r42,67;1m3c,63	D:l2j,68;1m3u,67;9a3,61;1vcp,58;sea,53;1lun,47;1w4x,46;eox,40;yp3,40;njl,40
1wi0|n|A long, pointed weapon, used in war and hunting, by thrusting or throwing; a...	a:6af,88;4uu,84;18vn,58;1au9,57;1rfj,57;1y5q,50;zf4,50;48l,49;884,46;1yjs,46	v:6af,88;15x4,78;8bx,73;1jwf,67;1jwa,60;v0j,59;ys7,57;s1l,54;222m,42;1jvz,38	V:1itw,67;1xvq,62;1vlk,59;1yh9,56;1jwa,56;225i,54;x0o,47;s76,36;2255,35;285g,35	n:4uu,84;8bx,73;ys7,57;1xnd,55;13ie,48;rx1,45;1vbk,40;1s93,38;rwn,25;136a,25	N:8yh,87;14ii,67;1vlk,59;1tzm,56;225i,54;1jvx,46;299j,46;1pi1,42;s76,36;2255,35
1wi0|v|To pierce with a spear; to kill with a spear; as, to spear a fish.	o:rwn,21
1wi1|v|of Spear	s:5kv,73	d:1c0o,50
1wi4|n|The pointed head, or end, of a spear.	n:9ck,119
1wi5|v|of Spear	o:1rr9,108;rwn,96
1wi5|a|of Spear	j:rwn,96
1wie|n|A particular.	a:1fju,14	v:437,11	V:1rbf,14	n:1p5l,39;x7z,22;1drt,10;1c4c,7	N:195r,65;1pix,63;iol,61;e2r,58;124a,58;1htm,56;511,55;1pqx,54;1tu9,53;f3b,52
1wie|a|Of or pertaining to a species; constituting a species or sort.	j:1jgv,86;5gg,73;g8d,72;47b,72;1lr6,72;ors,69;45r,68;ryp,68;6yg,67;1jgy,65	e:qmh,22
1wig|n|One who devotes himself to some specialty; as, a medical specialist, one who...	a:nto,73;18me,70;1czd,64;qzb,64;lfv,59;1jz0,46;un2,42;7c0,32;vrg,30	v:2339,67;1czd,64	V:14n9,48	n:1cam,92;2243,81;8y4,62;wj2,38;qqk,38;cxo,34	N:233c,61
1wig|a|One who devotes himself to some specialty; as, a medical specialist, one who...	j:233c,61
1wii|n|A particular or peculiar case; a particularity.	a:1fju,35	N:1win,137
1wij|n|The act of specializing, or the state of being spezialized.	a:12bk,124;117w,79;rd7,77;xvm,42	v:10ti,79	n:1twq,78;22xn,50
1wil|n|In a special manner; particularly; especially.	V:106a,42;hwj,39	N:20lf,0
1wim|n|of Specialty	a:1px9,107;1fju,32;1era,28	n:slp,72
1win|n|Particularity.	a:1fju,43;1w1v,22	n:1wii,137
1wio|n|abl. of L. species sort, kind. Used in the phrase in specie, that is, in sort,...	a:q26,79;ha1,55;1b5y,6;16i4,1	v:1zv2,112;1zv3,85;1gz1,41	V:106a,79	n:1ym4,129	N:1on7,157;1q0p,115;1gz8,99;ha0,97;6hh,93;1xfu,57;26m9,47
1wip|n|Visible or sensible presentation; appearance; a sensible percept received by...	a:o5g,86;4aw,86;1uhk,81;19o7,75;rbx,71;10ko,71;p4o,70;qlh,70;16i6,69;dmx,68	v:19o7,75;26n,68;q8w,53;26nt,42;jby,42;14fz,42;1p8b,38;sdk,37;1ad0,33;1kwg,32	V:19kf,67;11oq,58;11og,53;rpk,47;26qs,44;947,34;1lso,33;725,33;26n,32;f1d,30	n:afy,68;lfj,65;t1w,61;uk4,56;ugd,56;mob,51;yok,47;14fz,42;3ew,41;sdk,37	N:egi,68;ugd,54;1li2,29;1lq8,22;q7b,22;raw,18;9wc,6
1wir|n|A specific remedy. See Specific, a., 3.	a:11di,58;1wbx,28;vlo,16;1fju,8	v:uuq,23	N:vqp,132;1r2o,91;21dy,45;233c,40;zfo,37;1268,36;1bf,31;27h5,24;8ea,2
1wir|v|Of or pertaining to a species; characterizing or constituting a species;...	o:gj7,42
1wir|a|Of or pertaining to a species; characterizing or constituting a species;...	j:vqp,132;1r2o,91;15nc,82;un0,79;oqk,76;164r,76;1xy1,75;rfq,74;45t,74;ra,71	e:1awf,13;16y3,13;15u7,5
1wiw|n|The act of specifying or determining by a mark or limit; notation of limits.	a:19s2,72;1t2s,50;tsa,50;rwe,32;1era,22	V:f6v,77;22wi,76	n:19s2,72;290l,28
1wix|n|of Specify	n:17xj,21
1wix|v|of Specify	o:xkp,70;ljq,61;g7h,61;1nej,53;htf,50;lhd,49;21dy,46;1hp7,44;1zb9,42;1d57,42	s:xkq,97;26hn,88;xkp,74;1zb9,48;2oo,47;go9,44;1uti,37;1hp7,35;22cu,31;1mzj,28	d:xkr,93;21u5,71;1d2h,53;1gns,46;xkd,46;8l,45;1erj,45;lfo,44;1lhu,40;sxr,37	D:21u5,53;8l,31
1wix|a|of Specify	j:htf,50;lhd,49;21dy,46;1hp7,44;1zb9,42;1d57,42;27q1,40;1kg6,36;22cu,34;ykj,32
1wiy|v|To mention or name, as a particular thing; to designate in words so as to...	d:1gns,54;2cj,26;psk,21	D:xkb,20;28j8,7;1awf,5
1wiz|v|of Specify	D:m5,88
1wj0|n|A part, or small portion, of anything, or one of a number of things, intended...	a:24k1,68;25jl,67;1zet,62;15l,62;rt0,60;17h7,59;1wwr,58;gjz,57;1czj,55;1hkp,53	v:1yhv,64;6ko,50;ma4,38;sku,31;16jb,30;q8w,26;ru3,25;1pbv,22;1ir1,19;14na,6	V:rpk,52;1lso,51;aoq,41;1lcu,35;1tk2,8;9do,7;uun,6;20lf,0	n:rta,58;r7n,51;188i,48;5ki,47;cdy,37;1nhz,35;1bi8,35;13d1,27;24jh,23;zns,16	N:w6h,73;fn5,72;flv,55;8uq,38;8ul,21;s34,19;b06,4
1wj3|a|Presenting a pleasing appearance; pleasing in form or look; showy.	j:1lge,108;qxb,100;1lf6,93;1jgo,83;w5l,79;1897,77;1oc8,73;1dcj,67;40d,62;4i5,61	e:ym8,34;15u7,18;1awf,16;2753,10
1wj4|n|The blubber of whales or other marine mammals; also, the fat of the...	a:1j0l,96;22ft,76;1323,66;1905,64;7yj,60;1218,60;vbi,52;28oj,47;hrg,47;1uus,45	v:1b59,64;1u9k,40;16jb,27	V:1qcn,70;s9t,56;e6b,51;1b59,50;1uf7,30;40e,26;m9q,26	n:1j0l,96;1a7o,66;19s2,43;16jb,27	N:1d9n,16
1wj4|v|To cause the presence of specks upon or in, especially specks regarded as...	s:1j0l,96
1wj8|n|of Speckle	N:8k5,30
1wj8|v|of Speckle	o:x7y,110;240p,105;xft,89;1vmw,80;26nw,67;92y,57;1rvm,55;40d,42;rwn,40;1y2z,37	s:28oj,25;1op7,23;7yj,20	d:1lvq,99;21x7,92;rt8,78;19s3,77;1vcq,45;1awf,1	D:c73,50
1wj8|a|of Speckle	j:x7y,110;240p,105;1jgg,91;xft,89;1vmw,80;1joa,79;27x5,76;26nw,67;92y,57;1rvm,55	e:1awf,1
1wje|n|Something exhibited to view; usually, something presented to view as...	a:145l,86;w0v,81;1j6h,79;vwn,77;kvt,73;wul,72;21g9,71;vp6,70;q7n,69;3zh,69	v:1rkz,92;n1n,81;106x,75;kvt,73;1qbx,73;vp6,70;3zh,69;1azn,68;1ujv,61;123w,57	V:1lc6,61;1i8,52;5rp,51;vt5,51;a5b,42;15bg,38;1drm,33;196d,19;1x30,12;6w0,2	n:1rkz,92;106x,75;1rl0,75;vp6,70;1azn,68;vf6,66;223r,58;188i,55;lh0,50;2sh,45	N:b06,22
1wjf|n|Furnished with spectacles; wearing spectacles.	N:1al8,88
1wjf|v|Furnished with spectacles; wearing spectacles.	o:17s5,32
1wjf|a|Furnished with spectacles; wearing spectacles.	j:1al8,88;ujf,62;htz,57;rpj,50;1hwv,47;qsy,41;uty,39;17s5,32
1wjg|n|Of or pertaining to a shows; of the nature of a show.	N:1rb3,63;1jfz,44
1wjg|a|Of or pertaining to a shows; of the nature of a show.	j:17w7,82;l4n,80;1hlu,77;m5s,70;n3i,61;aci,60;1z2q,51;1tva,49;5bv,48;1xc9,48	e:1mxq,64;15u7,35;1awf,11
1wjj|n|One who on; one who sees or beholds; a beholder; one who is personally present...	a:25j3,105;zy2,85;24yo,83;ky1,78;1gqo,74;10dk,70;25ox,69;1116,68;12fy,64;zhq,62	v:15y,63;1t65,14	V:6ye,66;285n,31;40e,25;19k1,15;16ss,11;18h6,10;1bjq,6;g3c,6;299g,5;22p8,2	n:18ob,87;dwy,84;rd7,64;1vt7,42;16qr,42;gqt,40;q1l,31;1nl9,29;99g,27;25ks,27	N:4,82;1tm7,65;pg5,60;13m9,60;fno,56;1cem,53;dbk,42;13my,40;27q1,37;46m,35
1wjk|a|Of or pertaining to a spectator.	j:27bd,120;k3d,94;5l1,88
1wjo|n|Alt. of Spectre	a:up9,93
1wjq|n|of Spectrum	a:1xp8,158	V:28ua,20	n:bw,121
1wjr|n|Of or pertaining to a specter; ghosty.	N:uyd,71;pue,61
1wjr|a|Of or pertaining to a specter; ghosty.	j:znh,88;yhu,76;1v2a,75;uww,73;uyd,71;2w8,66;v1y,63;pue,61;1lqk,61;1iaf,58	e:2aq,30
1wjt|n|Something preternaturally visible; an apparition; a ghost; a phantom.	a:1u5m,112;vwn,95;1b26,81;1fxl,76;ubj,71;yh4,64;up9,63;xub,63;vv7,62;b2g,59	v:qz3,26	V:40e,32;1r0m,26;1y3s,21;abe,1	n:wxv,94;b2g,59;m7w,55;1op7,38;7yj,27	N:96n,78;9ty,77;96j,60;1u9v,39
1wjt|v|Something preternaturally visible; an apparition; a ghost; a phantom.	s:b2g,59
1wjw|n|A spectroscope fitted for measurements of the luminious spectra observed with...	n:ntv,175
1wjz|a|Alt. of Spectroscopical	j:ji4,116
1wk3|n|An apparition; a specter.	a:1vwu,123;1lnb,121;fa9,83;27ig,63;on3,47	V:18h6,7;28ua,5	N:2w8,109
1wk5|n|Having the qualities of a speculum, or mirror; having a smooth, reflecting...	N:1bya,71;8ea,67
1wk5|a|Having the qualities of a speculum, or mirror; having a smooth, reflecting...	j:136a,90;8ea,67
1wk6|v|To consider by turning a subject in the mind, and viewing it in its different...	d:1cdu,17;psk,14	D:2cj,15;psk,10;16r0,9;28j8,4
1wk7|v|of Speculate	s:1hgk,16;18vi,9	d:1dsp,41;1w23,31;1cdu,27;psk,20	D:26jv,73;1594,57;x4w,56;1b5y,17
1wk8|n|of Speculate	n:1icq,71;22cu,11	N:17vp,98
1wk8|v|of Speculate	o:17vp,98	s:26eh,32;22cu,11	d:2cf,32
1wk9|n|The act of speculating.	a:199k,85;1icr,80;18yo,80;ul5,78;1ics,77;ck,66;x01,63;27im,63;18e5,62;zhq,61	v:u28,61;hrf,56;6ek,40	V:1yif,48;efx,37;1p0r,36;1meu,24;sks,15;1o0f,14;24cu,10;6w0,7;6q9,5	n:757,69;u28,61;19qf,54;231u,48;153j,38;t0u,34;g2c,33;1y0t,32;9sl,18;1ak3,5
1wkb|n|Given to speculation; contemplative.	N:189f,74
1wkb|v|Given to speculation; contemplative.	o:243x,34
1wkb|a|Given to speculation; contemplative.	j:189h,104;9jn,90;17vp,82;58k,80;21s9,75;189f,74;199n,74;1id2,73;21y7,66;1sk6,64	e:1mxq,74;19ku,61;1906,50;1lvl,50;xvw,37;28qq,28;1w24,14;on4,14;15u7,8
