1xb1|n|The thrust of a pointed weapon.	a:1az2,61;1z59,53;1u2r,52;r4y,50;201o,48;1nk7,44;tbc,36;ibb,30;1t2s,29;rwe,13	V:hwk,74;28fg,9	n:14le,58
1xb1|v|To pierce with a pointed weapon; to wound or kill by the thrust of a pointed...	d:rwe,13
1xb2|n|of Stab	n:r5b,25;wo1,12
1xb2|v|of Stab	s:hli,84;r8l,39;r5b,25;296i,23;221d,20;wo1,12;17s5,12;18vi,1	d:1az7,89;r54,88;124n,46;zt7,25;21r7,11;rwe,4	D:1l3,3
1xb4|n|of Stab	a:16i4,8	v:a7s,34	N:1ih,121;s2x,87
1xb4|v|of Stab	o:1ih,121;s2x,87;1fse,57	d:21r7,8
1xb8|n|The state or quality of being stable, or firm; steadiness; firmness; strength...	a:bn5,30	n:14g9,104;290l,4
1xb8|a|The state or quality of being stable, or firm; steadiness; firmness; strength...	j:jma,89
1xb9|n|Firmly established; not easily moved, shaken, or overthrown; fixed; as, a...	a:nxi,34;dze,28;1r6u,17;1lnv,15;282h,13;1593,5;7md,3;1vhw,1;1cdz,1	V:9jp,22	n:16j4,112;gb1,69;1nsw,66;1r6u,17;1cdz,1;1dub,0	N:29j2,72;2l9,10
1xb9|v|Firmly established; not easily moved, shaken, or overthrown; fixed; as, a...	o:p4j,91;ha0,61;6hh,58;lwu,55;t30,53;vi3,46;14wz,43;mbf,43;lx9,42;n4u,39	s:gb1,69	d:1p8k,52;e68,28;1z60,25;3zw,20;1hl5,18	D:124y,13
1xb9|a|Firmly established; not easily moved, shaken, or overthrown; fixed; as, a...	j:180c,84;16o8,77;29j2,72;156d,68;16hz,65;d8r,48;sms,45;1qyb,41;725,40;8uz,37	e:g9h,60;1awf,15;15kq,14;15u7,11;1oab,3
1xbb|v|of Stable	d:dzg,92	D:21tt,23
1xbf|n|of Stable	a:vdr,35	n:vdr,35
1xbk|n|Disconnected; separated; distinct; -- a direction to perform the notes of a...	a:1u2r,75;1nk7,65;1udo,45;28to,39;d3y,37;xvm,27;16i4,9	n:d3y,37	N:1o6o,89;r45,54;27nr,39
1xbk|a|Disconnected; separated; distinct; -- a direction to perform the notes of a...	j:pls,154;jj,94;go8,63;1bic,49
1xbl|n|To lay in a conical or other pile; to make into a large pile; as, to stack hay,...	a:20mi,48;7md,34;28qm,30;1593,27;xvm,24;vrg,13;1dub,7;16i4,6	v:1rn5,4	n:20h,119;c94,87;1y9f,85;1vkq,73;wzc,73	N:4lg,57;mr3,49;ruy,33
1xbl|v|To lay in a conical or other pile; to make into a large pile; as, to stack hay,...	o:4lg,57	s:c94,87;1vkq,73
1xbn|v|of Stack	o:4lg,65	s:2945,49;4lg,46	d:1c0w,74;1xx3,16	D:xvm,40;1r4p,32
1xbp|n|of Stack	N:203t,151;20h,139
1xbp|v|of Stack	o:203t,151;20h,139
1xbv|n|of Stadium	a:k06,46	n:24ia,22
1xby|n|Formerly, the chief magistrate of the United Provinces of Holland; also, the...	a:29ow,28	v:1lr0,88;nck,83;437,67	V:299g,10	n:1uy6,47
1xc2|n|A long piece of wood; a stick; the long handle of an instrument or weapon; a...	a:1pmr,111;ln3,87;n1x,84;1cro,83;1d9s,78;4uu,68;1grj,68;1bzc,68;d5k,66;1nvz,64	v:cn8,75;wei,75;1j61,59;14mu,53;urx,48;v0j,41;6ks,35;297a,23;1tlb,22;27y8,22	V:1zry,52;vzc,45;1pmo,33;1qux,29;1e84,29;70i,24;285n,20;2973,17;1yfl,16;uao,16	n:n1x,84;wei,75;x18,72;4uu,68;muz,62;1j61,59;15nt,59;obz,57;ojj,57;1iwn,56	N:1drv,67;x18,65;43c,58;ftv,57;16vr,56;1eet,54;fvc,52;180v,42;1zr9,38;4rn,35
1xc7|n|of Staff	a:1px9,92;294h,63;26qc,56;ugg,46;16r0,19	v:20za,73	V:299g,9	n:20za,73;s02,71;24ia,17
1xc8|n|The adult male of the red deer (Cervus elaphus), a large European species...	a:3pz,120;ys4,87;20nw,71;1xjk,62;299l,58;1cmn,50;20mi,49;7md,42;1r6u,35;28to,35	v:ys4,87;299l,58	V:8s1,67;1rdb,31;9b8,31;1bjq,6;abe,5;17di,3	n:ys4,87;20nw,71;1cmn,50;1ujs,46;vbi,36;1r6u,35	N:ys2,72;ys7,59;yjw,49;1695,36
1xc8|v|To act as a "stag", or irregular dealer in stocks.	s:1ujs,46
1xc9|n|A floor or story of a house.	a:b53,87;1mwh,83;238m,81;1e46,74;nrn,72;1c7y,69;10zp,67;12jj,65;173,65;sxk,64	v:10bf,45;hri,33;1z2o,22;fve,22;shd,20;222m,19;164c,16;jlp,15;mbh,14	V:p7g,42;fci,35;1tva,35;1zu8,33;q1u,30;8tu,26;qtk,20;1kwg,13;1y4c,13;1o94,8	n:cl0,86;1mwh,83;89r,83;26s3,76;705,69;238l,64;nhr,62;1kk7,58;1f8r,58;1774,57	N:17sh,76;nd9,70;dd9,68;ddi,66;tde,64;13ym,60;mbf,57;kcj,54;1m3f,53;znh,51
1xc9|v|To exhibit upon a stage, or as upon a stage; to display publicly.	o:281g,44;23m4,22
1xch|n|A player.	a:1dub,66;ugg,60
1xck|n|To move to one side and the other, as if about to fall, in standing or walking;...	V:1r4p,21	n:17s5,1
1xck|v|To cause to reel or totter.	d:psk,9	D:5zo,70;5zk,60;t15,40;5y1,22;5s7,8
1xck|a|To move to one side and the other, as if about to fall, in standing or walking;...	e:psk,9
