1ym4|n|A subordinate; a subaltern.	a:rl5,27,3;k06,16,4~k06,16,4;rl5,27,3	n:q8x,103,11;1ym4,102,15;vr8,48,3~1ym4,102,15;q8x,103,11;vr8,48,3	N:1ym4,102,15;ltw,60,4~1ym4,102,15;ltw,60,4
1ym4|a|A subordinate; a subaltern.	j:1g93,106,4;bvw,67,6;ro1,37,8;1njd,7,3~ro1,37,8;bvw,67,6;1g93,106,4;1njd,7,3
1yo1|a|Occurring without the possibility or the fact of an attendant consciousness; -- said of states of the soul. ; Partially conscious; feebly conscious.	j:7hr,106,6;7hp,84,7;19ou,68,4;15wz,52,5~7hp,84,7;7hr,106,6;15wz,52,5;19ou,68,4
1yrc|n|The principal theme, or leading thought or phrase, on which a composition or a movement is based. ; The incident, scene, figure, group, etc., which it is the aim of the artist to represent.	a:imh,32,2;mfu,21,2;fdy,21,2;e9h,10,4;1tjb,6,1;210p,6,6~210p,6,6;e9h,10,4;fdy,21,2;mfu,21,2;imh,32,2;1tjb,6,1	V:kpy,12,2~kpy,12,2	n:20he,49,2;peq,36,1;1xps,1,1;vr8,0,2~20he,49,2;vr8,0,2;peq,36,1;1xps,1,1
1yrc|a|Placed or situated under; lying below, or in a lower situation. ; Placed under the power of another; specifically (International Law), owing allegiance to a particular sovereign or state; as, Jamaica is subject to Great Britain. ; Exposed; liable; prone; disposed; as, a country subject to extreme heat; men subject to temptation. ; Obedient; submissive. ; That which is placed under the authority, dominion, control, or influence of something else. ; Specifically: One who is under the authority of a ruler and is governed by his laws; one who owes allegiance to a sovereign or a sovereign state; as, a subject of Queen Victoria; a British subject; a subject of the United States. ; That which is subjected, or submitted to, any physical operation or process; specifically (Anat.), a dead body used for the purpose of dissection. ; That which is brought under thought or examination; that which is taken up for discussion, or concerning which anything is said or done. ; The person who is treated of; the hero of a piece; the chief character. ; That of which anything is affirmed or predicated; the theme of a proposition or discourse; that which is spoken of; as, the nominative case is the subject of the verb. ; That in which any quality, attribute, or relation, whether spiritual or material, inheres, or to which any of these appertain; substance; substratum. ; Hence, that substance or being which is conscious of its own operations; the mind; the thinking agent or principal; the ego. Cf. Object, n., 2.	j:1wif,78,3;vtv,52,3;d1t,48,8;18eq,39,63;vr8,34,20;b6s,31,7;1kb6,29,3;21im,26,10;21hb,26,29;2e6,23,2~18eq,39,63;21hb,26,29;4fp,22,26;vr8,34,20;4ft,22,13;1695,11,12;21im,26,10;d1t,48,8;b6s,31,7;14n9,2,7
1yrh|a|Of or pertaining to a subject. ; Especially, pertaining to, or derived from, one's own consciousness, in distinction from external observation; ralating to the mind, or intellectual world, in distinction from the outward or material excessively occupied with, or brooding over, one's own internal states. ; Modified by, or making prominent, the individuality of a writer or an artist; as, a subjective drama or painting; a subjective writer.	j:1hio,66,5;nfe,53,6;1lox,50,4;12n7,48,4;504,47,6;gqn,45,9;prd,43,6;1092,40,4;1bya,37,4;7hp,37,4~qdb,23,15;gqn,45,9;21dy,30,8;nfe,53,6;prd,43,6;504,47,6;1hio,66,5;1xjl,25,5;18eq,21,4;7hp,37,4	e:11pi,75,18;xvw,52,42;1mxq,43,4;22vi,37,7;on4,34,9;qod,32,9;e9a,28,11;1kn7,26,4;1w24,20,4;qw7,17,3~xvw,52,42;22p7,17,23;11pi,75,18;e9a,28,11;qod,32,9;on4,34,9;22vi,37,7;15u7,6,6;1dsp,3,4;1w24,20,4
1yrk|n|The quality or state of being subjective; character of the subject.	a:1b5y,28,2;1w1v,26,4~1w1v,26,4;1b5y,28,2
1ysi|n|The act or process of subliming, or the state or result of being sublimed. ; The act of heightening or improving; exaltation; elevation; purification. ; That which is sublimed; the product of a purifying process.	a:moy,156,2~moy,156,2	n:moy,146,1~moy,146,1
1ysk|a|Lifted up; high in place; exalted aloft; uplifted; lofty. ; Distinguished by lofty or noble traits; eminent; -- said of persons. ; Awakening or expressing the emotion of awe, adoration, veneration, heroic resolve, etc.; dignified; grand; solemn; stately; -- said of an impressive object in nature, of an action, of a discourse, of a work of art, of a spectacle, etc.; as, sublime scenery; a sublime deed. ; Elevated by joy; elate. ; Lofty of mien; haughty; proud.	j:21my,89,4~21my,89,4
1ytq|n|The act of submitting; the act of yielding to power or authority; surrender of the person and power to the control or government of another; obedience; compliance. ; The state of being submissive; acknowledgement of inferiority or dependence; humble or suppliant behavior; meekness; resignation. ; Acknowledgement of a fault; confession of error. ; An agreement by which parties engage to submit any matter of controversy between them to the decision of arbitrators.	a:1utg,80,31;ek2,67,4;mk1,62,3;mgb,57,23;85k,54,3;180j,43,48;1gca,40,6;rsa,36,54;1o8x,36,4;3ca,34,10~13x9,31,113;rsa,36,54;180j,43,48;1utg,80,31;mgb,57,23;1lht,23,21;11r2,28,15;lzo,32,13;ha1,7,12;3ca,34,10	v:il1,36,2;qjw,32,3;il3,31,1;il0,26,4;1qar,20,3;1pk7,15,1;vn4,15,9;1tlb,11,5;1m5j,10,2;sku,8,6~vn4,15,9;sku,8,6;1tlb,11,5;il0,26,4;1p0r,5,4;28l,6,4;1pml,1,3;h1,2,3;qjw,32,3;1qar,20,3	V:17sg,20,7;26qs,9,4;1pr7,5,4~17sg,20,7;1pr7,5,4;26qs,9,4	n:267c,35,38;il3,31,1;enw,30,48;21we,27,45;mmx,22,36;1gsz,21,3;511,19,5;1kj5,14,3;1m5h,14,5;m4k,8,2~enw,30,48;21we,27,45;267c,35,38;mmx,22,36;6vj,4,27;7fd,5,21;42p,6,8;4qw,3,7;261u,0,6;1m5h,14,5	N:1h9f,51,5;20f9,47,169;1ofc,47,2;1czw,45,4;1kez,44,3;1lqj,41,138;epi,38,3;1xl0,38,24;1tsz,32,4;htf,31,19~20f9,47,169;1lqj,41,138;1xl0,38,24;htf,31,19;1uzo,25,18;1d57,3,7;273t,1,6;1frk,2,6;1h9f,51,5;1pr8,19,5
1ytq|a|The act of submitting; the act of yielding to power or authority; surrender of the person and power to the control or government of another; obedience; compliance. ; The state of being submissive; acknowledgement of inferiority or dependence; humble or suppliant behavior; meekness; resignation. ; Acknowledgement of a fault; confession of error. ; An agreement by which parties engage to submit any matter of controversy between them to the decision of arbitrators.	j:1kez,28,1;1xc9,7,2;15qy,6,2;y10,3,2~y10,3,2;15qy,6,2;1xc9,7,2;1kez,28,1
1ytu|v|To let down; to lower. ; To put or place under. ; To yield, resign, or surrender to power, will, or authority; -- often with the reflexive pronoun. ; To leave or commit to the discretion or judgment of another or others; to refer; as, to submit a controversy to arbitrators; to submit a question to the court; -- often followed by a dependent proposition as the object. ; To yield one's person to the power of another; to give up resistance; to surrender. ; To yield one's opinion to the opinion of authority of another; to be subject; to acquiesce. ; To be submissive or resigned; to yield without murmuring.	o:pa5,53,4;flv,23,3;24ia,16,28;15cj,13,3;pu1,12,8;1lwo,8,2;djq,7,6~24ia,16,28;pu1,12,8;djq,7,6;pa5,53,4;15cj,13,3;flv,23,3;1lwo,8,2	s:enw,3,5;16f1,2,3~enw,3,5;16f1,2,3	d:i4,36,4;sxh,30,5;17zl,24,4;rse,15,3;zt7,13,4;if0,12,7;pt8,12,3;1cdu,11,19;1kie,10,6;2fi,9,14~1cdu,11,19;x5,9,18;2fi,9,14;1ut3,8,9;if0,12,7;kch,8,6;1kie,10,6;ptd,6,5;bn6,2,5;15c2,6,5	D:njp,59,73;3cb,46,3;1w26,36,25;3qz,18,7;3r1,16,3;1w4g,16,3;ms7,15,5;1dzi,3,4~njp,59,73;1w26,36,25;3qz,18,7;ms7,15,5;1dzi,3,4;1w4g,16,3;3cb,46,3;3r1,16,3
1ytu|a|To let down; to lower. ; To put or place under. ; To yield, resign, or surrender to power, will, or authority; -- often with the reflexive pronoun. ; To leave or commit to the discretion or judgment of another or others; to refer; as, to submit a controversy to arbitrators; to submit a question to the court; -- often followed by a dependent proposition as the object. ; To yield one's person to the power of another; to give up resistance; to surrender. ; To yield one's opinion to the opinion of authority of another; to be subject; to acquiesce. ; To be submissive or resigned; to yield without murmuring.	j:9ud,23,2;pue,8,3~pue,8,3;9ud,23,2	e:1l3,1,5;18h8,0,5~18h8,0,5;1l3,1,5
1ytv|v|of Submit	o:511,2,1;pu1,2,4~pu1,2,4;511,2,1	s:pg5,46,5;lb4,17,3;273t,9,7;4qw,7,6;lpn,5,2;1qae,5,3;21my,4,4;1zkx,4,5;296i,4,3~273t,9,7;4qw,7,6;pg5,46,5;1zkx,4,5;21my,4,4;1qae,5,3;lb4,17,3;296i,4,3;lpn,5,2	d:1cee,47,5;1egp,36,6;1lhu,34,11;i4,32,3;11r5,30,4;1ds1,26,3;rse,25,6;pt8,19,5;1ofx,18,8;ha2,11,5~2cf,4,11;1lhu,34,11;1cdu,1,9;1ofx,18,8;1egp,36,6;rse,25,6;1cee,47,5;ha2,11,5;ptd,6,5;pt8,19,5	D:3cb,45,3;11r5,30,4;3r1,20,4;njp,20,5;1w4g,16,3;1w26,16,6;kch,8,6;1dzi,6,5~kch,8,6;1w26,16,6;1dzi,6,5;njp,20,5;3r1,20,4;11r5,30,4;1w4g,16,3;3cb,45,3
1ytv|a|of Submit	j:lpn,19,5;511,12,2;1ojo,12,5;htf,10,3;21wc,9,1;1qau,9,2;4qw,9,7;273t,9,7;42p,2,4;djq,1,4~4qw,9,7;273t,9,7;1ojo,12,5;lpn,19,5;djq,1,4;42p,2,4;htf,10,3;511,12,2;1qau,9,2;21wc,9,1	e:1ds1,20,2;i4,16,1;11r5,10,1~1ds1,20,2;i4,16,1;11r5,10,1
1ytx|n|of Submit	v:1y44,13,3;1491,3,3~1y44,13,3;1491,3,3
1ytx|v|of Submit	o:pa5,37,1;1q0a,10,4;42p,10,5;18cp,10,7~18cp,10,7;42p,10,5;1q0a,10,4;pa5,37,1	s:1y44,13,3~1y44,13,3	d:1906,27,3;sxh,22,2;ha2,16,5~ha2,16,5;1906,27,3;sxh,22,2	D:njp,25,5;ms7,13,3;15bt,0,1~njp,25,5;ms7,13,3;15bt,0,1
