21rq|n|	N:1yhx,133,8~1yhx,133,8
21tc|n|A blow; a stroke. ; An exchange; a barter. ; Hastily.	a:1eah,6,2;sem,2,2~sem,2,2;1eah,6,2	v:ze7,23,2~ze7,23,2	n:ze7,23,2;sem,18,6;1eah,12,3~sem,18,6;1eah,12,3;ze7,23,2	N:mv1,38,2;1ke2,29,1;sep,28,1;sem,2,2~mv1,38,2;sem,2,2;sep,28,1;1ke2,29,1
21tc|v|To strike; -- with off. ; To exchange (usually two things of the same kind); to swop. ; To fall or descend; to rush hastily or violently. ; To beat the air, or ply the wings, with a sweeping motion or noise; to flap.	o:1zkd,54,4;1ke2,52,5;sep,44,3;a5t,41,1;2bji,18,4~1ke2,52,5;2bji,18,4;1zkd,54,4;sep,44,3;a5t,41,1	d:1wj3,36,4;23nm,17,7;151o,14,7~151o,14,7;23nm,17,7;1wj3,36,4	D:630,18,2~630,18,2
21te|v|of Swap	o:a5t,64,3;1zkc,46,6~1zkc,46,6;a5t,64,3	d:151o,28,11;23nm,26,8;2ex,22,7~151o,28,11;23nm,26,8;2ex,22,7	D:4pq,26,2;630,25,2~630,25,2;4pq,26,2
21te|a|of Swap	j:a5t,59,2;1zkc,20,1~a5t,59,2;1zkc,20,1
21tf|v|of Swap	o:1eai,67,6;sep,61,6~sep,61,6;1eai,67,6	s:715,9,1~715,9,1	d:151o,17,5~151o,17,5
21up|v|To affirm or utter a solemn declaration, with an appeal to God for the truth of what is affirmed; to make a promise, threat, or resolve on oath; also, to affirm solemnly by some sacred object, or one regarded as sacred, as the Bible, the Koran, etc. ; To give evidence on oath; as, to swear to the truth of a statement; he swore against the prisoner. ; To make an appeal to God in an irreverant manner; to use the name of God or sacred things profanely; to call upon God in imprecation; to curse. ; To utter or affirm with a solemn appeal to God for the truth of the declaration; to make (a promise, threat, or resolve) under oath. ; To put to an oath; to cause to take an oath; to administer an oath to; -- ofetn followed by in or into; as, to swear witnesses; to swear a jury; to swear in an officer; he was sworn into office. ; To declare or charge upon oath; as, he swore treason against his friend. ; To appeal to by an oath.	s:1irv,45,3~1irv,45,3
21up|a|To affirm or utter a solemn declaration, with an appeal to God for the truth of what is affirmed; to make a promise, threat, or resolve on oath; also, to affirm solemnly by some sacred object, or one regarded as sacred, as the Bible, the Koran, etc. ; To give evidence on oath; as, to swear to the truth of a statement; he swore against the prisoner. ; To make an appeal to God in an irreverant manner; to use the name of God or sacred things profanely; to call upon God in imprecation; to curse. ; To utter or affirm with a solemn appeal to God for the truth of the declaration; to make (a promise, threat, or resolve) under oath. ; To put to an oath; to cause to take an oath; to administer an oath to; -- ofetn followed by in or into; as, to swear witnesses; to swear a jury; to swear in an officer; he was sworn into office. ; To declare or charge upon oath; as, he swore treason against his friend. ; To appeal to by an oath.	j:2bb7,86,6~2bb7,86,6
21ve|a|Having an agreeable taste or flavor such as that of sugar; saccharine; -- opposed to sour and bitter; as, a sweet beverage; sweet fruits; sweet oranges. ; Pleasing to the smell; fragrant; redolent; balmy; as, a sweet rose; sweet odor; sweet incense. ; Pleasing to the ear; soft; melodious; harmonious; as, the sweet notes of a flute or an organ; sweet music; a sweet voice; a sweet singer. ; Pleasing to the eye; beautiful; mild and attractive; fair; as, a sweet face; a sweet color or complexion. ; Fresh; not salt or brackish; as, sweet water. ; Not changed from a sound or wholesome state. Specifically: (a) Not sour; as, sweet milk or bread. (b) Not state; not putrescent or putrid; not rancid; as, sweet butter; sweet meat or fish. ; Plaesing to the mind; mild; gentle; calm; amiable; winning; presuasive; as, sweet manners.	j:1yu2,107,26;1x9x,89,2~1yu2,107,26;1x9x,89,2
21vz|n|The act of swelling. ; Gradual increase. ; Increase or augmentation in bulk; protuberance. ; Increase in height; elevation; rise. ; Increase of force, intensity, or volume of sound. ; Increase of power in style, or of rhetorical force. ; A gradual ascent, or rounded elevation, of land; as, an extensive plain abounding with little swells. ; A wave, or billow; especially, a succession of large waves; the roll of the sea after a storm; as, a heavy swell sets into the harbor. ; A gradual increase and decrease of the volume of sound; the crescendo and diminuendo combined; -- generally indicated by the sign. ; A showy, dashing person; a dandy.	v:kgr,77,1~kgr,77,1	n:kgr,111,10~kgr,111,10
21vz|v|To grow larger; to dilate or extend the exterior surface or dimensions, by matter added within, or by expansion of the inclosed substance; as, the legs swell in dropsy; a bruised part swells; a bladder swells by inflation. ; To increase in size or extent by any addition; to increase in volume or force; as, a river swells, and overflows its banks; sounds swell or diminish. ; To rise or be driven into waves or billows; to heave; as, in tempest, the ocean swells into waves. ; To be puffed up or bloated; as, to swell with pride. ; To be inflated; to belly; as, the sails swell. ; To be turgid, bombastic, or extravagant; as, swelling words; a swelling style. ; To protuberate; to bulge out; as, a cask swells in the middle. ; To be elated; to rise arrogantly. ; To grow upon the view; to become larger; to expand. ; To become larger in amount; as, many little debts added, swell to a great amount. ; To act in a pompous, ostentatious, or arrogant manner; to strut; to look big. ; To increase the size, bulk, or dimensions of; to cause to rise, dilate, or increase; as, rains and dissolving snow swell the rivers in spring; immigration swells the population. ; To aggravate; to heighten. ; To raise to arrogance; to puff up; to inflate; as, to be swelled with pride or haughtiness. ; To augment gradually in force or loudness, as the sound of a note.	s:kgr,93,3~kgr,93,3
21ye|n|A native or inhabitant of Switzerland; a Switzer; the people of Switzerland.	a:1akd,102,7~1akd,102,7	n:1akd,104,8~1akd,104,8	N:kuc,48,1~kuc,48,1
21ye|a|Of or pertaining to Switzerland, or the people of Switzerland.	j:kuc,71,5;ze7,66,8~ze7,66,8;kuc,71,5
21yf|n|A small, flexible twig or rod. ; A movable part of a rail; or of opposite rails, for transferring cars from one track to another. ; A separate mass or trees of hair, or of some substance (at jute) made to resemble hair, worn on the head by women. ; A mechanical device for shifting an electric current to another circuit.	a:1bnb,82,4;ou2,63,42;19nf,53,20;1akd,37,2;23ra,21,3;1zxd,17,3;xv,12,3;22b3,5,1~ou2,63,42;19nf,53,20;1bnb,82,4;xv,12,3;1zxd,17,3;23ra,21,3;1akd,37,2;22b3,5,1	v:z2y,43,12;1zxd,17,3~z2y,43,12;1zxd,17,3	V:1l11,54,6;f9t,38,11;1ke2,16,2~f9t,38,11;1l11,54,6;1ke2,16,2	n:1sgm,98,2;23si,83,4;1785,78,169;1d70,55,3;ks1,55,2;1zxd,46,23;1c67,42,5;ou2,39,8;29sh,32,9;1m4i,30,19;u6q,27,4;1akd,27,1;rcd,12,11;23ra,5,1;ops,4,5~1785,78,169;1zxd,46,23;1m4i,30,19;rcd,12,11;29sh,32,9;ou2,39,8;ops,4,5;1c67,42,5;23si,83,4;u6q,27,4;1d70,55,3;1sgm,98,2;ks1,55,2;23ra,5,1;1akd,27,1	N:93y,62,7;v3n,34,10;a2g,24,2;19fi,22,5;1dc,22,1;1lv4,18,9;2b2r,17,1;1kax,10,2~v3n,34,10;1lv4,18,9;93y,62,7;19fi,22,5;a2g,24,2;1kax,10,2;1dc,22,1;2b2r,17,1
