25xl|n|An open wooden vessel formed with staves, bottom, and hoops; a kind of short cask, half barrel, or firkin, usually with but one head, -- used for various purposes. ; The amount which a tub contains, as a measure of quantity; as, a tub of butter; a tub of camphor, which is about 1 cwt., etc. ; Any structure shaped like a tub: as, a certain old form of pulpit; a short, broad boat, etc., -- often used jocosely or opprobriously. ; A sweating in a tub; a tub fast. ; A small cask; as, a tub of gin. ; A box or bucket in which coal or ore is sent up a shaft; -- so called by miners. ; To make use of a bathing tub; to lie or be in a bath; to bathe.	a:900,76,2~900,76,2
25xr|n|A hollow cylinder, of any material, used for the conveyance of fluids, and for various other purposes; a pipe. ; A telescope. ; A vessel in animal bodies or plants, which conveys a fluid or other substance. ; The narrow, hollow part of a gamopetalous corolla. ; A priming tube, or friction primer. See under Priming, and Friction. ; A small pipe forming part of the boiler, containing water and surrounded by flame or hot gases, or else surrounded by water and forming a flue for the gases to pass through. ; A more or less cylindrical, and often spiral, case secreted or constructed by many annelids, crustaceans, insects, and other animals, for protection or concealment. See Illust. of Tubeworm. ; One of the siphons of a bivalve mollusk.	a:900,91,467;avg,73,10;wuj,44,12;12nh,37,5;sus,32,4;22sw,28,1;rxa,28,1;1g10,27,4;8fz,26,3;1klu,26,12;2alz,18,2;1eyy,10,3;1x3f,6,4~900,91,467;wuj,44,12;1klu,26,12;avg,73,10;12nh,37,5;1g10,27,4;sus,32,4;1x3f,6,4;8fz,26,3;1eyy,10,3;2alz,18,2;rxa,28,1;22sw,28,1	v:avg,40,1;23vd,34,1;900,22,4;1mx7,5,5~1mx7,5,5;900,22,4;avg,40,1;23vd,34,1	V:1wz5,70,5;1pmh,50,4;sm4,44,3;w01,33,11;16fx,28,2;5fl,26,3;bj7,20,3;1r0v,18,2;vy2,4,6;vdw,4,4;w0e,1,4~w01,33,11;vy2,4,6;1wz5,70,5;1pmh,50,4;vdw,4,4;w0e,1,4;sm4,44,3;5fl,26,3;bj7,20,3;16fx,28,2;1r0v,18,2	n:22sw,87,61;1nzc,84,190;23vd,79,22;6jp,65,6;rxa,61,10;900,52,33;1lso,49,10;rx8,47,14;avg,40,1;1a7p,36,14;1zay,26,3;1klu,25,11;xv8,14,3;8fz,10,1~1nzc,84,190;22sw,87,61;900,52,33;23vd,79,22;rx8,47,14;1a7p,36,14;1klu,25,11;rxa,61,10;1lso,49,10;6jp,65,6;1zay,26,3;xv8,14,3;avg,40,1;8fz,10,1	N:gl8,49,4;sm4,28,1;16o8,24,5;f95,18,1;1vfj,14,2;rak,5,7~rak,5,7;16o8,24,5;gl8,49,4;1vfj,14,2;sm4,28,1;f95,18,1
25xr|v|To furnish with a tube; as, to tube a well.	s:1nzc,40,9;rxa,28,1;1lso,16,1;900,2,1~1nzc,40,9;900,2,1;rxa,28,1;1lso,16,1
25xr|a|A hollow cylinder, of any material, used for the conveyance of fluids, and for various other purposes; a pipe. ; A telescope. ; A vessel in animal bodies or plants, which conveys a fluid or other substance. ; The narrow, hollow part of a gamopetalous corolla. ; A priming tube, or friction primer. See under Priming, and Friction. ; A small pipe forming part of the boiler, containing water and surrounded by flame or hot gases, or else surrounded by water and forming a flue for the gases to pass through. ; A more or less cylindrical, and often spiral, case secreted or constructed by many annelids, crustaceans, insects, and other animals, for protection or concealment. See Illust. of Tubeworm. ; One of the siphons of a bivalve mollusk.	j:sm5,73,6;1wz5,57,2;1550,56,15;xt,55,4;gl8,39,2;f95,38,4;1vfj,30,6;sm4,28,1;16o8,27,6;oo4,13,10~1550,56,15;oo4,13,10;1vfj,30,6;sm5,73,6;16o8,27,6;xt,55,4;f95,38,4;1wz5,57,2;gl8,39,2;sm4,28,1	e:wuj,8,1~wuj,8,1
25yc|n|	a:avg,89,4;900,80,29;rxa,57,1;wuj,53,3~900,80,29;avg,89,4;wuj,53,3;rxa,57,1	v:rxa,57,1;900,41,2~900,41,2;rxa,57,1	n:6jp,85,3;1nzc,78,17;rxa,73,3;900,54,5~1nzc,78,17;900,54,5;rxa,73,3;6jp,85,3
25yc|v|	s:1nzc,37,1~1nzc,37,1
25yq|n|of Tube ; The act of making tubes. ; A series of tubes; tubes, collectively; a length or piece of a tube; material for tubes; as, leather tubing.	a:avg,94,4;900,59,5~900,59,5;avg,94,4	n:1nzc,90,29;22sw,87,6;900,55,4~1nzc,90,29;22sw,87,6;900,55,4
25yq|v|of Tube	s:1nzc,85,20;1w15,85,4;22sw,77,3~1nzc,85,20;1w15,85,4;22sw,77,3
260d|n|Superintending care over a young person; the particular watch and care of a tutor or guardian over his pupil or ward; guardianship. ; Especially, the act, art, or business of teaching; instruction; as, children are sent to school for tuition; his tuition was thorough. ; The money paid for instruction; the price or payment for instruction.	a:uaq,49,7;ymm,39,7;19o8,39,1;1i5v,28,1~uaq,49,7;ymm,39,7;19o8,39,1;1i5v,28,1	v:1i60,70,5;19o8,65,6;1i5v,62,11;gnf,44,2~1i5v,62,11;19o8,65,6;1i60,70,5;gnf,44,2	V:1gyd,56,4;ge0,52,2~1gyd,56,4;ge0,52,2	n:1htf,69,3;1i5v,44,3;gnf,34,1~1htf,69,3;1i5v,44,3;gnf,34,1	N:29u7,106,7;rxo,99,26;c5t,77,2;ge0,77,11~rxo,99,26;ge0,77,11;29u7,106,7;c5t,77,2
260d|a|Superintending care over a young person; the particular watch and care of a tutor or guardian over his pupil or ward; guardianship. ; Especially, the act, art, or business of teaching; instruction; as, children are sent to school for tuition; his tuition was thorough. ; The money paid for instruction; the price or payment for instruction.	j:rxo,75,5;ge0,52,2~rxo,75,5;ge0,52,2
