a7ti|n|	a:9jyu,128,12;5chm,118,8;a7ti,88,6;annj,69,1;9bpo,65,6;30pz,43,4;2rpd,20,1;1,19,1;8a41,16,2~9jyu,128,12;5chm,118,8;9bpo,65,6;a7ti,88,6;30pz,43,4;8a41,16,2;2rpd,20,1;1,19,1;annj,69,1	v:9jyu,92,1;1883,2,8~1883,2,8;9jyu,92,1	V:2vi3,33,8;2bdp,27,2~2vi3,33,8;2bdp,27,2	n:9jyu,140,29;a7ti,113,34;a7ux,112,4;annj,97,7;9w2i,93,63;85up,79,12;a7m8,78,16;aska,78,13;afdn,74,6;aulz,69,4;6nog,68,15;5fex,60,3;27ia,50,9;5bgs,37,2;2rpd,36,3~9w2i,93,63;a7ti,113,34;9jyu,140,29;a7m8,78,16;6nog,68,15;8fkq,2,13;3cq8,28,13;aska,78,13;85up,79,12;27ia,50,9;7ibv,31,7;annj,97,7;afdn,74,6;afhr,3,4;57aq,19,4	N:a7ux,115,5;a7ti,113,34;a7uv,111,6;afdn,92,21;9w2i,86,39;a7xg,84,3;7pc6,82,2;a7m8,78,16;85up,69,6;9ylu,67,2;42wt,60,3;27ia,55,12;4bdu,42,13;5bgs,37,2;2bdp,37,4~9w2i,86,39;a7ti,113,34;afdn,92,21;a7m8,78,16;4bdu,42,13;27ia,55,12;85up,69,6;52oe,3,6;a7uv,111,6;4hyq,17,6;a7ux,115,5;a6yu,17,5;2bdp,37,4;2xim,18,4;42wt,60,3
a7ti|v|	o:4ucf,9,6~4ucf,9,6	s:9jyu,92,1;a75m,25,29~a75m,25,29;9jyu,92,1
a7ti|a|	j:a7uy,106,1;42wt,93,30;a7ti,88,6;9ylu,86,7;afdn,85,13;2773,77,15;ano7,66,5;9yh6,61,1;6nog,61,9;9w2i,56,5;7bfo,52,4;2bdp,43,6;4bdu,29,5;8xks,23,2;2vi3,19,3~42wt,93,30;2773,77,15;afdn,85,13;6nog,61,9;56a7,3,9;9ylu,86,7;a7ti,88,6;2bdp,43,6;4hyq,14,5;9w2i,56,5;ano7,66,5;4bdu,29,5;7bfo,52,4;a2gl,13,3;2vi3,19,3
a7tj|n|	a:52oe,44,2;34zs,37,3;a800,26,1~34zs,37,3;52oe,44,2;a800,26,1	n:3l7i,197,12;a7tm,193,4;52oe,64,8;34zs,61,16;a800,42,3~34zs,61,16;3l7i,197,12;52oe,64,8;a7tm,193,4;a800,42,3	N:a7tw,221,16;1bq8,196,12;52oe,82,28~52oe,82,28;a7tw,221,16;1bq8,196,12
a7tk|a|	j:a7uu,147,1~a7uu,147,1
a7tl|n|	v:4j6w,42,1~4j6w,42,1
a7tm|n|	a:34zs,42,5;a800,34,2~34zs,42,5;a800,34,2	n:a7uv,166,6;34zs,58,15;a800,49,6~34zs,58,15;a800,49,6;a7uv,166,6	N:a7tj,193,4;34zs,70,34~34zs,70,34;a7tj,193,4
a7tn|n|	v:a7g2,12,16;a6ev,10,5~a7g2,12,16;a6ev,10,5	n:a7tn,118,1;6ama,92,41;9w6y,79,3;5hob,48,4;abv8,32,7;4j6w,19,3;11a,14,12;598y,1,8;3vgl,1,1~6ama,92,41;11a,14,12;598y,1,8;abv8,32,7;5hob,48,4;4j6w,19,3;9w6y,79,3;3vgl,1,1;a7tn,118,1	N:2etd,133,9;a7tn,118,1;97uq,80,4;a2tj,66,7;6oiz,58,17;7i3x,44,3;5hob,44,3;6d2y,36,1~6oiz,58,17;2etd,133,9;a2tj,66,7;97uq,80,4;7i3x,44,3;5hob,44,3;6d2y,36,1;a7tn,118,1
a7tn|v|	s:3vgl,1,1~3vgl,1,1
a7tn|a|	j:2etd,132,8;a2tj,109,134;7i3x,78,30;1z5o,53,2;5hob,44,3;6d2y,36,1;3vgl,33,9;a6j7,13,6~a2tj,109,134;7i3x,78,30;3vgl,33,9;2etd,132,8;a6j7,13,6;5hob,44,3;1z5o,53,2;6d2y,36,1
a7to|n|	n:7hst,88,2;77re,79,11;1q8h,56,1~77re,79,11;7hst,88,2;1q8h,56,1	N:9yll,137,1~9yll,137,1
a7to|a|	j:7mpv,88,1~7mpv,88,1
a7tq|n|	a:a7gx,120,2~a7gx,120,2	V:35j3,45,2~35j3,45,2	n:a6d9,4,3~a6d9,4,3	N:a7tt,133,1~a7tt,133,1
a7tq|a|	j:a7tt,133,1;9g7,45,2;1op6,36,3~1op6,36,3;9g7,45,2;a7tt,133,1
a7tr|n|	N:3bwr,149,3~3bwr,149,3
a7tr|a|	j:5zy8,227,15;3bwr,159,6~5zy8,227,15;3bwr,159,6	e:7py9,145,3~7py9,145,3
a7tt|n|	a:a7tq,133,1~a7tq,133,1	V:a7cv,27,6~a7cv,27,6	n:a7tq,133,1;5j08,35,3;32lz,31,1;2qu9,26,6;598y,0,10~598y,0,10;2qu9,26,6;5j08,35,3;32lz,31,1;a7tq,133,1	N:aa1j,128,1;yri,63,2;39gk,42,4;3e3q,34,4;9g7,32,4;3f14,16,2;395p,10,10~395p,10,10;3e3q,34,4;9g7,32,4;39gk,42,4;3f14,16,2;yri,63,2;aa1j,128,1
a7tt|v|	s:5j08,19,1~5j08,19,1
a7tt|a|	j:aa1j,148,4;atop,76,1;yri,53,1;mjb,52,2;39gk,45,5;1op6,37,17;3f14,29,5;9631,26,3;2qu9,21,4;a7cv,12,2;395p,7,8;3iqq,6,8~1op6,37,17;3iqq,6,8;395p,7,8;3f14,29,5;39gk,45,5;2qu9,21,4;aa1j,148,4;9631,26,3;a7cv,12,2;mjb,52,2;yri,53,1;atop,76,1
a7tu|n|	N:mju,91,2;mjb,68,1;39l9,28,2;9jd7,26,2;ab93,17,1;94wq,7,1;395p,2,1~39l9,28,2;9jd7,26,2;mju,91,2;94wq,7,1;395p,2,1;ab93,17,1;mjb,68,1
a7tu|v|	o:mju,91,2;9jd7,16,1;94wq,7,1;24yt,3,1;395p,2,1~mju,91,2;24yt,3,1;395p,2,1;94wq,7,1;9jd7,16,1
