aqtp|n|	a:apga,67,3;2m07,30,25~2m07,30,25;apga,67,3	v:10pj,51,1;ao46,35,1~10pj,51,1;ao46,35,1	V:1pvn,36,7~1pvn,36,7	n:a5xj,130,195;aqtp,108,21;5f16,101,12;aru7,94,7;aqsv,93,6;476t,90,24;ao1q,83,14;946y,81,8;ao46,79,21;hzk,48,10;3cq8,48,52;aqde,45,3;ii9,33,6;a89p,19,4;2g6a,10,3~a5xj,130,195;3cq8,48,52;476t,90,24;aqtp,108,21;ao46,79,21;4jow,5,20;a97p,7,20;ao1q,83,14;5f16,101,12;hzk,48,10;946y,81,8;aru7,94,7;aqsv,93,6;ii9,33,6;2m07,3,4	N:aqtp,108,21;aqv0,100,13;asz0,98,6;arhu,81,5;aqde,49,4;ah0c,46,2;1ut2,7,2;ac2s,5,3~aqtp,108,21;aqv0,100,13;asz0,98,6;arhu,81,5;aqde,49,4;ac2s,5,3;ah0c,46,2;1ut2,7,2
aqtp|v|	s:a5xj,54,1~a5xj,54,1
aqtr|n|	a:asi0,89,2;2fw8,55,7;7qfl,52,9;1ue4,24,4~7qfl,52,9;2fw8,55,7;1ue4,24,4;asi0,89,2	v:1ue4,30,6;7qfl,20,1;a7g2,11,27~a7g2,11,27;1ue4,30,6;7qfl,20,1	V:8ns8,149,2;1o01,74,1;7a9r,70,6;2vi3,37,3;1o22,30,1;a8we,12,6;2l27,3,1;3f14,1,1;5m95,0,1~a8we,12,6;7a9r,70,6;2vi3,37,3;8ns8,149,2;1o01,74,1;1o22,30,1;2l27,3,1;5m95,0,1;3f14,1,1	n:1o01,100,6;aqtr,100,1;1lv8,75,2;1ue4,20,3;294h,19,7;18ml,15,1;ar63,11,6;w46,8,6;6rxs,4,3~294h,19,7;w46,8,6;1o01,100,6;ar63,11,6;1ue4,20,3;6rxs,4,3;1lv8,75,2;aqtr,100,1;18ml,15,1	N:1o01,113,15;aqtr,100,1;1nsw,77,168;4v13,73,8;9t72,58,3;1udi,58,13;2vi3,56,11;1o22,56,6;893r,43,3;3f14,41,16;94h0,38,5;4byy,34,25;ac2s,30,5;1q58,29,3;8w4r,29,13~1nsw,77,168;4byy,34,25;3f14,41,16;1o01,113,15;8w4r,29,13;1udi,58,13;a8we,22,12;2vi3,56,11;24yt,5,9;a8r3,6,8;4v13,73,8;1o22,56,6;ac2s,30,5;94h0,38,5;5wns,13,4
aqtr|v|	o:1udi,31,2;1nsw,13,2~1nsw,13,2;1udi,31,2
aqtr|a|	j:3f14,17,3;1nsw,13,2;4byy,3,3~3f14,17,3;4byy,3,3;1nsw,13,2
aqtt|n|	a:a97p,22,2~a97p,22,2	v:a7g2,9,3~a7g2,9,3	V:2vi3,51,1~2vi3,51,1	n:aqtt,185,6;a97p,22,2~aqtt,185,6;a97p,22,2	N:aqtt,185,6;2vi3,67,3~aqtt,185,6;2vi3,67,3
aqtu|n|	n:ao5a,161,1;8ipk,30,4~8ipk,30,4;ao5a,161,1
aqtw|n|	a:a97p,58,7~a97p,58,7
aqtx|n|	a:4jow,44,52;2m07,37,7;a97p,29,16~4jow,44,52;a97p,29,16;2m07,37,7	n:1e3g,92,9;3cq8,56,15;a97p,32,20;4jow,7,4~a97p,32,20;3cq8,56,15;1e3g,92,9;4jow,7,4	N:asmk,23,4~asmk,23,4
aqtx|a|	e:2m07,8,1~2m07,8,1
aqty|n|	a:4jow,57,33;2m07,43,3~4jow,57,33;2m07,43,3	v:3cq8,36,1~3cq8,36,1	n:3cq8,70,11;4jow,17,2~3cq8,70,11;4jow,17,2
aqtz|n|	n:aqtz,222,24~aqtz,222,24	N:aqtz,222,24~aqtz,222,24
aqu0|n|	a:4jow,48,5~4jow,48,5	n:ao5z,187,1~ao5z,187,1
aqu2|v|	s:9k66,9,1~9k66,9,1
aqu3|n|	n:aqu3,207,3;1jlg,56,11~1jlg,56,11;aqu3,207,3	N:aqu3,207,3~aqu3,207,3
aqu7|n|	a:15dl,36,4~15dl,36,4	v:1pst,82,9;4j8a,45,6;9gvf,35,4;a6d9,2,5~1pst,82,9;4j8a,45,6;a6d9,2,5;9gvf,35,4	n:ao6g,160,2~ao6g,160,2	N:1pxd,73,4;77ii,56,7;4p7w,28,4~77ii,56,7;4p7w,28,4;1pxd,73,4
aqu7|a|	j:1pxd,53,1~1pxd,53,1
aqu8|n|	n:8yun,131,8~8yun,131,8	N:8hz6,67,12~8hz6,67,12
aqu9|n|	a:4jow,54,5~4jow,54,5	n:ao6j,225,9;4jow,41,2~ao6j,225,9;4jow,41,2
aqua|n|	a:4jow,39,8;a97p,11,1~4jow,39,8;a97p,11,1	v:a97p,11,1~a97p,11,1	n:a97p,39,7;4jow,25,3~a97p,39,7;4jow,25,3	N:4jow,9,1~4jow,9,1
aqub|n|	n:4jow,11,1~4jow,11,1
aque|n|	N:6ama,95,5~6ama,95,5
aquf|n|	a:87m1,16,1~87m1,16,1	n:3cq8,61,4~3cq8,61,4
