29ry|n|A genus of large grasses of which the Indian corn (Zea Mays) is the only species known. Its origin is not yet ascertained. See Maize.	v:1rn5,85,5~1rn5,85,5	n:17kg,173,4~17kg,173,4
29rz|n|Passionate ardor in the pursuit of anything; eagerness in favor of a person or cause; ardent and active interest; engagedness; enthusiasm; fervor. ; A zealot.	a:dzn,121,4;1pak,112,3~dzn,121,4;1pak,112,3
29s9|a|Filled with, or characterized by, zeal; warmly engaged, or ardent, in behalf of an object. ; Filled with religious zeal.	e:1fa0,102,5;22p7,42,6;1f2t,22,1~22p7,42,6;1fa0,102,5;1f2t,22,1
29sb|n|Either one of two species of South African wild horses remarkable for having the body white or yellowish white, and conspicuously marked with dark brown or brackish bands.	V:1ydc,123,2;gu1,67,1;1415,66,1~1ydc,123,2;1415,66,1;gu1,67,1	n:1lms,54,4~1lms,54,4	N:1bjf,165,3;rsq,158,15;1ydc,113,1;gu1,67,1;1415,66,1;1lms,63,7~rsq,158,15;1lms,63,7;1bjf,165,3;1ydc,113,1;gu1,67,1;1415,66,1
29sb|a|Either one of two species of South African wild horses remarkable for having the body white or yellowish white, and conspicuously marked with dark brown or brackish bands.	j:rwn,76,3~rwn,76,3
29si|n|The letter Z; -- called also zee, and formerly izzard.	a:hlb,77,3~hlb,77,3	N:1u3j,161,4;1td,64,6~1td,64,6;1u3j,161,4
29ss|n|Properly, the translation and exposition in the Huzv/resh, or literary Pehlevi, language, of the Avesta, the Zoroastrian sacred writings; as commonly used, the language (an ancient Persian dialect) in which the Avesta is written.	v:16k0,31,4;1249,6,6~1249,6,6;16k0,31,4	V:qk9,56,14~qk9,56,14	n:vzb,81,165~vzb,81,165	N:t6s,83,18;1yho,77,27;1adk,48,13;1tsz,45,30~1tsz,45,30;1yho,77,27;t6s,83,18;1adk,48,13
29sw|n|That point in the visible celestial hemisphere which is vertical to the spectator; the point of the heavens directly overhead; -- opposed to nadir. ; hence, figuratively, the point of culmination; the greatest height; the height of success or prosperity.	a:1vwu,70,19;1zcj,44,2;1at4,34,1;16lz,34,6;18h5,22,1~1vwu,70,19;16lz,34,6;1zcj,44,2;18h5,22,1;1at4,34,1	n:1c0j,52,7;1at4,50,3;1zcj,34,1;1wa6,20,4;224y,14,4~1c0j,52,7;1wa6,20,4;224y,14,4;1at4,50,3;1zcj,34,1	N:33w,70,5;15du,66,4;qob,53,3;kcf,50,7;26su,50,3;33s,47,5;ykj,46,3;2e1,42,3;le3,31,2;1jvx,18,4;mr3,13,3~kcf,50,7;33w,70,5;33s,47,5;1jvx,18,4;15du,66,4;mr3,13,3;ykj,46,3;qob,53,3;2e1,42,3;26su,50,3;le3,31,2
29sw|a|That point in the visible celestial hemisphere which is vertical to the spectator; the point of the heavens directly overhead; -- opposed to nadir. ; hence, figuratively, the point of culmination; the greatest height; the height of success or prosperity.	j:33s,50,6;le3,41,4;qob,37,1;1khh,33,4;1jvx,8,2~33s,50,6;1khh,33,4;le3,41,4;1jvx,8,2;qob,37,1
29t1|n|The west wind; poetically, any soft, gentle breeze.	n:21ov,39,3~21ov,39,3	N:21ov,61,14~21ov,61,14
29t2|n|The west wind, or zephyr; -- usually personified, and made the most mild and gentle of all the sylvan deities.	N:179a,67,14;tun,46,3~179a,67,14;tun,46,3
29t6|n|A cipher; nothing; naught. ; The point from which the graduation of a scale, as of a thermometer, commences. ; Fig.: The lowest point; the point of exhaustion; as, his patience had nearly reached zero.	a:1v8f,55,1;1cqs,47,116;2082,30,4;fd2,17,2;1gua,16,2;18om,13,2;p31,8,6~1cqs,47,116;p31,8,6;2082,30,4;fd2,17,2;18om,13,2;1gua,16,2;1v8f,55,1	v:1c0n,57,4;1dbw,52,1;457,36,8;1dbt,35,3;ugw,32,54;gtu,30,3;fd2,30,5;21ed,27,2;29na,21,1;1dkl,20,22;1q74,20,5;1wiz,18,4;p6,17,11;105g,17,4;jhd,14,3~ugw,32,54;451,11,33;1dkl,20,22;52y,12,17;f6v,8,13;1ofk,9,13;p6,17,11;1gpj,3,10;457,36,8;15ix,11,8;17k1,13,7;okc,12,7;1wlv,3,7;110e,8,6;fd2,30,5	V:1fqa,45,5;yo9,43,4;14n9,40,146;1leb,33,3;11hi,33,4;gu1,32,9;jc1,30,4;21ec,26,6;1px0,20,4;1tit,16,45;bh1,15,2;1pqp,10,7;1v0y,9,3;16w1,8,14;28d0,7,17~14n9,40,146;1tit,16,45;16k0,6,23;28d0,7,17;16w1,8,14;gu1,32,9;1pqp,10,7;21ec,26,6;1fqa,45,5;11hi,33,4;1px0,20,4;yo9,43,4;jc1,30,4;1leb,33,3;1v0y,9,3	n:172t,93,4;gw4,78,8;16qv,57,7;1v8f,55,1;r57,49,10;2bz,48,66;w2i,44,7;udc,37,4;c4r,37,6;e40,36,7;21ed,33,3;29t6,31,59;1cj8,26,3;1ym4,24,10;1lox,23,11~2bz,48,66;29t6,31,59;1d57,2,46;1co3,16,32;uup,11,26;1c0j,10,17;b4,14,11;1lox,23,11;1ym4,24,10;r57,49,10;26v0,9,9;gw4,78,8;1jg5,3,8;630,8,7;16qv,57,7	N:1pr2,101,33;1ke0,77,3;27if,62,105;27i2,61,17;1tul,60,6;10kc,59,20;22ll,58,41;a90,52,6;r52,50,3;gju,46,5;k5w,46,3;hbt,46,10;mvx,44,7;epi,43,37;1p9j,42,7~qdb,28,137;27if,62,105;29t6,31,59;28sn,31,52;12fx,36,49;26v0,32,44;22ll,58,41;1qqy,27,39;ep3,3,39;27q1,6,38;q8x,14,38;epi,43,37;huw,11,37;1pr2,101,33;1lox,38,32
29t6|v|A cipher; nothing; naught. ; The point from which the graduation of a scale, as of a thermometer, commences. ; Fig.: The lowest point; the point of exhaustion; as, his patience had nearly reached zero.	o:1olz,23,1;24hr,16,2;224u,7,2;11ie,3,2~224u,7,2;11ie,3,2;24hr,16,2;1olz,23,1
29t6|a|A cipher; nothing; naught. ; The point from which the graduation of a scale, as of a thermometer, commences. ; Fig.: The lowest point; the point of exhaustion; as, his patience had nearly reached zero.	j:aay,33,4;1olz,23,1;1fqd,22,3;10j8,20,2;gu1,16,3;xxp,13,1;pue,11,10;1f8u,6,2;24hr,6,1;22ae,3,1;btg,2,5;sgq,1,1;2009,1,1;1dco,0,2~pue,11,10;btg,2,5;aay,33,4;1fqd,22,3;gu1,16,3;1f8u,6,2;10j8,20,2;1dco,0,2;24hr,6,1;xxp,13,1;2009,1,1;22ae,3,1;1olz,23,1;sgq,1,1
29t7|n|of Zero	a:1fqa,80,2;q0o,59,3;qmh,23,3;rl5,21,4;180o,9,4;ohj,1,2~rl5,21,4;180o,9,4;qmh,23,3;q0o,59,3;ohj,1,2;1fqa,80,2	v:1fqa,80,2;15ix,71,19;2333,63,4;29cv,45,20;27y8,45,1;29d3,37,6;1ufh,28,3;zt,24,3;1pfc,14,3;vgn,7,2;zc,6,3~29cv,45,20;15ix,71,19;29d3,37,6;2333,63,4;zt,24,3;1pfc,14,3;1ufh,28,3;zc,6,3;1fqa,80,2;vgn,7,2;27y8,45,1	V:1pr7,24,3~1pr7,24,3	n:27y8,45,1;2333,43,1;1br2,37,9;15ix,29,1;29d3,11,1;24ia,10,5;zt,8,1;qmh,7,1~1br2,37,9;24ia,10,5;qmh,7,1;29d3,11,1;15ix,29,1;2333,43,1;zt,8,1;27y8,45,1	N:htb,2,4~htb,2,4
29t7|v|of Zero	s:kik,65,2~kik,65,2
